,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2021년07월_계_총인구수,"26,952","7,331","1,272","1,623","1,420","1,658","3,635","1,320","1,525","3,291","1,518","1,169","1,190"
2021년07월_계_연령구간인구수,"26,952","7,331","1,272","1,623","1,420","1,658","3,635","1,320","1,525","3,291","1,518","1,169","1,190"
2021년07월_계_0~9세,"1,307",644,31,59,48,49,107,37,42,159,40,34,57
2021년07월_계_10~19세,"1,632",729,55,60,65,72,212,51,59,163,71,47,48
2021년07월_계_20~29세,"1,988",711,71,104,88,97,261,86,74,245,127,67,57
2021년07월_계_30~39세,"1,821",753,54,91,87,83,222,63,60,216,62,64,66
2021년07월_계_40~49세,"2,715","1,051",112,138,110,136,338,111,116,291,143,77,92
2021년07월_계_50~59세,"4,550","1,058",201,327,232,278,596,235,243,626,310,232,212
2021년07월_계_60~69세,"5,175","1,032",251,405,308,348,776,287,322,670,297,247,232
2021년07월_계_70~79세,"4,240",770,259,248,269,316,598,239,304,527,262,231,217
2021년07월_계_80~89세,"3,055",504,205,163,190,245,452,184,253,351,178,152,178
2021년07월_계_90~99세,453,78,32,28,21,33,73,26,52,40,26,13,31
2021년07월_계_100세 이상,16,1,1,0,2,1,0,1,0,3,2,5,0
2021년07월_남_총인구수,"13,800","3,762",641,846,726,859,"1,830",693,769,"1,689",796,587,602
2021년07월_남_연령구간인구수,"13,800","3,762",641,846,726,859,"1,830",693,769,"1,689",796,587,602
2021년07월_남_0~9세,693,349,13,29,19,25,66,20,20,88,20,11,33
2021년07월_남_10~19세,863,383,27,37,42,41,122,21,28,78,40,20,24
2021년07월_남_20~29세,"1,176",408,48,57,57,62,151,56,45,142,79,35,36
2021년07월_남_30~39세,"1,004",396,33,47,51,52,130,33,34,118,40,37,33
2021년07월_남_40~49세,"1,642",585,77,82,70,90,190,72,77,180,106,49,64
2021년07월_남_50~59세,"2,584",587,116,185,131,150,336,147,145,362,174,139,112
2021년07월_남_60~69세,"2,832",536,144,226,167,202,408,176,172,350,168,144,139
2021년07월_남_70~79세,"1,870",343,110,118,120,139,255,95,145,248,111,93,93
2021년07월_남_80~89세,"1,025",162,65,55,62,91,151,66,93,110,54,57,59
2021년07월_남_90~99세,107,13,7,10,7,6,21,6,10,13,4,1,9
2021년07월_남_100세 이상,4,0,1,0,0,1,0,1,0,0,0,1,0
2021년07월_여_총인구수,"13,152","3,569",631,777,694,799,"1,805",627,756,"1,602",722,582,588
2021년07월_여_연령구간인구수,"13,152","3,569",631,777,694,799,"1,805",627,756,"1,602",722,582,588
2021년07월_여_0~9세,614,295,18,30,29,24,41,17,22,71,20,23,24
2021년07월_여_10~19세,769,346,28,23,23,31,90,30,31,85,31,27,24
2021년07월_여_20~29세,812,303,23,47,31,35,110,30,29,103,48,32,21
2021년07월_여_30~39세,817,357,21,44,36,31,92,30,26,98,22,27,33
2021년07월_여_40~49세,"1,073",466,35,56,40,46,148,39,39,111,37,28,28
2021년07월_여_50~59세,"1,966",471,85,142,101,128,260,88,98,264,136,93,100
2021년07월_여_60~69세,"2,343",496,107,179,141,146,368,111,150,320,129,103,93
2021년07월_여_70~79세,"2,370",427,149,130,149,177,343,144,159,279,151,138,124
2021년07월_여_80~89세,"2,030",342,140,108,128,154,301,118,160,241,124,95,119
2021년07월_여_90~99세,346,65,25,18,14,27,52,20,42,27,22,12,22
2021년07월_여_100세 이상,12,1,0,0,2,0,0,0,0,3,2,4,0
