카테고리,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2020년01월_계_총인구수,"159,294","40,641","5,927","20,573","12,171","14,743","21,315","9,220","22,208","12,496"
2020년01월_계_연령구간인구수,"159,294","40,641","5,927","20,573","12,171","14,743","21,315","9,220","22,208","12,496"
2020년01월_계_0~9세,"16,049","4,029",270,"2,359","1,016","1,366","2,192",789,"2,621","1,407"
2020년01월_계_10~19세,"15,820","4,065",366,"2,001","1,230","1,365","2,379",952,"2,186","1,276"
2020년01월_계_20~29세,"18,446","4,787",757,"2,112","1,654","1,903","2,524",950,"2,525","1,234"
2020년01월_계_30~39세,"24,921","6,392",836,"3,344","1,676","2,222","2,942","1,273","4,215","2,021"
2020년01월_계_40~49세,"25,736","7,125",835,"3,290","2,013","2,235","3,452","1,459","3,354","1,973"
2020년01월_계_50~59세,"26,756","6,739","1,109","3,347","2,403","2,416","3,960","1,548","3,206","2,028"
2020년01월_계_60~69세,"21,184","4,939","1,134","2,632","1,528","2,101","2,664","1,479","3,023","1,684"
2020년01월_계_70~79세,"7,674","1,857",472,"1,066",453,884,868,582,860,632
2020년01월_계_80~89세,"2,327",595,130,371,170,212,285,162,190,212
2020년01월_계_90~99세,358,107,17,47,27,36,47,25,26,26
2020년01월_계_100세 이상,23,6,1,4,1,3,2,1,2,3
2020년01월_남_총인구수,"83,217","21,704","3,206","10,618","6,365","7,658","10,881","4,735","11,709","6,341"
2020년01월_남_연령구간인구수,"83,217","21,704","3,206","10,618","6,365","7,658","10,881","4,735","11,709","6,341"
2020년01월_남_0~9세,"8,249","2,066",147,"1,199",512,729,"1,094",406,"1,366",730
2020년01월_남_10~19세,"8,314","2,164",196,"1,067",650,740,"1,213",490,"1,167",627
2020년01월_남_20~29세,"10,351","2,678",447,"1,174",915,977,"1,403",568,"1,490",699
2020년01월_남_30~39세,"13,717","3,696",525,"1,746",932,"1,243","1,518",669,"2,318","1,070"
2020년01월_남_40~49세,"13,901","4,012",479,"1,785","1,061","1,203","1,763",784,"1,791","1,023"
2020년01월_남_50~59세,"13,158","3,479",556,"1,691","1,211","1,174","1,947",718,"1,444",938
2020년01월_남_60~69세,"10,868","2,529",564,"1,337",804,"1,027","1,382",748,"1,583",894
2020년01월_남_70~79세,"3,882",900,243,513,218,480,460,294,479,295
2020년01월_남_80~89세,728,173,45,99,59,75,96,56,66,59
2020년01월_남_90~99세,45,7,4,7,3,8,4,2,4,6
2020년01월_남_100세 이상,4,0,0,0,0,2,1,0,1,0
2020년01월_여_총인구수,"76,077","18,937","2,721","9,955","5,806","7,085","10,434","4,485","10,499","6,155"
2020년01월_여_연령구간인구수,"76,077","18,937","2,721","9,955","5,806","7,085","10,434","4,485","10,499","6,155"
2020년01월_여_0~9세,"7,800","1,963",123,"1,160",504,637,"1,098",383,"1,255",677
2020년01월_여_10~19세,"7,506","1,901",170,934,580,625,"1,166",462,"1,019",649
2020년01월_여_20~29세,"8,095","2,109",310,938,739,926,"1,121",382,"1,035",535
2020년01월_여_30~39세,"11,204","2,696",311,"1,598",744,979,"1,424",604,"1,897",951
2020년01월_여_40~49세,"11,835","3,113",356,"1,505",952,"1,032","1,689",675,"1,563",950
2020년01월_여_50~59세,"13,598","3,260",553,"1,656","1,192","1,242","2,013",830,"1,762","1,090"
2020년01월_여_60~69세,"10,316","2,410",570,"1,295",724,"1,074","1,282",731,"1,440",790
2020년01월_여_70~79세,"3,792",957,229,553,235,404,408,288,381,337
2020년01월_여_80~89세,"1,599",422,85,272,111,137,189,106,124,153
2020년01월_여_90~99세,313,100,13,40,24,28,43,23,22,20
2020년01월_여_100세 이상,19,6,1,4,1,1,1,1,1,3
