,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2021년03월_계_총인구수,"116,113","12,028","2,629","2,901","1,448","2,312","2,496","3,569","1,957","4,626","4,291","3,375","1,875","4,225","7,657","2,698","4,895","8,773","3,276","3,410","37,672"
2021년03월_계_연령구간인구수,"116,113","12,028","2,629","2,901","1,448","2,312","2,496","3,569","1,957","4,626","4,291","3,375","1,875","4,225","7,657","2,698","4,895","8,773","3,276","3,410","37,672"
2021년03월_계_0~9세,"10,101","1,093",48,56,16,84,46,64,33,94,120,81,29,105,607,147,220,712,108,118,"6,320"
2021년03월_계_10~19세,"9,574",779,148,134,54,121,83,159,52,168,210,131,54,198,849,220,359,914,258,204,"4,479"
2021년03월_계_20~29세,"12,429","1,203",195,253,99,147,172,235,122,343,383,310,107,305,"1,174",327,519,"1,277",272,382,"4,604"
2021년03월_계_30~39세,"14,516","1,569",121,158,66,122,114,196,88,265,310,239,97,229,921,260,367,909,214,301,"7,970"
2021년03월_계_40~49세,"16,637","1,694",220,256,124,219,194,302,157,380,436,351,141,364,"1,202",391,596,"1,361",308,416,"7,525"
2021년03월_계_50~59세,"17,294","1,967",476,527,256,358,387,595,344,876,752,671,382,734,"1,296",445,837,"1,438",605,591,"3,757"
2021년03월_계_60~69세,"16,328","1,935",564,630,315,513,572,828,438,"1,083",872,714,444,910,823,424,865,"1,065",640,663,"2,030"
2021년03월_계_70~79세,"11,459","1,121",491,475,278,425,522,657,376,776,753,508,356,803,480,288,733,715,521,457,724
2021년03월_계_80~89세,"6,725",580,311,364,204,289,355,462,303,537,392,327,229,504,269,163,343,323,300,239,231
2021년03월_계_90~99세,"1,018",86,53,46,36,30,51,68,42,102,60,43,34,70,34,33,55,57,50,37,31
