카테고리,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2020년09월_계_총인구수,"91,806","14,193","26,060","7,155","4,451","14,469","6,202","5,859","4,736","1,931","1,947","2,736","1,091",976
2020년09월_계_연령구간인구수,"91,806","14,193","26,060","7,155","4,451","14,469","6,202","5,859","4,736","1,931","1,947","2,736","1,091",976
2020년09월_계_0~9세,"7,090",719,"3,028",394,289,"1,716",243,199,242,65,56,78,39,22
2020년09월_계_10~19세,"8,339","1,204","3,353",522,401,"1,364",335,385,292,121,61,216,43,42
2020년09월_계_20~29세,"8,986","1,695","2,665",711,399,"1,437",568,562,384,125,105,212,82,41
2020년09월_계_30~39세,"9,577","1,199","3,500",597,357,"2,316",445,380,354,109,89,128,53,50
2020년09월_계_40~49세,"13,596","2,073","4,729",941,656,"2,524",610,609,569,199,189,321,97,79
2020년09월_계_50~59세,"15,330","2,438","3,620","1,318",804,"2,169","1,263","1,223",868,337,388,462,261,179
2020년09월_계_60~69세,"13,660","2,298","2,515","1,276",738,"1,523","1,325","1,225",855,394,456,549,269,237
2020년09월_계_70~79세,"9,152","1,498","1,641",860,511,908,849,765,685,326,361,419,143,186
2020년09월_계_80~89세,"5,251",941,858,466,243,448,494,442,419,204,216,298,93,129
2020년09월_계_90~99세,781,123,145,63,47,60,64,65,67,48,26,52,11,10
2020년09월_계_100세 이상,44,5,6,7,6,4,6,4,1,3,0,1,0,1
2020년09월_남_총인구수,"47,149","7,293","13,564","3,708","2,279","7,274","3,198","2,944","2,428",980,976,"1,444",564,497
2020년09월_남_연령구간인구수,"47,149","7,293","13,564","3,708","2,279","7,274","3,198","2,944","2,428",980,976,"1,444",564,497
2020년09월_남_0~9세,"3,562",343,"1,570",186,147,858,118,86,122,35,25,41,22,9
2020년09월_남_10~19세,"4,349",607,"1,768",287,202,672,187,196,173,60,40,116,18,23
2020년09월_남_20~29세,"5,010",951,"1,523",422,236,717,314,297,226,73,55,120,46,30
2020년09월_남_30~39세,"4,939",677,"1,730",324,182,"1,144",253,190,199,52,62,73,25,28
2020년09월_남_40~49세,"7,548","1,149","2,591",526,346,"1,374",363,330,331,113,112,199,62,52
2020년09월_남_50~59세,"8,520","1,399","2,038",750,450,"1,140",674,660,478,196,210,289,138,98
2020년09월_남_60~69세,"7,070","1,158","1,271",649,368,785,695,667,447,212,240,297,155,126
2020년09월_남_70~79세,"4,213",670,759,386,254,415,409,362,300,159,154,197,69,79
2020년09월_남_80~89세,"1,760",309,280,157,87,152,173,143,137,69,73,104,27,49
2020년09월_남_90~99세,168,28,32,20,7,17,10,13,14,9,5,8,2,3
2020년09월_남_100세 이상,10,2,2,1,0,0,2,0,1,2,0,0,0,0
2020년09월_여_총인구수,"44,657","6,900","12,496","3,447","2,172","7,195","3,004","2,915","2,308",951,971,"1,292",527,479
2020년09월_여_연령구간인구수,"44,657","6,900","12,496","3,447","2,172","7,195","3,004","2,915","2,308",951,971,"1,292",527,479
2020년09월_여_0~9세,"3,528",376,"1,458",208,142,858,125,113,120,30,31,37,17,13
2020년09월_여_10~19세,"3,990",597,"1,585",235,199,692,148,189,119,61,21,100,25,19
2020년09월_여_20~29세,"3,976",744,"1,142",289,163,720,254,265,158,52,50,92,36,11
2020년09월_여_30~39세,"4,638",522,"1,770",273,175,"1,172",192,190,155,57,27,55,28,22
2020년09월_여_40~49세,"6,048",924,"2,138",415,310,"1,150",247,279,238,86,77,122,35,27
2020년09월_여_50~59세,"6,810","1,039","1,582",568,354,"1,029",589,563,390,141,178,173,123,81
2020년09월_여_60~69세,"6,590","1,140","1,244",627,370,738,630,558,408,182,216,252,114,111
2020년09월_여_70~79세,"4,939",828,882,474,257,493,440,403,385,167,207,222,74,107
2020년09월_여_80~89세,"3,491",632,578,309,156,296,321,299,282,135,143,194,66,80
2020년09월_여_90~99세,613,95,113,43,40,43,54,52,53,39,21,44,9,7
2020년09월_여_100세 이상,34,3,4,6,6,4,4,4,0,1,0,1,0,1
