,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2021년05월_계_총인구수,"1,080,656","480,156","14,835","23,593","47,191","21,857","11,393","13,384","24,065","22,147","30,058","36,719","15,553","37,811","33,090","18,883","21,865","32,108","45,789","27,386","2,429","300,437","36,856","47,063","23,501","39,014","30,687","20,980","24,177","16,453","11,461","26,959","23,286","300,063","27,300","18,530","35,611","51,781","28,026","29,141","36,309","21,731","51,634"
2021년05월_계_연령구간인구수,"1,080,656","480,156","14,835","23,593","47,191","21,857","11,393","13,384","24,065","22,147","30,058","36,719","15,553","37,811","33,090","18,883","21,865","32,108","45,789","27,386","2,429","300,437","36,856","47,063","23,501","39,014","30,687","20,980","24,177","16,453","11,461","26,959","23,286","300,063","27,300","18,530","35,611","51,781","28,026","29,141","36,309","21,731","51,634"
2021년05월_계_0~9세,"80,779","38,275",543,"2,990","5,383","1,270",600,"2,057","2,446","2,667","2,115","2,075",877,"1,923","2,510",697,"1,295","2,202","2,640","3,898",87,"20,591","3,624","3,332","1,236","3,120","1,993",886,"1,373","1,202","1,404","1,046","1,375","21,913","1,907",878,"2,560","4,479","1,784","1,959","2,234","1,647","4,465"
2021년05월_계_10~19세,"103,448","41,254","1,141","2,035","4,191","1,812","1,016",982,"1,561","1,588","3,091","2,805","1,185","3,601","3,669","1,163","2,017","2,742","4,765","1,766",124,"29,112","4,831","4,374","2,043","4,410","2,690","1,280","3,261","2,187",973,"1,555","1,508","33,082","2,625","1,466","5,694","5,476","3,171","3,189","2,980","2,249","6,232"
2021년05월_계_20~29세,"149,418","62,559","2,075","2,202","5,255","2,984","1,482","1,528","2,785","2,462","3,584","4,318","2,137","6,160","4,601","2,836","3,081","4,850","6,890","2,938",391,"44,739","4,981","6,852","3,915","5,364","4,882","3,520","3,717","2,219","1,286","5,071","2,932","42,120","3,925","2,687","4,707","7,328","3,769","3,745","6,259","3,039","6,661"
2021년05월_계_30~39세,"143,067","68,522","1,532","3,893","7,967","2,539","1,280","2,863","4,596","4,965","3,170","4,059","1,805","4,286","4,274","2,256","2,681","4,909","5,104","6,081",262,"38,545","4,111","5,439","2,911","4,650","4,517","3,356","2,280","1,570","1,857","4,833","3,021","36,000","3,160","1,925","3,497","6,988","3,312","3,311","5,315","2,854","5,638"
2021년05월_계_40~49세,"180,309","78,705","2,068","4,307","8,771","3,397","1,693","2,383","4,046","3,911","5,184","5,673","2,188","5,678","6,062","2,634","3,437","4,881","7,289","4,810",293,"50,710","7,262","7,262","3,539","6,740","4,953","3,666","4,074","2,900","2,115","4,749","3,450","50,894","4,188","2,517","6,992","9,070","4,555","4,733","5,554","3,680","9,605"
2021년05월_계_50~59세,"195,688","83,442","3,173","3,298","6,781","4,254","2,094","1,678","3,460","2,781","5,108","6,998","3,151","7,543","5,828","3,959","4,254","5,933","9,290","3,408",451,"56,188","6,580","9,172","4,467","7,011","5,733","3,913","4,763","3,092","1,949","4,894","4,614","56,058","5,203","4,123","6,556","9,563","5,038","5,186","6,819","4,033","9,537"
2021년05월_계_60~69세,"127,020","59,463","2,399","2,900","5,026","3,066","1,656","1,128","2,872","2,225","4,142","6,010","2,390","4,362","3,214","3,070","2,881","3,581","5,435","2,661",445,"34,450","3,262","5,960","3,065","4,428","3,518","2,408","2,696","1,658","1,216","2,596","3,643","33,107","3,413","2,870","3,251","4,877","3,234","3,366","4,148","2,414","5,534"
2021년05월_계_70~79세,"61,773","30,311","1,211","1,345","2,584","1,583",935,492,"1,556","1,051","2,427","3,125","1,144","2,511","1,708","1,410","1,357","1,822","2,611","1,187",252,"15,590","1,395","2,731","1,447","2,033","1,484","1,144","1,166",822,448,"1,257","1,663","15,872","1,800","1,250","1,362","2,331","1,691","1,973","1,836","1,119","2,510"
