카테고리,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2021년11월_계_총인구수,"24,590","5,115","1,815","2,480","2,085","2,489","2,582","1,748","6,276"
2021년11월_계_연령구간인구수,"24,590","5,115","1,815","2,480","2,085","2,489","2,582","1,748","6,276"
2021년11월_계_0~9세,921,274,42,67,74,56,71,46,291
2021년11월_계_10~19세,"1,164",344,53,85,97,92,97,55,341
2021년11월_계_20~29세,"1,573",437,84,125,139,112,100,78,498
2021년11월_계_30~39세,"1,565",442,108,117,95,113,120,84,486
2021년11월_계_40~49세,"2,257",585,134,163,186,172,181,132,704
2021년11월_계_50~59세,"4,492",985,344,458,417,435,484,258,"1,111"
2021년11월_계_60~69세,"5,731",960,481,668,448,741,642,464,"1,327"
2021년11월_계_70~79세,"3,976",624,335,467,357,446,504,331,912
2021년11월_계_80~89세,"2,562",409,209,286,236,284,329,256,553
2021년11월_계_90~99세,338,52,25,43,33,37,51,44,53
2021년11월_계_100세 이상,11,3,0,1,3,1,3,0,0
2021년11월_남_총인구수,"12,269","2,525",905,"1,227","1,040","1,230","1,250",876,"3,216"
2021년11월_남_연령구간인구수,"12,269","2,525",905,"1,227","1,040","1,230","1,250",876,"3,216"
2021년11월_남_0~9세,476,141,20,35,38,30,40,23,149
2021년11월_남_10~19세,619,177,33,50,51,50,53,22,183
2021년11월_남_20~29세,953,251,51,75,81,62,64,47,322
2021년11월_남_30~39세,908,248,67,61,52,70,65,55,290
2021년11월_남_40~49세,"1,291",305,85,93,111,99,105,82,411
2021년11월_남_50~59세,"2,408",519,180,249,228,228,257,144,603
2021년11월_남_60~69세,"2,856",472,257,325,220,360,321,262,639
2021년11월_남_70~79세,"1,793",268,145,215,168,205,216,149,427
2021년11월_남_80~89세,892,137,64,114,83,118,114,80,182
2021년11월_남_90~99세,72,7,3,9,8,8,15,12,10
2021년11월_남_100세 이상,1,0,0,1,0,0,0,0,0
2021년11월_여_총인구수,"12,321","2,590",910,"1,253","1,045","1,259","1,332",872,"3,060"
2021년11월_여_연령구간인구수,"12,321","2,590",910,"1,253","1,045","1,259","1,332",872,"3,060"
2021년11월_여_0~9세,445,133,22,32,36,26,31,23,142
2021년11월_여_10~19세,545,167,20,35,46,42,44,33,158
2021년11월_여_20~29세,620,186,33,50,58,50,36,31,176
2021년11월_여_30~39세,657,194,41,56,43,43,55,29,196
2021년11월_여_40~49세,966,280,49,70,75,73,76,50,293
2021년11월_여_50~59세,"2,084",466,164,209,189,207,227,114,508
2021년11월_여_60~69세,"2,875",488,224,343,228,381,321,202,688
2021년11월_여_70~79세,"2,183",356,190,252,189,241,288,182,485
2021년11월_여_80~89세,"1,670",272,145,172,153,166,215,176,371
2021년11월_여_90~99세,266,45,22,34,25,29,36,32,43
2021년11월_여_100세 이상,10,3,0,0,3,1,3,0,0
