카테고리,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2020년05월_계_총인구수,"50,802","29,139","3,238","1,431","1,950","2,339","3,063","4,267","2,316","3,059"
2020년05월_계_연령구간인구수,"50,802","29,139","3,238","1,431","1,950","2,339","3,063","4,267","2,316","3,059"
2020년05월_계_0~9세,"2,718","2,213",94,37,32,34,64,113,60,71
2020년05월_계_10~19세,"3,961","3,085",131,69,73,57,136,207,85,118
2020년05월_계_20~29세,"4,458","3,154",232,69,99,83,147,271,183,220
2020년05월_계_30~39세,"4,032","2,896",181,71,68,86,136,275,133,186
2020년05월_계_40~49세,"6,355","4,542",298,101,171,135,232,399,176,301
2020년05월_계_50~59세,"9,111","5,005",633,272,331,457,537,796,443,637
2020년05월_계_60~69세,"9,564","4,214",791,348,511,613,790,976,567,754
2020년05월_계_70~79세,"6,248","2,596",490,240,349,449,591,701,379,453
2020년05월_계_80~89세,"3,769","1,252",329,192,260,372,381,454,260,269
2020년05월_계_90~99세,557,175,58,31,49,50,45,72,30,47
2020년05월_계_100세 이상,29,7,1,1,7,3,4,3,0,3
2020년05월_남_총인구수,"25,618","14,608","1,670",718,980,"1,172","1,495","2,169","1,206","1,600"
2020년05월_남_연령구간인구수,"25,618","14,608","1,670",718,980,"1,172","1,495","2,169","1,206","1,600"
2020년05월_남_0~9세,"1,433","1,171",53,18,14,17,30,58,32,40
2020년05월_남_10~19세,"2,077","1,615",68,38,37,34,74,102,42,67
2020년05월_남_20~29세,"2,552","1,763",152,45,58,57,84,161,103,129
2020년05월_남_30~39세,"2,089","1,444",104,44,45,42,70,163,73,104
2020년05월_남_40~49세,"3,440","2,329",172,67,108,89,137,252,115,171
2020년05월_남_50~59세,"4,862","2,591",345,140,192,245,309,435,246,359
2020년05월_남_60~69세,"4,897","2,052",418,190,267,343,402,504,314,407
2020년05월_남_70~79세,"2,854","1,145",231,111,158,216,268,339,182,204
2020년05월_남_80~89세,"1,271",460,109,57,87,111,108,138,94,107
2020년05월_남_90~99세,136,37,18,8,11,18,12,15,5,12
2020년05월_남_100세 이상,7,1,0,0,3,0,1,2,0,0
2020년05월_여_총인구수,"25,184","14,531","1,568",713,970,"1,167","1,568","2,098","1,110","1,459"
2020년05월_여_연령구간인구수,"25,184","14,531","1,568",713,970,"1,167","1,568","2,098","1,110","1,459"
2020년05월_여_0~9세,"1,285","1,042",41,19,18,17,34,55,28,31
2020년05월_여_10~19세,"1,884","1,470",63,31,36,23,62,105,43,51
2020년05월_여_20~29세,"1,906","1,391",80,24,41,26,63,110,80,91
2020년05월_여_30~39세,"1,943","1,452",77,27,23,44,66,112,60,82
2020년05월_여_40~49세,"2,915","2,213",126,34,63,46,95,147,61,130
2020년05월_여_50~59세,"4,249","2,414",288,132,139,212,228,361,197,278
2020년05월_여_60~69세,"4,667","2,162",373,158,244,270,388,472,253,347
2020년05월_여_70~79세,"3,394","1,451",259,129,191,233,323,362,197,249
2020년05월_여_80~89세,"2,498",792,220,135,173,261,273,316,166,162
2020년05월_여_90~99세,421,138,40,23,38,32,33,57,25,35
2020년05월_여_100세 이상,22,6,1,1,4,3,3,1,0,3
