,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2020년09월_계_총인구수,"186,460","58,641","5,444","7,485","3,389","5,768","15,392","5,268","6,316","7,687","6,903","3,863","1,955","12,549","23,378","22,422"
2020년09월_계_연령구간인구수,"186,460","58,641","5,444","7,485","3,389","5,768","15,392","5,268","6,316","7,687","6,903","3,863","1,955","12,549","23,378","22,422"
2020년09월_계_0~9세,"14,278","6,038",185,431,83,237,"1,444",148,393,295,240,93,47,723,"2,129","1,792"
2020년09월_계_10~19세,"18,503","7,520",307,661,153,278,"1,142",278,409,545,384,501,87,"1,082","2,553","2,603"
2020년09월_계_20~29세,"22,322","6,719",521,726,293,524,"2,042",469,789,672,702,450,185,"1,599","3,369","3,262"
2020년09월_계_30~39세,"23,203","8,476",429,676,259,523,"2,630",400,894,629,562,287,149,"1,369","3,180","2,740"
2020년09월_계_40~49세,"30,072","11,920",558,"1,074",346,724,"2,528",570,887,846,796,340,189,"1,775","3,966","3,553"
2020년09월_계_50~59세,"31,331","8,558","1,067","1,341",698,"1,098","2,383","1,057","1,197","1,427","1,453",664,384,"2,284","3,770","3,950"
2020년09월_계_60~69세,"24,675","5,148","1,142","1,344",745,"1,188","1,807","1,155",956,"1,643","1,383",745,451,"1,937","2,534","2,497"
2020년09월_계_70~79세,"13,535","2,800",723,705,463,681,898,658,487,963,825,481,258,"1,103","1,206","1,284"
2020년09월_계_80~89세,"7,474","1,297",447,454,310,456,455,438,261,580,507,276,176,583,591,643
2020년09월_계_90~99세,"1,010",159,60,70,37,54,59,91,40,82,45,25,28,87,78,95
2020년09월_계_100세 이상,57,6,5,3,2,5,4,4,3,5,6,1,1,7,2,3
2020년09월_남_총인구수,"96,122","29,563","2,883","3,767","1,781","3,126","8,586","2,775","3,565","4,020","3,653","2,026","1,015","6,295","11,815","11,252"
2020년09월_남_연령구간인구수,"96,122","29,563","2,883","3,767","1,781","3,126","8,586","2,775","3,565","4,020","3,653","2,026","1,015","6,295","11,815","11,252"
2020년09월_남_0~9세,"7,337","3,043",102,237,49,131,774,80,224,145,117,50,25,347,"1,087",926
2020년09월_남_10~19세,"9,634","3,901",179,327,87,146,588,128,239,309,194,238,50,552,"1,339","1,357"
2020년09월_남_20~29세,"12,346","3,567",307,398,181,334,"1,170",285,496,376,396,250,102,863,"1,818","1,803"
2020년09월_남_30~39세,"12,661","4,401",266,356,149,329,"1,540",237,555,390,344,192,91,742,"1,643","1,426"
2020년09월_남_40~49세,"16,075","6,107",330,583,204,449,"1,537",344,539,494,463,204,113,940,"2,049","1,719"
2020년09월_남_50~59세,"16,591","4,438",588,697,392,589,"1,388",595,651,773,825,367,201,"1,155","1,934","1,998"
2020년09월_남_60~69세,"12,427","2,410",615,690,381,644,958,622,524,834,734,389,231,943,"1,222","1,230"
2020년09월_남_70~79세,"6,196","1,239",323,303,213,331,443,320,235,471,387,231,129,500,525,546
2020년09월_남_80~89세,"2,635",421,162,164,115,161,176,150,87,211,184,101,68,231,176,228
2020년09월_남_90~99세,208,35,11,11,9,11,11,14,14,15,8,4,5,20,21,19
2020년09월_남_100세 이상,12,1,0,1,1,1,1,0,1,2,1,0,0,2,1,0
2020년09월_여_총인구수,"90,338","29,078","2,561","3,718","1,608","2,642","6,806","2,493","2,751","3,667","3,250","1,837",940,"6,254","11,563","11,170"
2020년09월_여_연령구간인구수,"90,338","29,078","2,561","3,718","1,608","2,642","6,806","2,493","2,751","3,667","3,250","1,837",940,"6,254","11,563","11,170"
2020년09월_여_0~9세,"6,941","2,995",83,194,34,106,670,68,169,150,123,43,22,376,"1,042",866
2020년09월_여_10~19세,"8,869","3,619",128,334,66,132,554,150,170,236,190,263,37,530,"1,214","1,246"
2020년09월_여_20~29세,"9,976","3,152",214,328,112,190,872,184,293,296,306,200,83,736,"1,551","1,459"
2020년09월_여_30~39세,"10,542","4,075",163,320,110,194,"1,090",163,339,239,218,95,58,627,"1,537","1,314"
2020년09월_여_40~49세,"13,997","5,813",228,491,142,275,991,226,348,352,333,136,76,835,"1,917","1,834"
2020년09월_여_50~59세,"14,740","4,120",479,644,306,509,995,462,546,654,628,297,183,"1,129","1,836","1,952"
2020년09월_여_60~69세,"12,248","2,738",527,654,364,544,849,533,432,809,649,356,220,994,"1,312","1,267"
2020년09월_여_70~79세,"7,339","1,561",400,402,250,350,455,338,252,492,438,250,129,603,681,738
2020년09월_여_80~89세,"4,839",876,285,290,195,295,279,288,174,369,323,175,108,352,415,415
2020년09월_여_90~99세,802,124,49,59,28,43,48,77,26,67,37,21,23,67,57,76
2020년09월_여_100세 이상,45,5,5,2,1,4,3,4,2,3,5,1,1,5,1,3
