,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2021년08월_계_총인구수,"87,585","4,782","5,746","12,796","6,027","4,171","9,898","3,946","5,365","10,862","11,793","7,816","4,383"
2021년08월_계_연령구간인구수,"87,585","4,782","5,746","12,796","6,027","4,171","9,898","3,946","5,365","10,862","11,793","7,816","4,383"
2021년08월_계_0~9세,"4,004",143,139,"1,181",157,190,396,94,154,439,331,418,362
2021년08월_계_10~19세,"4,897",267,254,829,381,301,532,194,338,579,605,371,246
2021년08월_계_20~29세,"10,258",659,631,"1,889",604,485,"1,147",359,549,"1,288","1,287",938,422
2021년08월_계_30~39세,"10,371",513,567,"2,622",477,396,"1,152",302,407,"1,098","1,143","1,048",646
2021년08월_계_40~49세,"11,539",687,702,"1,990",768,574,"1,204",430,643,"1,388","1,356","1,101",696
2021년08월_계_50~59세,"14,270",794,990,"1,753","1,012",675,"1,639",677,925,"1,807","2,032","1,382",584
2021년08월_계_60~69세,"16,146",865,"1,208","1,455","1,197",758,"1,908",809,"1,085","2,048","2,601","1,466",746
2021년08월_계_70~79세,"10,635",593,831,711,899,542,"1,284",702,840,"1,479","1,578",739,437
2021년08월_계_80~89세,"4,815",240,352,314,456,225,560,340,373,659,782,305,209
2021년08월_계_90~99세,583,21,62,50,65,22,59,39,51,64,76,41,33
2021년08월_계_100세 이상,67,0,10,2,11,3,17,0,0,13,2,7,2
2021년08월_남_총인구수,"42,817","2,399","2,846","6,227","2,949","2,031","4,712","1,935","2,548","5,275","5,804","3,938","2,153"
2021년08월_남_연령구간인구수,"42,817","2,399","2,846","6,227","2,949","2,031","4,712","1,935","2,548","5,275","5,804","3,938","2,153"
2021년08월_남_0~9세,"2,119",61,82,630,80,105,197,52,82,242,171,218,199
2021년08월_남_10~19세,"2,535",148,130,426,210,153,271,111,164,291,301,201,129
2021년08월_남_20~29세,"5,148",338,313,818,337,256,547,196,306,694,683,475,185
2021년08월_남_30~39세,"5,484",277,325,"1,297",279,216,621,171,222,571,643,540,322
2021년08월_남_40~49세,"6,196",382,401,"1,028",394,297,629,239,345,750,761,582,388
2021년08월_남_50~59세,"7,337",445,541,881,538,351,806,379,463,877,"1,040",716,300
2021년08월_남_60~69세,"7,620",394,554,702,560,335,881,400,474,970,"1,235",734,381
2021년08월_남_70~79세,"4,578",270,352,330,381,226,554,272,359,628,697,334,175
2021년08월_남_80~89세,"1,646",82,122,102,155,90,189,103,122,238,252,124,67
2021년08월_남_90~99세,135,2,21,12,12,2,14,12,11,11,20,12,6
2021년08월_남_100세 이상,19,0,5,1,3,0,3,0,0,3,1,2,1
2021년08월_여_총인구수,"44,768","2,383","2,900","6,569","3,078","2,140","5,186","2,011","2,817","5,587","5,989","3,878","2,230"
2021년08월_여_연령구간인구수,"44,768","2,383","2,900","6,569","3,078","2,140","5,186","2,011","2,817","5,587","5,989","3,878","2,230"
2021년08월_여_0~9세,"1,885",82,57,551,77,85,199,42,72,197,160,200,163
2021년08월_여_10~19세,"2,362",119,124,403,171,148,261,83,174,288,304,170,117
2021년08월_여_20~29세,"5,110",321,318,"1,071",267,229,600,163,243,594,604,463,237
2021년08월_여_30~39세,"4,887",236,242,"1,325",198,180,531,131,185,527,500,508,324
2021년08월_여_40~49세,"5,343",305,301,962,374,277,575,191,298,638,595,519,308
2021년08월_여_50~59세,"6,933",349,449,872,474,324,833,298,462,930,992,666,284
2021년08월_여_60~69세,"8,526",471,654,753,637,423,"1,027",409,611,"1,078","1,366",732,365
2021년08월_여_70~79세,"6,057",323,479,381,518,316,730,430,481,851,881,405,262
2021년08월_여_80~89세,"3,169",158,230,212,301,135,371,237,251,421,530,181,142
2021년08월_여_90~99세,448,19,41,38,53,20,45,27,40,53,56,29,27
2021년08월_여_100세 이상,48,0,5,1,8,3,14,0,0,10,1,5,1
