카테고리,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2020년09월_계_총인구수,"29,270","10,662","5,460","2,481","2,111","3,320","1,935","1,543","1,758"
2020년09월_계_연령구간인구수,"29,270","10,662","5,460","2,481","2,111","3,320","1,935","1,543","1,758"
2020년09월_계_0~9세,"1,213",640,265,60,64,85,48,19,32
2020년09월_계_10~19세,"2,047",968,418,103,148,179,78,37,116
2020년09월_계_20~29세,"2,265","1,139",485,117,98,151,93,76,106
2020년09월_계_30~39세,"2,041","1,045",426,101,88,152,77,69,83
2020년09월_계_40~49세,"3,358","1,507",704,188,196,334,157,127,145
2020년09월_계_50~59세,"5,757","2,014","1,016",534,408,704,410,310,361
2020년09월_계_60~69세,"6,255","1,794","1,001",645,545,819,550,440,461
2020년09월_계_70~79세,"3,907",976,746,438,365,545,313,267,257
2020년09월_계_80~89세,"2,122",506,358,244,176,307,187,173,171
2020년09월_계_90~99세,284,71,40,45,20,43,21,25,19
2020년09월_계_100세 이상,21,2,1,6,3,1,1,0,7
2020년09월_남_총인구수,"14,827","5,340","2,824","1,235","1,139","1,603","1,046",778,862
2020년09월_남_연령구간인구수,"14,827","5,340","2,824","1,235","1,139","1,603","1,046",778,862
2020년09월_남_0~9세,629,326,141,30,41,40,24,10,17
2020년09월_남_10~19세,"1,093",495,224,58,98,101,51,14,52
2020년09월_남_20~29세,"1,312",630,300,58,59,95,66,41,63
2020년09월_남_30~39세,"1,082",545,230,50,50,85,43,39,40
2020년09월_남_40~49세,"1,845",793,405,107,116,167,94,81,82
2020년09월_남_50~59세,"3,100","1,075",555,298,221,368,219,172,192
2020년09월_남_60~69세,"3,209",873,499,342,283,387,326,246,253
2020년09월_남_70~79세,"1,746",419,322,189,196,248,148,118,106
2020년09월_남_80~89세,733,170,137,88,70,104,65,50,49
2020년09월_남_90~99세,70,12,10,13,5,7,9,7,7
2020년09월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년09월_여_총인구수,"14,443","5,322","2,636","1,246",972,"1,717",889,765,896
2020년09월_여_연령구간인구수,"14,443","5,322","2,636","1,246",972,"1,717",889,765,896
2020년09월_여_0~9세,584,314,124,30,23,45,24,9,15
2020년09월_여_10~19세,954,473,194,45,50,78,27,23,64
2020년09월_여_20~29세,953,509,185,59,39,56,27,35,43
2020년09월_여_30~39세,959,500,196,51,38,67,34,30,43
2020년09월_여_40~49세,"1,513",714,299,81,80,167,63,46,63
2020년09월_여_50~59세,"2,657",939,461,236,187,336,191,138,169
2020년09월_여_60~69세,"3,046",921,502,303,262,432,224,194,208
2020년09월_여_70~79세,"2,161",557,424,249,169,297,165,149,151
2020년09월_여_80~89세,"1,389",336,221,156,106,203,122,123,122
2020년09월_여_90~99세,214,59,30,32,15,36,12,18,12
2020년09월_여_100세 이상,13,0,0,4,3,0,0,0,6
