,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2021년06월_계_총인구수,"226,378","17,128","9,576","7,383","19,521","15,954","13,883","10,150","12,010","21,694","27,615","8,454","6,506","9,058","20,624","13,082","13,740"
2021년06월_계_연령구간인구수,"226,378","17,128","9,576","7,383","19,521","15,954","13,883","10,150","12,010","21,694","27,615","8,454","6,506","9,058","20,624","13,082","13,740"
2021년06월_계_0~9세,"13,157",917,331,176,661,"1,287",893,756,728,"1,210","2,673",536,224,412,"1,153",767,433
2021년06월_계_10~19세,"15,144","1,205",502,257,"1,118",878,"1,214",724,777,995,"2,869",507,258,464,"1,171","1,452",753
2021년06월_계_20~29세,"33,605","2,515","1,512",942,"4,225","2,465","1,880","1,563","1,802","3,792","2,911",891,"1,092","1,405","2,682","1,769","2,159"
2021년06월_계_30~39세,"38,161","2,787","1,689","1,044","3,161","3,653","2,104","1,871","1,996","4,717","3,501","1,405","1,112","1,650","3,870","1,495","2,106"
2021년06월_계_40~49세,"34,772","2,697","1,299","1,056","2,662","2,614","2,227","1,537","1,764","2,878","4,824","1,231",845,"1,403","3,340","2,395","2,000"
2021년06월_계_50~59세,"36,432","2,761","1,404","1,580","3,070","2,198","2,278","1,583","1,967","3,426","4,590","1,357","1,046","1,259","3,210","2,246","2,457"
2021년06월_계_60~69세,"28,855","2,246","1,415","1,362","2,395","1,642","1,730","1,081","1,548","2,582","3,057","1,367",994,"1,173","2,777","1,479","2,007"
2021년06월_계_70~79세,"16,330","1,286",905,639,"1,459",808,974,648,961,"1,317","1,751",735,542,797,"1,548",774,"1,186"
2021년06월_계_80~89세,"8,457",597,442,275,677,350,521,334,401,667,"1,210",363,316,427,716,605,556
2021년06월_계_90~99세,"1,374",107,75,43,90,53,59,50,63,102,223,59,70,66,139,97,78
2021년06월_계_100세 이상,91,10,2,9,3,6,3,3,3,8,6,3,7,2,18,3,5
2021년06월_남_총인구수,"108,948","8,335","4,638","4,504","9,150","7,636","6,533","4,799","5,737","10,292","12,950","3,973","3,168","4,184","9,966","6,264","6,819"
2021년06월_남_연령구간인구수,"108,948","8,335","4,638","4,504","9,150","7,636","6,533","4,799","5,737","10,292","12,950","3,973","3,168","4,184","9,966","6,264","6,819"
2021년06월_남_0~9세,"6,765",476,172,88,332,641,438,391,362,634,"1,409",271,105,209,614,389,234
2021년06월_남_10~19세,"7,660",653,253,151,594,463,499,378,398,524,"1,442",244,129,211,569,726,426
2021년06월_남_20~29세,"15,841","1,266",799,435,"1,654","1,045",879,722,877,"1,571","1,422",448,580,691,"1,379",872,"1,201"
2021년06월_남_30~39세,"18,976","1,432",878,573,"1,707","1,751","1,049",912,982,"2,231","1,550",704,598,820,"1,883",732,"1,174"
2021년06월_남_40~49세,"17,127","1,319",676,669,"1,339","1,331","1,099",725,872,"1,416","2,176",620,420,672,"1,661","1,126","1,006"
2021년06월_남_50~59세,"17,985","1,353",662,"1,109","1,526","1,081","1,112",755,965,"1,665","2,203",634,498,571,"1,551","1,113","1,187"
2021년06월_남_60~69세,"13,875","1,054",631,956,"1,116",801,829,499,703,"1,316","1,475",608,473,493,"1,297",743,881
2021년06월_남_70~79세,"7,125",557,404,369,589,365,440,272,407,616,731,318,225,338,682,310,502
2021년06월_남_80~89세,"3,163",197,145,140,270,143,174,126,156,281,460,116,120,157,282,216,180
2021년06월_남_90~99세,404,26,16,10,22,14,14,18,14,36,80,10,19,22,40,36,27
2021년06월_남_100세 이상,27,2,2,4,1,1,0,1,1,2,2,0,1,0,8,1,1
2021년06월_여_총인구수,"117,430","8,793","4,938","2,879","10,371","8,318","7,350","5,351","6,273","11,402","14,665","4,481","3,338","4,874","10,658","6,818","6,921"
2021년06월_여_연령구간인구수,"117,430","8,793","4,938","2,879","10,371","8,318","7,350","5,351","6,273","11,402","14,665","4,481","3,338","4,874","10,658","6,818","6,921"
2021년06월_여_0~9세,"6,392",441,159,88,329,646,455,365,366,576,"1,264",265,119,203,539,378,199
2021년06월_여_10~19세,"7,484",552,249,106,524,415,715,346,379,471,"1,427",263,129,253,602,726,327
2021년06월_여_20~29세,"17,764","1,249",713,507,"2,571","1,420","1,001",841,925,"2,221","1,489",443,512,714,"1,303",897,958
2021년06월_여_30~39세,"19,185","1,355",811,471,"1,454","1,902","1,055",959,"1,014","2,486","1,951",701,514,830,"1,987",763,932
2021년06월_여_40~49세,"17,645","1,378",623,387,"1,323","1,283","1,128",812,892,"1,462","2,648",611,425,731,"1,679","1,269",994
2021년06월_여_50~59세,"18,447","1,408",742,471,"1,544","1,117","1,166",828,"1,002","1,761","2,387",723,548,688,"1,659","1,133","1,270"
2021년06월_여_60~69세,"14,980","1,192",784,406,"1,279",841,901,582,845,"1,266","1,582",759,521,680,"1,480",736,"1,126"
2021년06월_여_70~79세,"9,205",729,501,270,870,443,534,376,554,701,"1,020",417,317,459,866,464,684
2021년06월_여_80~89세,"5,294",400,297,135,407,207,347,208,245,386,750,247,196,270,434,389,376
2021년06월_여_90~99세,970,81,59,33,68,39,45,32,49,66,143,49,51,44,99,61,51
2021년06월_여_100세 이상,64,8,0,5,2,5,3,2,2,6,4,3,6,2,10,2,4
