,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2021년04월_계_총인구수,"210,943","5,884","28,074","10,890","8,798","13,020","22,279","13,615","15,439","23,350","13,251","28,714","27,629"
2021년04월_계_연령구간인구수,"210,943","5,884","28,074","10,890","8,798","13,020","22,279","13,615","15,439","23,350","13,251","28,714","27,629"
2021년04월_계_0~9세,"11,957",237,"1,552",272,498,690,"1,051",508,958,"1,415",722,"1,840","2,214"
2021년04월_계_10~19세,"14,829",291,"1,993",442,640,916,"1,057",676,"1,086","1,849","1,062","2,231","2,586"
2021년04월_계_20~29세,"28,585",645,"3,528",854,"1,042","1,694","4,215","1,648","2,112","4,068","1,764","3,418","3,597"
2021년04월_계_30~39세,"24,811",575,"3,239",773,985,"1,451","3,286","1,587","1,801","3,009","1,492","3,345","3,268"
2021년04월_계_40~49세,"29,017",690,"3,737","1,281","1,205","1,707","2,698","1,748","2,004","3,420","1,781","4,301","4,445"
2021년04월_계_50~59세,"40,237","1,265","5,450","2,151","1,755","2,586","4,181","2,804","3,084","3,869","2,435","5,321","5,336"
2021년04월_계_60~69세,"37,496","1,257","5,310","2,562","1,558","2,537","3,722","2,780","2,801","3,390","2,389","5,171","4,019"
2021년04월_계_70~79세,"17,263",669,"2,361","1,712",807,"1,062","1,566","1,364","1,155","1,646","1,101","2,238","1,582"
2021년04월_계_80~89세,"6,052",229,799,767,283,331,451,442,390,615,460,769,516
2021년04월_계_90~99세,652,22,88,73,24,44,48,55,47,65,45,77,64
2021년04월_계_100세 이상,44,4,17,3,1,2,4,3,1,4,0,3,2
2021년04월_남_총인구수,"106,530","3,156","14,076","5,204","4,507","6,564","11,569","7,212","7,907","11,676","6,489","14,368","13,802"
2021년04월_남_연령구간인구수,"106,530","3,156","14,076","5,204","4,507","6,564","11,569","7,212","7,907","11,676","6,489","14,368","13,802"
2021년04월_남_0~9세,"6,085",132,772,138,259,350,533,259,500,692,371,948,"1,131"
2021년04월_남_10~19세,"7,733",157,"1,036",231,338,477,563,363,571,952,543,"1,186","1,316"
2021년04월_남_20~29세,"15,287",374,"1,937",500,606,911,"2,056",890,"1,153","2,078",921,"1,887","1,974"
2021년04월_남_30~39세,"13,367",316,"1,760",427,537,755,"1,830",927,976,"1,618",805,"1,755","1,661"
2021년04월_남_40~49세,"15,304",399,"1,932",773,638,911,"1,504","1,019","1,023","1,794",917,"2,210","2,184"
2021년04월_남_50~59세,"20,032",719,"2,635","1,126",921,"1,235","2,201","1,510","1,508","1,847","1,112","2,590","2,628"
2021년04월_남_60~69세,"18,582",670,"2,575","1,166",752,"1,272","1,934","1,427","1,446","1,691","1,143","2,525","1,981"
2021년04월_남_70~79세,"8,001",304,"1,129",630,356,531,771,637,578,782,507,"1,011",765
2021년04월_남_80~89세,"2,030",82,282,201,96,116,173,172,147,210,160,235,156
2021년04월_남_90~99세,105,3,18,12,4,5,3,7,5,11,10,21,6
2021년04월_남_100세 이상,4,0,0,0,0,1,1,1,0,1,0,0,0
2021년04월_여_총인구수,"104,413","2,728","13,998","5,686","4,291","6,456","10,710","6,403","7,532","11,674","6,762","14,346","13,827"
2021년04월_여_연령구간인구수,"104,413","2,728","13,998","5,686","4,291","6,456","10,710","6,403","7,532","11,674","6,762","14,346","13,827"
2021년04월_여_0~9세,"5,872",105,780,134,239,340,518,249,458,723,351,892,"1,083"
2021년04월_여_10~19세,"7,096",134,957,211,302,439,494,313,515,897,519,"1,045","1,270"
2021년04월_여_20~29세,"13,298",271,"1,591",354,436,783,"2,159",758,959,"1,990",843,"1,531","1,623"
2021년04월_여_30~39세,"11,444",259,"1,479",346,448,696,"1,456",660,825,"1,391",687,"1,590","1,607"
2021년04월_여_40~49세,"13,713",291,"1,805",508,567,796,"1,194",729,981,"1,626",864,"2,091","2,261"
2021년04월_여_50~59세,"20,205",546,"2,815","1,025",834,"1,351","1,980","1,294","1,576","2,022","1,323","2,731","2,708"
2021년04월_여_60~69세,"18,914",587,"2,735","1,396",806,"1,265","1,788","1,353","1,355","1,699","1,246","2,646","2,038"
2021년04월_여_70~79세,"9,262",365,"1,232","1,082",451,531,795,727,577,864,594,"1,227",817
2021년04월_여_80~89세,"4,022",147,517,566,187,215,278,270,243,405,300,534,360
2021년04월_여_90~99세,547,19,70,61,20,39,45,48,42,54,35,56,58
2021년04월_여_100세 이상,40,4,17,3,1,1,3,2,1,3,0,3,2
