,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2020년05월_계_총인구수,"288,986","14,954","26,663","20,712","39,713","43,525","15,754","30,749","13,230","12,616","11,281","12,808","27,608","19,373"
2020년05월_계_연령구간인구수,"288,986","14,954","26,663","20,712","39,713","43,525","15,754","30,749","13,230","12,616","11,281","12,808","27,608","19,373"
2020년05월_계_0~9세,"19,941",763,"1,546","1,008","2,308","4,260","1,020","2,774",531,480,498,941,"2,440","1,372"
2020년05월_계_10~19세,"24,389",740,"1,844","1,633","3,385","4,700","1,363","4,056",647,709,672,809,"2,442","1,389"
2020년05월_계_20~29세,"38,880","2,127","3,826","3,062","4,762","6,182","2,338","4,023","1,715","1,964","1,471","1,552","3,375","2,483"
2020년05월_계_30~39세,"34,950","2,035","3,400","2,106","4,032","5,721","1,726","3,308","1,655","1,574","1,220","2,040","3,570","2,563"
2020년05월_계_40~49세,"41,557","1,808","3,580","3,023","5,523","6,777","2,066","5,653","1,624","1,616","1,509","1,579","4,238","2,561"
2020년05월_계_50~59세,"55,652","3,078","5,475","4,420","7,820","8,563","3,334","5,472","2,474","2,381","2,038","2,302","4,768","3,527"
2020년05월_계_60~69세,"43,774","2,601","4,264","3,381","6,357","4,934","2,264","3,050","2,558","2,304","2,122","2,172","4,256","3,511"
2020년05월_계_70~79세,"20,857","1,260","1,983","1,543","3,532","1,723","1,084","1,690","1,368","1,100","1,244","1,053","1,828","1,449"
2020년05월_계_80~89세,"7,872",478,658,472,"1,806",572,448,641,584,418,453,310,591,441
2020년05월_계_90~99세,"1,014",59,71,60,184,88,74,80,69,65,48,45,95,76
2020년05월_계_100세 이상,100,5,16,4,4,5,37,2,5,5,6,5,5,1
2020년05월_남_총인구수,"143,042","7,573","13,724","10,646","19,280","21,426","7,701","15,042","6,519","6,282","5,521","6,295","13,558","9,475"
2020년05월_남_연령구간인구수,"143,042","7,573","13,724","10,646","19,280","21,426","7,701","15,042","6,519","6,282","5,521","6,295","13,558","9,475"
2020년05월_남_0~9세,"10,249",372,826,529,"1,175","2,188",527,"1,428",269,244,263,461,"1,256",711
2020년05월_남_10~19세,"12,710",351,"1,002",879,"1,722","2,431",702,"2,132",357,377,349,407,"1,255",746
2020년05월_남_20~29세,"20,855","1,121","2,067","1,729","2,560","3,316","1,258","2,124",928,"1,020",792,805,"1,777","1,358"
2020년05월_남_30~39세,"18,077","1,146","1,862","1,142","2,132","2,727",905,"1,526",903,894,672,"1,071","1,792","1,305"
2020년05월_남_40~49세,"20,547","1,004","1,874","1,572","2,688","3,126",983,"2,580",846,861,807,819,"2,106","1,281"
2020년05월_남_50~59세,"26,633","1,514","2,743","2,187","3,730","4,039","1,530","2,755","1,195","1,154",989,"1,053","2,238","1,506"
2020년05월_남_60~69세,"21,598","1,302","2,154","1,704","3,242","2,541","1,139","1,458","1,208","1,085",984,"1,062","2,036","1,683"
2020년05월_남_70~79세,"9,546",594,942,722,"1,440",870,491,749,617,503,522,501,883,712
2020년05월_남_80~89세,"2,607",157,243,170,544,177,135,271,182,129,133,112,196,158
2020년05월_남_90~99세,199,11,9,12,47,11,19,18,14,14,8,3,18,15
2020년05월_남_100세 이상,21,1,2,0,0,0,12,1,0,1,2,1,1,0
2020년05월_여_총인구수,"145,944","7,381","12,939","10,066","20,433","22,099","8,053","15,707","6,711","6,334","5,760","6,513","14,050","9,898"
2020년05월_여_연령구간인구수,"145,944","7,381","12,939","10,066","20,433","22,099","8,053","15,707","6,711","6,334","5,760","6,513","14,050","9,898"
2020년05월_여_0~9세,"9,692",391,720,479,"1,133","2,072",493,"1,346",262,236,235,480,"1,184",661
2020년05월_여_10~19세,"11,679",389,842,754,"1,663","2,269",661,"1,924",290,332,323,402,"1,187",643
2020년05월_여_20~29세,"18,025","1,006","1,759","1,333","2,202","2,866","1,080","1,899",787,944,679,747,"1,598","1,125"
2020년05월_여_30~39세,"16,873",889,"1,538",964,"1,900","2,994",821,"1,782",752,680,548,969,"1,778","1,258"
2020년05월_여_40~49세,"21,010",804,"1,706","1,451","2,835","3,651","1,083","3,073",778,755,702,760,"2,132","1,280"
2020년05월_여_50~59세,"29,019","1,564","2,732","2,233","4,090","4,524","1,804","2,717","1,279","1,227","1,049","1,249","2,530","2,021"
2020년05월_여_60~69세,"22,176","1,299","2,110","1,677","3,115","2,393","1,125","1,592","1,350","1,219","1,138","1,110","2,220","1,828"
2020년05월_여_70~79세,"11,311",666,"1,041",821,"2,092",853,593,941,751,597,722,552,945,737
2020년05월_여_80~89세,"5,265",321,415,302,"1,262",395,313,370,402,289,320,198,395,283
2020년05월_여_90~99세,815,48,62,48,137,77,55,62,55,51,40,42,77,61
2020년05월_여_100세 이상,79,4,14,4,4,5,25,1,5,4,4,4,4,1
