카테고리,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2021년03월_계_총인구수,"36,059","10,576","4,453","4,721","1,828","1,582","3,232","2,516","3,498","1,656","1,997"
2021년03월_계_연령구간인구수,"36,059","10,576","4,453","4,721","1,828","1,582","3,232","2,516","3,498","1,656","1,997"
2021년03월_계_0~9세,"1,707",622,271,292,69,37,142,95,95,40,44
2021년03월_계_10~19세,"2,501","1,005",229,357,120,102,183,168,152,90,95
2021년03월_계_20~29세,"2,723",982,333,396,113,115,205,171,182,108,118
2021년03월_계_30~39세,"2,970",910,690,443,97,88,288,137,163,63,91
2021년03월_계_40~49세,"4,802","1,633",698,725,209,157,429,287,300,172,192
2021년03월_계_50~59세,"6,820","1,897",724,909,356,319,629,487,749,378,372
2021년03월_계_60~69세,"7,559","1,804",821,929,428,361,791,554,886,428,557
2021년03월_계_70~79세,"4,428","1,088",496,478,273,259,363,351,554,244,322
2021년03월_계_80~89세,"2,219",535,175,175,149,126,180,223,364,112,180
2021년03월_계_90~99세,313,97,16,12,14,14,21,42,51,21,25
2021년03월_계_100세 이상,17,3,0,5,0,4,1,1,2,0,1
2021년03월_남_총인구수,"18,776","5,425","2,331","2,482",940,790,"1,734","1,273","1,853",897,"1,051"
2021년03월_남_연령구간인구수,"18,776","5,425","2,331","2,482",940,790,"1,734","1,273","1,853",897,"1,051"
2021년03월_남_0~9세,878,324,139,149,34,15,73,52,44,22,26
2021년03월_남_10~19세,"1,298",526,103,184,61,56,96,84,82,51,55
2021년03월_남_20~29세,"1,565",579,174,230,66,65,117,106,100,69,59
2021년03월_남_30~39세,"1,663",472,406,231,54,57,181,76,101,33,52
2021년03월_남_40~49세,"2,794",864,428,410,127,100,265,163,196,107,134
2021년03월_남_50~59세,"3,773","1,032",404,513,198,176,337,269,421,227,196
2021년03월_남_60~69세,"3,986",950,387,476,239,182,435,280,491,238,308
2021년03월_남_70~79세,"1,984",484,224,216,105,98,165,159,265,112,156
2021년03월_남_80~89세,770,178,63,69,53,36,60,75,140,36,60
2021년03월_남_90~99세,58,16,3,0,3,2,5,9,13,2,5
2021년03월_남_100세 이상,7,0,0,4,0,3,0,0,0,0,0
2021년03월_여_총인구수,"17,283","5,151","2,122","2,239",888,792,"1,498","1,243","1,645",759,946
2021년03월_여_연령구간인구수,"17,283","5,151","2,122","2,239",888,792,"1,498","1,243","1,645",759,946
2021년03월_여_0~9세,829,298,132,143,35,22,69,43,51,18,18
2021년03월_여_10~19세,"1,203",479,126,173,59,46,87,84,70,39,40
2021년03월_여_20~29세,"1,158",403,159,166,47,50,88,65,82,39,59
2021년03월_여_30~39세,"1,307",438,284,212,43,31,107,61,62,30,39
2021년03월_여_40~49세,"2,008",769,270,315,82,57,164,124,104,65,58
2021년03월_여_50~59세,"3,047",865,320,396,158,143,292,218,328,151,176
2021년03월_여_60~69세,"3,573",854,434,453,189,179,356,274,395,190,249
2021년03월_여_70~79세,"2,444",604,272,262,168,161,198,192,289,132,166
2021년03월_여_80~89세,"1,449",357,112,106,96,90,120,148,224,76,120
2021년03월_여_90~99세,255,81,13,12,11,12,16,33,38,19,20
2021년03월_여_100세 이상,10,3,0,1,0,1,1,1,2,0,1
