,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2020년05월_계_총인구수,"330,149","25,779","30,013","14,534","27,509","25,496","21,847","28,276","22,016","19,654","16,969","19,579","29,481","20,682","28,314"
2020년05월_계_연령구간인구수,"330,149","25,779","30,013","14,534","27,509","25,496","21,847","28,276","22,016","19,654","16,969","19,579","29,481","20,682","28,314"
2020년05월_계_0~9세,"19,825","1,635","1,934",858,"1,863","1,612",921,"1,726","1,251","1,126",877,"1,302","1,635","1,031","2,054"
2020년05월_계_10~19세,"26,651","2,275","2,360","1,110","2,732","2,073","1,274","1,793","1,719","1,476","1,046","2,093","2,308","1,534","2,858"
2020년05월_계_20~29세,"44,508","3,422","4,191","1,899","3,843","3,733","2,708","3,474","3,133","2,604","2,573","2,626","4,025","2,767","3,510"
2020년05월_계_30~39세,"42,280","3,531","4,329","1,775","3,441","3,634","2,420","3,790","2,660","2,713","2,425","2,430","3,468","2,369","3,295"
2020년05월_계_40~49세,"49,892","4,262","4,683","2,211","4,534","3,672","3,043","3,901","3,335","2,884","2,489","3,104","4,374","3,031","4,369"
2020년05월_계_50~59세,"58,076","4,276","5,230","2,672","4,990","4,515","3,875","4,625","3,731","3,360","2,857","3,511","5,551","3,897","4,986"
2020년05월_계_60~69세,"48,444","3,420","4,012","2,067","3,365","3,559","3,837","4,837","3,232","2,990","2,418","2,696","4,496","3,271","4,244"
2020년05월_계_70~79세,"27,435","1,991","2,261","1,359","1,722","1,764","2,657","2,809","2,050","1,652","1,620","1,165","2,577","1,922","1,886"
2020년05월_계_80~89세,"11,249",847,917,511,872,797,982,"1,122",778,723,580,545,891,731,953
2020년05월_계_90~99세,"1,619",112,93,62,136,125,114,171,109,111,77,103,146,111,149
