카테고리,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2020년09월_계_총인구수,"61,982","11,031","11,085","10,406","11,658","9,827","7,975"
2020년09월_계_연령구간인구수,"61,982","11,031","11,085","10,406","11,658","9,827","7,975"
2020년09월_계_0~9세,"5,010",829,"1,287",627,969,673,625
2020년09월_계_10~19세,"6,307","1,003","1,488","1,118","1,175",643,880
2020년09월_계_20~29세,"8,578","1,625","1,215","1,678","1,685","1,343","1,032"
2020년09월_계_30~39세,"8,552","1,463","1,382","1,201","1,790","1,717",999
2020년09월_계_40~49세,"9,486","1,468","2,131","1,408","1,705","1,468","1,306"
2020년09월_계_50~59세,"10,888","2,077","1,726","2,042","2,092","1,599","1,352"
2020년09월_계_60~69세,"7,230","1,466",997,"1,238","1,240","1,375",914
2020년09월_계_70~79세,"3,652",637,559,605,584,695,572
2020년09월_계_80~89세,"1,850",367,249,388,345,268,233
2020년09월_계_90~99세,378,82,47,90,68,43,48
2020년09월_계_100세 이상,51,14,4,11,5,3,14
2020년09월_남_총인구수,"30,431","5,348","5,398","4,950","5,715","5,127","3,893"
2020년09월_남_연령구간인구수,"30,431","5,348","5,398","4,950","5,715","5,127","3,893"
2020년09월_남_0~9세,"2,611",443,650,320,526,333,339
2020년09월_남_10~19세,"3,261",498,756,584,625,346,452
2020년09월_남_20~29세,"4,505",853,645,845,863,742,557
2020년09월_남_30~39세,"4,331",722,605,586,918,981,519
2020년09월_남_40~49세,"4,557",679,"1,032",622,794,801,629
2020년09월_남_50~59세,"5,300",959,876,993,998,799,675
2020년09월_남_60~69세,"3,504",753,493,586,610,666,396
2020년09월_남_70~79세,"1,606",287,230,252,256,340,241
2020년09월_남_80~89세,661,135,97,137,112,106,74
2020년09월_남_90~99세,86,17,14,22,12,13,8
2020년09월_남_100세 이상,9,2,0,3,1,0,3
2020년09월_여_총인구수,"31,551","5,683","5,687","5,456","5,943","4,700","4,082"
2020년09월_여_연령구간인구수,"31,551","5,683","5,687","5,456","5,943","4,700","4,082"
2020년09월_여_0~9세,"2,399",386,637,307,443,340,286
2020년09월_여_10~19세,"3,046",505,732,534,550,297,428
2020년09월_여_20~29세,"4,073",772,570,833,822,601,475
2020년09월_여_30~39세,"4,221",741,777,615,872,736,480
2020년09월_여_40~49세,"4,929",789,"1,099",786,911,667,677
2020년09월_여_50~59세,"5,588","1,118",850,"1,049","1,094",800,677
2020년09월_여_60~69세,"3,726",713,504,652,630,709,518
2020년09월_여_70~79세,"2,046",350,329,353,328,355,331
2020년09월_여_80~89세,"1,189",232,152,251,233,162,159
2020년09월_여_90~99세,292,65,33,68,56,30,40
2020년09월_여_100세 이상,42,12,4,8,4,3,11
