카테고리,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2020년09월_계_총인구수,"583,544","41,954","23,850","21,378","31,742","52,675","18,604","22,004","21,267","34,844","25,114","25,401","34,152","14,693","15,672","37,735","43,966","27,018","44,629","23,181","23,665"
2020년09월_계_연령구간인구수,"583,544","41,954","23,850","21,378","31,742","52,675","18,604","22,004","21,267","34,844","25,114","25,401","34,152","14,693","15,672","37,735","43,966","27,018","44,629","23,181","23,665"
2020년09월_계_0~9세,"40,653","4,183","1,336","1,375","1,766","2,889","1,288","1,346","1,204","2,367","1,342","1,432","1,782",543,751,"3,537","3,861","2,633","4,420","1,190","1,408"
2020년09월_계_10~19세,"45,452","4,599","1,360","1,678","2,129","2,580","1,489","1,655","1,394","2,479","1,723","1,676","1,941",489,625,"5,055","5,535","1,733","4,257","1,498","1,557"
2020년09월_계_20~29세,"87,305","5,505","4,853","3,352","4,241","9,300","2,616","3,186","3,004","5,876","4,254","3,831","8,495","1,755","1,884","4,691","5,296","3,793","5,415","3,337","2,621"
2020년09월_계_30~39세,"99,795","7,324","5,826","3,629","4,676","10,728","2,945","3,255","3,432","6,441","4,203","4,371","8,216","2,483","3,144","4,516","5,689","5,118","6,569","3,495","3,735"
2020년09월_계_40~49세,"91,628","7,707","3,282","3,099","3,997","7,572","3,185","3,278","3,291","5,632","3,672","4,039","4,606","1,493","1,945","7,338","8,731","4,247","7,777","3,194","3,543"
2020년09월_계_50~59세,"86,925","6,001","3,034","3,498","5,469","7,527","2,860","3,392","3,435","4,936","4,043","3,835","4,243","2,277","2,328","5,705","6,505","3,847","6,605","3,723","3,662"
2020년09월_계_60~69세,"75,744","4,111","2,251","2,876","5,171","6,957","2,434","3,438","3,166","4,201","3,598","3,506","3,132","3,219","2,670","3,859","4,937","3,207","5,538","3,611","3,862"
2020년09월_계_70~79세,"38,774","1,732","1,125","1,351","2,557","3,771","1,333","1,786","1,660","2,109","1,628","2,045","1,174","1,532","1,561","2,131","2,520","1,673","2,819","2,121","2,146"
