,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2021년02월_계_총인구수,"26,734","6,979","6,204","2,402","3,723","7,426",0
2021년02월_계_연령구간인구수,"26,734","6,979","6,204","2,402","3,723","7,426",0
2021년02월_계_0~9세,"1,296",556,199,60,148,333,0
2021년02월_계_10~19세,"1,607",578,331,101,187,410,0
2021년02월_계_20~29세,"2,784",874,516,153,386,855,0
2021년02월_계_30~39세,"2,235",786,349,155,306,639,0
2021년02월_계_40~49세,"3,046",901,608,206,384,947,0
2021년02월_계_50~59세,"4,766","1,129","1,127",439,668,"1,403",0
2021년02월_계_60~69세,"5,274","1,045","1,389",599,789,"1,452",0
2021년02월_계_70~79세,"3,468",655,"1,003",425,506,879,0
2021년02월_계_80~89세,"1,893",376,559,223,302,433,0
2021년02월_계_90~99세,348,74,119,40,43,72,0
2021년02월_계_100세 이상,17,5,4,1,4,3,0
2021년02월_남_총인구수,"13,771","3,639","3,090","1,179","1,933","3,930",0
2021년02월_남_연령구간인구수,"13,771","3,639","3,090","1,179","1,933","3,930",0
2021년02월_남_0~9세,664,291,103,26,72,172,0
2021년02월_남_10~19세,875,315,176,58,98,228,0
2021년02월_남_20~29세,"1,762",541,332,89,245,555,0
2021년02월_남_30~39세,"1,272",426,198,95,185,368,0
2021년02월_남_40~49세,"1,687",476,332,126,221,532,0
2021년02월_남_50~59세,"2,584",614,631,230,354,755,0
2021년02월_남_60~69세,"2,692",527,683,308,414,760,0
2021년02월_남_70~79세,"1,492",303,414,171,223,381,0
2021년02월_남_80~89세,661,124,198,66,110,163,0
2021년02월_남_90~99세,79,21,23,10,11,14,0
2021년02월_남_100세 이상,3,1,0,0,0,2,0
2021년02월_여_총인구수,"12,963","3,340","3,114","1,223","1,790","3,496",0
2021년02월_여_연령구간인구수,"12,963","3,340","3,114","1,223","1,790","3,496",0
2021년02월_여_0~9세,632,265,96,34,76,161,0
2021년02월_여_10~19세,732,263,155,43,89,182,0
2021년02월_여_20~29세,"1,022",333,184,64,141,300,0
2021년02월_여_30~39세,963,360,151,60,121,271,0
2021년02월_여_40~49세,"1,359",425,276,80,163,415,0
2021년02월_여_50~59세,"2,182",515,496,209,314,648,0
2021년02월_여_60~69세,"2,582",518,706,291,375,692,0
2021년02월_여_70~79세,"1,976",352,589,254,283,498,0
2021년02월_여_80~89세,"1,232",252,361,157,192,270,0
2021년02월_여_90~99세,269,53,96,30,32,58,0
2021년02월_여_100세 이상,14,4,4,1,4,1,0
