카테고리,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2020년06월_계_총인구수,"9,720,846","150,383","126,092","229,431","297,397","349,574","345,593","394,414","441,812","311,773","329,560","528,887","479,524","312,720","374,390","457,953","586,936","405,075","232,250","373,349","395,165","499,740","428,919","541,233","671,512","457,164"
2020년06월_계_연령구간인구수,"9,720,846","150,383","126,092","229,431","297,397","349,574","345,593","394,414","441,812","311,773","329,560","528,887","479,524","312,720","374,390","457,953","586,936","405,075","232,250","373,349","395,165","499,740","428,919","541,233","671,512","457,164"
2020년06월_계_0~9세,"646,238","7,896","7,097","13,911","21,109","20,639","21,501","23,635","30,057","16,688","19,722","34,803","30,772","20,526","25,880","32,920","41,898","29,305","13,177","25,506","25,743","23,738","34,987","37,764","52,088","34,876"
2020년06월_계_10~19세,"800,377","11,309","7,131","15,964","20,801","26,686","24,666","27,525","38,439","22,772","26,525","54,845","39,501","24,301","29,114","51,445","46,095","30,719","15,184","24,509","28,744","29,841","45,385","59,345","60,029","39,502"
2020년06월_계_20~29세,"1,465,500","23,446","18,565","33,267","45,629","62,568","56,126","56,031","67,142","43,321","44,403","73,904","66,477","50,162","61,673","60,646","87,374","55,607","36,679","58,085","66,994","109,702","56,151","75,092","95,128","61,328"
2020년06월_계_30~39세,"1,496,864","20,146","20,393","38,124","49,882","57,165","50,989","58,354","61,234","39,819","42,124","66,407","69,113","45,224","65,359","59,494","100,911","63,726","35,545","67,487","63,297","88,200","65,310","83,871","112,898","71,792"
2020년06월_계_40~49세,"1,547,624","22,641","18,388","35,934","46,019","53,563","51,593","58,319","71,370","48,072","49,719","88,202","77,391","47,981","61,932","80,086","92,386","63,841","33,521","55,855","59,954","69,777","78,145","99,535","109,796","73,604"
2020년06월_계_50~59세,"1,532,341","25,662","20,939","36,658","47,891","55,069","53,931","69,966","69,723","53,257","57,772","88,369","77,074","49,544","54,313","76,969","87,694","63,382","40,764","56,425","58,886","68,763","63,057","79,987","103,472","72,774"
2020년06월_계_60~69세,"1,217,518","19,556","17,228","28,050","35,811","41,560","45,632","56,521","53,944","45,085","48,708","66,496","62,685","37,735","38,860","56,132","75,130","54,624","32,300","45,835","48,396","58,318","47,187","58,290","82,167","61,268"
2020년06월_계_70~79세,"697,099","12,595","10,601","17,202","20,572","22,281","28,113","30,967","33,713","29,939","27,527","37,196","38,790","24,418","24,522","27,938","38,424","31,264","17,830","26,869","29,540","36,849","27,143","33,507","39,466","29,833"
2020년06월_계_80~89세,"269,405","5,812","4,695","8,376","8,295","8,577","11,153","11,328","13,832","11,113","11,260","15,997","15,235","10,949","10,797","10,483","14,378","10,991","6,262","10,986","11,556","12,571","9,526","11,362","13,759","10,112"
2020년06월_계_90~99세,"41,346","1,053",858,"1,582","1,147","1,255","1,587","1,569","1,983","1,463","1,628","2,396","2,072","1,596","1,614","1,667","2,417","1,448",815,"1,520","1,747","1,665","1,809","2,197","2,424","1,834"
2020년06월_계_100세 이상,"6,534",267,197,363,241,211,302,199,375,244,172,272,414,284,326,173,229,168,173,272,308,316,219,283,285,241
2020년06월_남_총인구수,"4,732,275","73,288","61,697","110,527","145,258","168,879","171,392","195,349","213,431","152,028","160,855","255,624","230,640","149,920","176,664","224,908","283,697","200,098","117,762","184,905","191,211","250,829","205,037","258,753","324,317","225,206"
2020년06월_남_연령구간인구수,"4,732,275","73,288","61,697","110,527","145,258","168,879","171,392","195,349","213,431","152,028","160,855","255,624","230,640","149,920","176,664","224,908","283,697","200,098","117,762","184,905","191,211","250,829","205,037","258,753","324,317","225,206"
2020년06월_남_0~9세,"331,870","3,996","3,601","7,195","10,778","10,522","10,993","12,200","15,349","8,633","10,173","17,941","15,758","10,543","13,121","16,894","21,381","14,990","6,731","12,970","13,142","12,206","18,111","19,585","26,968","18,089"
2020년06월_남_10~19세,"410,236","5,705","3,571","8,114","10,396","13,580","12,471","14,038","19,533","11,723","13,671","28,407","20,129","12,133","14,695","26,787","23,503","15,830","7,695","12,787","14,734","15,275","23,115","30,921","30,645","20,778"
2020년06월_남_20~29세,"713,039","11,564","8,911","15,902","22,571","29,543","28,009","27,931","32,508","21,222","22,598","38,048","32,183","24,190","28,012","31,078","40,768","27,256","18,728","27,382","32,404","53,610","26,986","35,890","45,346","30,399"
2020년06월_남_30~39세,"749,157","10,023","10,219","18,996","24,498","28,210","26,426","30,165","30,532","20,964","21,544","33,140","34,375","22,458","30,972","29,281","51,219","32,560","19,685","34,774","32,031","48,613","30,014","38,340","54,272","35,846"
2020년06월_남_40~49세,"766,587","11,009","9,351","17,651","23,069","26,439","26,623","30,083","35,146","24,592","24,597","42,044","38,262","23,709","30,139","38,375","46,357","32,759","17,491","28,687","30,030","37,192","36,789","46,324","52,942","36,927"
2020년06월_남_50~59세,"752,182","12,907","10,663","18,184","23,911","26,855","27,116","34,588","34,317","26,004","27,556","42,800","37,090","24,017","26,730","38,269","41,870","31,272","20,518","28,717","28,255","34,260","30,903","39,891","50,050","35,439"
2020년06월_남_60~69세,"575,000","9,690","8,568","13,317","17,364","19,747","22,078","27,429","25,385","20,971","23,308","30,973","28,927","17,731","17,934","27,020","34,866","25,792","15,860","22,294","22,240","27,108","21,731","26,661","38,875","29,131"
2020년06월_남_70~79세,"317,745","5,612","4,750","7,459","9,186","10,229","12,701","14,129","14,742","13,043","12,634","16,078","17,149","10,419","10,380","13,129","18,025","14,879","8,320","12,378","13,273","16,922","12,767","15,847","19,269","14,425"
2020년06월_남_80~89세,"103,967","2,322","1,739","3,105","3,103","3,358","4,425","4,380","5,320","4,407","4,286","5,521","6,106","4,200","4,148","3,622","5,080","4,371","2,472","4,424","4,554","5,176","4,090","4,715","5,317","3,726"
2020년06월_남_90~99세,"10,782",372,260,500,313,345,458,361,506,409,442,590,582,446,453,409,556,352,205,425,457,398,475,523,561,384
2020년06월_남_100세 이상,"1,710",88,64,104,69,51,92,45,93,60,46,82,79,74,80,44,72,37,57,67,91,69,56,56,72,62
2020년06월_여_총인구수,"4,988,571","77,095","64,395","118,904","152,139","180,695","174,201","199,065","228,381","159,745","168,705","273,263","248,884","162,800","197,726","233,045","303,239","204,977","114,488","188,444","203,954","248,911","223,882","282,480","347,195","231,958"
2020년06월_여_연령구간인구수,"4,988,571","77,095","64,395","118,904","152,139","180,695","174,201","199,065","228,381","159,745","168,705","273,263","248,884","162,800","197,726","233,045","303,239","204,977","114,488","188,444","203,954","248,911","223,882","282,480","347,195","231,958"
2020년06월_여_0~9세,"314,368","3,900","3,496","6,716","10,331","10,117","10,508","11,435","14,708","8,055","9,549","16,862","15,014","9,983","12,759","16,026","20,517","14,315","6,446","12,536","12,601","11,532","16,876","18,179","25,120","16,787"
2020년06월_여_10~19세,"390,141","5,604","3,560","7,850","10,405","13,106","12,195","13,487","18,906","11,049","12,854","26,438","19,372","12,168","14,419","24,658","22,592","14,889","7,489","11,722","14,010","14,566","22,270","28,424","29,384","18,724"
2020년06월_여_20~29세,"752,461","11,882","9,654","17,365","23,058","33,025","28,117","28,100","34,634","22,099","21,805","35,856","34,294","25,972","33,661","29,568","46,606","28,351","17,951","30,703","34,590","56,092","29,165","39,202","49,782","30,929"
