카테고리,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2020년08월_계_총인구수,"166,067","9,191","30,376","5,515","9,620","2,452","3,727","3,603","5,118","5,175","15,946","12,106","23,635","20,965","18,638"
2020년08월_계_연령구간인구수,"166,067","9,191","30,376","5,515","9,620","2,452","3,727","3,603","5,118","5,175","15,946","12,106","23,635","20,965","18,638"
2020년08월_계_0~9세,"15,947",349,"4,128",200,459,62,109,101,187,206,"1,560","1,257","2,503","2,562","2,264"
2020년08월_계_10~19세,"15,637",565,"2,519",291,490,100,199,193,323,353,"1,816","1,029","2,423","2,539","2,797"
2020년08월_계_20~29세,"16,109",723,"2,421",382,907,141,301,279,369,394,"1,479","1,068","3,300","2,218","2,127"
2020년08월_계_30~39세,"23,105",732,"5,697",342,"1,150",132,225,227,295,325,"1,774","2,055","4,319","3,141","2,691"
2020년08월_계_40~49세,"26,628","1,137","5,320",565,"1,339",221,335,380,557,587,"2,602","2,040","4,058","3,778","3,709"
2020년08월_계_50~59세,"25,774","1,576","4,383",967,"1,927",361,636,683,957,890,"2,530","1,832","3,285","3,054","2,693"
2020년08월_계_60~69세,"20,586","1,850","3,133","1,184","1,630",614,836,766,"1,034","1,030","2,010","1,330","2,027","1,926","1,216"
2020년08월_계_70~79세,"13,197","1,321","1,665",860,"1,027",487,615,551,776,805,"1,309",884,"1,141","1,064",692
2020년08월_계_80~89세,"7,907",811,972,623,609,295,407,359,528,510,757,536,507,604,389
2020년08월_계_90~99세,"1,109",112,131,98,77,36,62,62,86,73,102,71,72,68,59
2020년08월_계_100세 이상,68,15,7,3,5,3,2,2,6,2,7,4,0,11,1
2020년08월_남_총인구수,"88,049","4,849","16,818","2,804","5,590","1,221","1,907","1,851","2,580","2,615","8,146","6,889","12,501","10,662","9,616"
2020년08월_남_연령구간인구수,"88,049","4,849","16,818","2,804","5,590","1,221","1,907","1,851","2,580","2,615","8,146","6,889","12,501","10,662","9,616"
2020년08월_남_0~9세,"8,157",196,"2,142",102,233,36,48,50,88,100,772,636,"1,252","1,332","1,170"
2020년08월_남_10~19세,"8,196",312,"1,329",145,261,56,107,101,174,197,939,514,"1,261","1,310","1,490"
2020년08월_남_20~29세,"9,433",450,"1,397",222,601,85,185,171,209,229,866,697,"1,891","1,225","1,205"
2020년08월_남_30~39세,"13,102",439,"3,210",193,799,81,124,134,167,191,918,"1,313","2,521","1,613","1,399"
2020년08월_남_40~49세,"14,999",693,"3,262",330,909,136,194,240,327,338,"1,390","1,289","2,149","1,928","1,814"
2020년08월_남_50~59세,"14,427",904,"2,626",559,"1,192",177,349,369,525,483,"1,379","1,097","1,711","1,601","1,455"
2020년08월_남_60~69세,"10,475",896,"1,665",595,862,307,434,368,510,515,"1,000",726,"1,031",953,613
2020년08월_남_70~79세,"6,163",609,816,408,492,236,296,280,376,352,596,405,487,488,322
2020년08월_남_80~89세,"2,803",318,329,229,218,97,160,120,179,185,262,193,181,199,133
2020년08월_남_90~99세,280,30,42,21,21,9,10,16,24,24,22,19,17,11,14
2020년08월_남_100세 이상,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020년08월_여_총인구수,"78,018","4,342","13,558","2,711","4,030","1,231","1,820","1,752","2,538","2,560","7,800","5,217","11,134","10,303","9,022"
2020년08월_여_연령구간인구수,"78,018","4,342","13,558","2,711","4,030","1,231","1,820","1,752","2,538","2,560","7,800","5,217","11,134","10,303","9,022"
2020년08월_여_0~9세,"7,790",153,"1,986",98,226,26,61,51,99,106,788,621,"1,251","1,230","1,094"
2020년08월_여_10~19세,"7,441",253,"1,190",146,229,44,92,92,149,156,877,515,"1,162","1,229","1,307"
2020년08월_여_20~29세,"6,676",273,"1,024",160,306,56,116,108,160,165,613,371,"1,409",993,922
2020년08월_여_30~39세,"10,003",293,"2,487",149,351,51,101,93,128,134,856,742,"1,798","1,528","1,292"
2020년08월_여_40~49세,"11,629",444,"2,058",235,430,85,141,140,230,249,"1,212",751,"1,909","1,850","1,895"
2020년08월_여_50~59세,"11,347",672,"1,757",408,735,184,287,314,432,407,"1,151",735,"1,574","1,453","1,238"
2020년08월_여_60~69세,"10,111",954,"1,468",589,768,307,402,398,524,515,"1,010",604,996,973,603
2020년08월_여_70~79세,"7,034",712,849,452,535,251,319,271,400,453,713,479,654,576,370
2020년08월_여_80~89세,"5,104",493,643,394,391,198,247,239,349,325,495,343,326,405,256
2020년08월_여_90~99세,829,82,89,77,56,27,52,46,62,49,80,52,55,57,45
2020년08월_여_100세 이상,54,13,7,3,3,2,2,0,5,1,5,4,0,9,0
