,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2020년11월_계_총인구수,"24,868","8,444","2,721","2,899","4,315","6,489"
2020년11월_계_연령구간인구수,"24,868","8,444","2,721","2,899","4,315","6,489"
2020년11월_계_0~9세,"1,804",723,54,130,305,592
2020년11월_계_10~19세,"1,805",772,147,280,149,457
2020년11월_계_20~29세,"3,916","1,192",271,272,"1,164","1,017"
2020년11월_계_30~39세,"2,855","1,027",138,252,536,902
2020년11월_계_40~49세,"2,744","1,164",216,370,331,663
2020년11월_계_50~59세,"3,955","1,327",597,532,531,968
2020년11월_계_60~69세,"3,770","1,057",614,503,610,986
2020년11월_계_70~79세,"2,423",742,406,324,393,558
2020년11월_계_80~89세,"1,354",385,228,203,248,290
2020년11월_계_90~99세,227,52,49,28,46,52
2020년11월_계_100세 이상,15,3,1,5,2,4
2020년11월_남_총인구수,"13,488","4,407","1,449","1,508","2,623","3,501"
2020년11월_남_연령구간인구수,"13,488","4,407","1,449","1,508","2,623","3,501"
2020년11월_남_0~9세,903,363,30,69,141,300
2020년11월_남_10~19세,913,403,69,141,84,216
2020년11월_남_20~29세,"2,745",736,205,152,942,710
2020년11월_남_30~39세,"1,672",574,83,127,361,527
2020년11월_남_40~49세,"1,489",603,105,213,201,367
2020년11월_남_50~59세,"2,140",718,336,305,286,495
2020년11월_남_60~69세,"2,011",559,339,270,334,509
2020년11월_남_70~79세,"1,074",304,188,153,175,254
2020년11월_남_80~89세,473,132,79,69,89,104
2020년11월_남_90~99세,61,14,14,7,9,17
2020년11월_남_100세 이상,7,1,1,2,1,2
2020년11월_여_총인구수,"11,380","4,037","1,272","1,391","1,692","2,988"
2020년11월_여_연령구간인구수,"11,380","4,037","1,272","1,391","1,692","2,988"
2020년11월_여_0~9세,901,360,24,61,164,292
2020년11월_여_10~19세,892,369,78,139,65,241
2020년11월_여_20~29세,"1,171",456,66,120,222,307
2020년11월_여_30~39세,"1,183",453,55,125,175,375
2020년11월_여_40~49세,"1,255",561,111,157,130,296
2020년11월_여_50~59세,"1,815",609,261,227,245,473
2020년11월_여_60~69세,"1,759",498,275,233,276,477
2020년11월_여_70~79세,"1,349",438,218,171,218,304
2020년11월_여_80~89세,881,253,149,134,159,186
2020년11월_여_90~99세,166,38,35,21,37,35
2020년11월_여_100세 이상,8,2,0,3,1,2
