,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2021년05월_계_총인구수,"516,552","21,810","27,101","30,250","37,130","39,298","27,046","22,367","24,411","27,073","20,326","34,781","38,597","20,259","26,605","24,283","33,006","22,785","20,764","18,660"
2021년05월_계_연령구간인구수,"516,552","21,810","27,101","30,250","37,130","39,298","27,046","22,367","24,411","27,073","20,326","34,781","38,597","20,259","26,605","24,283","33,006","22,785","20,764","18,660"
2021년05월_계_0~9세,"31,940","1,138","1,699","2,180","2,028","2,827","1,136","1,456","1,504","1,936","1,143","1,961","2,268",956,"1,358","1,058","2,363","2,354","1,284","1,291"
2021년05월_계_10~19세,"51,686","1,662","2,069","2,108","2,604","4,274","3,041","2,742","4,467","5,605","2,223","3,104","3,296","1,813","2,051","2,013","2,966","1,973","2,044","1,631"
2021년05월_계_20~29세,"71,872","3,753","3,164","3,531","6,583","6,665","4,519","3,040","3,159","2,932","2,557","4,223","5,219","3,266","3,218","3,425","4,513","2,750","2,725","2,630"
2021년05월_계_30~39세,"63,864","2,615","3,157","4,524","5,324","5,154","2,714","2,535","1,850","2,004","1,941","4,181","4,857","2,300","2,888","2,611","4,829","4,713","2,777","2,890"
2021년05월_계_40~49세,"84,001","3,330","4,204","4,591","5,345","6,448","4,090","3,962","4,925","6,427","3,414","5,697","5,621","2,984","3,832","3,590","5,399","3,837","3,371","2,934"
2021년05월_계_50~59세,"87,236","3,437","4,579","4,749","5,728","6,004","4,955","3,894","4,558","4,505","3,575","5,634","6,955","3,928","4,736","4,480","5,651","3,043","3,564","3,261"
2021년05월_계_60~69세,"69,223","3,109","4,457","4,666","5,502","4,587","3,664","2,573","2,269","2,124","2,668","4,882","6,018","2,907","4,413","3,746","4,071","2,307","2,846","2,414"
2021년05월_계_70~79세,"37,294","1,917","2,530","2,606","2,790","2,218","1,816","1,364","1,056",970,"1,891","3,275","2,907","1,409","2,743","2,264","1,986","1,174","1,373","1,005"
2021년05월_계_80~89세,"16,823",737,"1,056","1,141","1,062",981,976,702,551,500,789,"1,596","1,244",597,"1,207",935,"1,023",545,661,520
2021년05월_계_90~99세,"2,499",102,179,148,161,136,129,98,68,64,121,220,204,94,137,153,199,87,116,83
2021년05월_계_100세 이상,114,10,7,6,3,4,6,1,4,6,4,8,8,5,22,8,6,2,3,1
2021년05월_남_총인구수,"249,029","11,229","13,061","14,460","18,106","19,111","12,977","10,662","11,929","13,189","9,814","16,005","18,696","10,031","13,208","11,800","15,296","10,961","9,862","8,632"
2021년05월_남_연령구간인구수,"249,029","11,229","13,061","14,460","18,106","19,111","12,977","10,662","11,929","13,189","9,814","16,005","18,696","10,031","13,208","11,800","15,296","10,961","9,862","8,632"
2021년05월_남_0~9세,"16,457",582,866,"1,111","1,039","1,470",605,765,806,"1,045",584,982,"1,156",471,695,539,"1,216","1,224",653,648
2021년05월_남_10~19세,"26,809",891,"1,062","1,110","1,314","2,194","1,699","1,403","2,250","2,948","1,222","1,501","1,730",932,"1,117","1,021","1,546",986,"1,063",820
2021년05월_남_20~29세,"36,749","2,166","1,686","1,758","3,260","3,275","2,397","1,544","1,633","1,521","1,322","2,155","2,643","1,648","1,718","1,808","2,170","1,372","1,420","1,253"
2021년05월_남_30~39세,"31,831","1,441","1,591","2,256","2,713","2,573","1,351","1,207",880,874,976,"2,022","2,428","1,199","1,520","1,382","2,278","2,316","1,425","1,399"
2021년05월_남_40~49세,"39,983","1,713","2,124","2,343","2,733","3,042","1,821","1,842","2,133","2,794","1,615","2,776","2,681","1,442","1,926","1,768","2,479","1,907","1,517","1,327"
2021년05월_남_50~59세,"42,285","1,732","2,214","2,200","2,767","2,938","2,398","1,872","2,369","2,400","1,787","2,656","3,303","1,976","2,396","2,170","2,552","1,431","1,654","1,470"
2021년05월_남_60~69세,"32,200","1,486","1,999","2,079","2,544","2,174","1,690","1,203","1,190","1,034","1,254","2,144","2,895","1,442","2,113","1,766","1,817",998,"1,286","1,086"
2021년05월_남_70~79세,"16,184",877,"1,131","1,160","1,283","1,043",695,574,454,402,750,"1,204","1,321",669,"1,222",975,863,516,603,442
2021년05월_남_80~89세,"5,890",314,341,410,413,360,278,226,197,150,273,508,494,232,463,329,335,186,217,164
2021년05월_남_90~99세,622,26,46,33,39,41,43,26,17,18,31,57,42,20,30,42,40,25,23,23
2021년05월_남_100세 이상,19,1,1,0,1,1,0,0,0,3,0,0,3,0,8,0,0,0,1,0
2021년05월_여_총인구수,"267,523","10,581","14,040","15,790","19,024","20,187","14,069","11,705","12,482","13,884","10,512","18,776","19,901","10,228","13,397","12,483","17,710","11,824","10,902","10,028"
2021년05월_여_연령구간인구수,"267,523","10,581","14,040","15,790","19,024","20,187","14,069","11,705","12,482","13,884","10,512","18,776","19,901","10,228","13,397","12,483","17,710","11,824","10,902","10,028"
2021년05월_여_0~9세,"15,483",556,833,"1,069",989,"1,357",531,691,698,891,559,979,"1,112",485,663,519,"1,147","1,130",631,643
2021년05월_여_10~19세,"24,877",771,"1,007",998,"1,290","2,080","1,342","1,339","2,217","2,657","1,001","1,603","1,566",881,934,992,"1,420",987,981,811
2021년05월_여_20~29세,"35,123","1,587","1,478","1,773","3,323","3,390","2,122","1,496","1,526","1,411","1,235","2,068","2,576","1,618","1,500","1,617","2,343","1,378","1,305","1,377"
2021년05월_여_30~39세,"32,033","1,174","1,566","2,268","2,611","2,581","1,363","1,328",970,"1,130",965,"2,159","2,429","1,101","1,368","1,229","2,551","2,397","1,352","1,491"
2021년05월_여_40~49세,"44,018","1,617","2,080","2,248","2,612","3,406","2,269","2,120","2,792","3,633","1,799","2,921","2,940","1,542","1,906","1,822","2,920","1,930","1,854","1,607"
2021년05월_여_50~59세,"44,951","1,705","2,365","2,549","2,961","3,066","2,557","2,022","2,189","2,105","1,788","2,978","3,652","1,952","2,340","2,310","3,099","1,612","1,910","1,791"
2021년05월_여_60~69세,"37,023","1,623","2,458","2,587","2,958","2,413","1,974","1,370","1,079","1,090","1,414","2,738","3,123","1,465","2,300","1,980","2,254","1,309","1,560","1,328"
2021년05월_여_70~79세,"21,110","1,040","1,399","1,446","1,507","1,175","1,121",790,602,568,"1,141","2,071","1,586",740,"1,521","1,289","1,123",658,770,563
2021년05월_여_80~89세,"10,933",423,715,731,649,621,698,476,354,350,516,"1,088",750,365,744,606,688,359,444,356
2021년05월_여_90~99세,"1,877",76,133,115,122,95,86,72,51,46,90,163,162,74,107,111,159,62,93,60
2021년05월_여_100세 이상,95,9,6,6,2,3,6,1,4,3,4,8,5,5,14,8,6,2,2,1
