카테고리,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2021년09월_계_총인구수,"43,579","5,309","3,531","11,825","15,035","1,877","3,706","2,192",104,0,0,0,0
2021년09월_계_연령구간인구수,"43,579","5,309","3,531","11,825","15,035","1,877","3,706","2,192",104,0,0,0,0
2021년09월_계_0~9세,"3,228",419,360,778,"1,110",160,228,173,0,0,0,0,0
2021년09월_계_10~19세,"3,635",463,262,948,"1,417",81,329,132,3,0,0,0,0
2021년09월_계_20~29세,"5,319",614,486,"1,524","1,653",358,413,270,1,0,0,0,0
2021년09월_계_30~39세,"4,548",590,462,"1,218","1,470",239,321,246,2,0,0,0,0
2021년09월_계_40~49세,"5,523",643,394,"1,567","2,007",180,531,193,8,0,0,0,0
2021년09월_계_50~59세,"6,960",851,448,"1,976","2,488",222,625,333,17,0,0,0,0
2021년09월_계_60~69세,"7,086",818,523,"1,961","2,451",286,620,408,19,0,0,0,0
2021년09월_계_70~79세,"4,548",579,347,"1,191","1,524",213,380,281,33,0,0,0,0
2021년09월_계_80~89세,"2,349",294,212,564,783,118,221,137,20,0,0,0,0
2021년09월_계_90~99세,369,38,35,91,129,20,37,18,1,0,0,0,0
2021년09월_계_100세 이상,14,0,2,7,3,0,1,1,0,0,0,0,0
2021년09월_남_총인구수,"22,607","2,703","1,881","6,331","7,560","1,046","1,870","1,168",48,0,0,0,0
2021년09월_남_연령구간인구수,"22,607","2,703","1,881","6,331","7,560","1,046","1,870","1,168",48,0,0,0,0
2021년09월_남_0~9세,"1,598",196,193,382,533,81,120,93,0,0,0,0,0
2021년09월_남_10~19세,"1,896",256,137,520,704,52,158,67,2,0,0,0,0
2021년09월_남_20~29세,"3,442",362,323,"1,042",990,262,266,196,1,0,0,0,0
2021년09월_남_30~39세,"2,538",324,259,707,791,151,166,139,1,0,0,0,0
2021년09월_남_40~49세,"2,937",340,223,824,"1,029",107,295,114,5,0,0,0,0
2021년09월_남_50~59세,"3,715",464,241,"1,045","1,334",120,331,169,11,0,0,0,0
2021년09월_남_60~69세,"3,509",400,274,"1,019","1,174",136,291,209,6,0,0,0,0
2021년09월_남_70~79세,"2,035",251,142,536,705,96,162,132,11,0,0,0,0
2021년09월_남_80~89세,850,101,82,233,266,36,76,45,11,0,0,0,0
2021년09월_남_90~99세,85,9,7,21,34,5,5,4,0,0,0,0,0
2021년09월_남_100세 이상,2,0,0,2,0,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"20,972","2,606","1,650","5,494","7,475",831,"1,836","1,024",56,0,0,0,0
2021년09월_여_연령구간인구수,"20,972","2,606","1,650","5,494","7,475",831,"1,836","1,024",56,0,0,0,0
2021년09월_여_0~9세,"1,630",223,167,396,577,79,108,80,0,0,0,0,0
2021년09월_여_10~19세,"1,739",207,125,428,713,29,171,65,1,0,0,0,0
2021년09월_여_20~29세,"1,877",252,163,482,663,96,147,74,0,0,0,0,0
2021년09월_여_30~39세,"2,010",266,203,511,679,88,155,107,1,0,0,0,0
2021년09월_여_40~49세,"2,586",303,171,743,978,73,236,79,3,0,0,0,0
2021년09월_여_50~59세,"3,245",387,207,931,"1,154",102,294,164,6,0,0,0,0
2021년09월_여_60~69세,"3,577",418,249,942,"1,277",150,329,199,13,0,0,0,0
2021년09월_여_70~79세,"2,513",328,205,655,819,117,218,149,22,0,0,0,0
2021년09월_여_80~89세,"1,499",193,130,331,517,82,145,92,9,0,0,0,0
2021년09월_여_90~99세,284,29,28,70,95,15,32,14,1,0,0,0,0
2021년09월_여_100세 이상,12,0,2,5,3,0,1,1,0,0,0,0,0
