,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2021년01월_계_총인구수,"25,573","10,810","1,288","1,528","2,536","2,686","2,286","1,477","2,962"
2021년01월_계_연령구간인구수,"25,573","10,810","1,288","1,528","2,536","2,686","2,286","1,477","2,962"
2021년01월_계_0~9세,"1,140",694,42,48,52,111,60,48,85
2021년01월_계_10~19세,"1,828","1,042",70,68,143,180,111,59,155
2021년01월_계_20~29세,"1,945","1,034",74,83,145,191,109,110,199
2021년01월_계_30~39세,"1,657",869,54,74,114,158,146,92,150
2021년01월_계_40~49세,"2,890","1,444",138,146,234,337,174,153,264
2021년01월_계_50~59세,"4,577","1,921",248,280,534,444,372,229,549
2021년01월_계_60~69세,"4,743","1,712",280,299,586,512,467,278,609
2021년01월_계_70~79세,"3,895","1,268",205,308,389,421,457,286,561
2021년01월_계_80~89세,"2,495",710,154,194,282,286,334,189,346
2021년01월_계_90~99세,380,111,22,25,54,40,54,33,41
2021년01월_계_100세 이상,23,5,1,3,3,6,2,0,3
2021년01월_남_총인구수,"12,442","5,254",648,748,"1,237","1,331","1,082",708,"1,434"
2021년01월_남_연령구간인구수,"12,442","5,254",648,748,"1,237","1,331","1,082",708,"1,434"
2021년01월_남_0~9세,563,342,24,25,26,53,26,25,42
2021년01월_남_10~19세,965,557,34,30,71,105,61,35,72
2021년01월_남_20~29세,"1,049",542,44,42,89,97,58,60,117
2021년01월_남_30~39세,887,438,26,35,70,93,86,53,86
2021년01월_남_40~49세,"1,575",724,84,93,131,188,112,88,155
2021년01월_남_50~59세,"2,543",999,145,174,298,269,217,128,313
2021년01월_남_60~69세,"2,339",845,149,147,294,248,222,133,301
2021년01월_남_70~79세,"1,622",539,83,129,156,178,190,118,229
2021년01월_남_80~89세,812,243,58,65,90,90,99,58,109
2021년01월_남_90~99세,84,25,1,8,12,8,11,10,9
2021년01월_남_100세 이상,3,0,0,0,0,2,0,0,1
2021년01월_여_총인구수,"13,131","5,556",640,780,"1,299","1,355","1,204",769,"1,528"
2021년01월_여_연령구간인구수,"13,131","5,556",640,780,"1,299","1,355","1,204",769,"1,528"
2021년01월_여_0~9세,577,352,18,23,26,58,34,23,43
2021년01월_여_10~19세,863,485,36,38,72,75,50,24,83
2021년01월_여_20~29세,896,492,30,41,56,94,51,50,82
2021년01월_여_30~39세,770,431,28,39,44,65,60,39,64
2021년01월_여_40~49세,"1,315",720,54,53,103,149,62,65,109
2021년01월_여_50~59세,"2,034",922,103,106,236,175,155,101,236
2021년01월_여_60~69세,"2,404",867,131,152,292,264,245,145,308
2021년01월_여_70~79세,"2,273",729,122,179,233,243,267,168,332
2021년01월_여_80~89세,"1,683",467,96,129,192,196,235,131,237
2021년01월_여_90~99세,296,86,21,17,42,32,43,23,32
2021년01월_여_100세 이상,20,5,1,3,3,4,2,0,2
