카테고리,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020년08월_계_총인구수,"1,807,094","656,149","339,695","316,454","267,982","283,496","109,167","81,062","83,061","91,741","25,466","24,024","22,159","27,663","27,942","54,727","52,455"
2020년08월_계_연령구간인구수,"1,807,094","656,149","339,695","316,454","267,982","283,496","109,167","81,062","83,061","91,741","25,466","24,024","22,159","27,663","27,942","54,727","52,455"
2020년08월_계_0~9세,"131,521","54,837","25,221","29,616","21,450","19,772","6,572","5,159","4,471","7,152","1,324","1,245","1,183","1,402","1,574","2,755","2,625"
2020년08월_계_10~19세,"176,668","72,356","36,637","35,719","27,060","28,291","9,805","7,416","6,276","8,318","1,675","1,813","1,663","1,728","2,243","4,206","3,818"
2020년08월_계_20~29세,"211,321","92,560","49,351","43,209","29,568","36,311","10,685","7,623","7,283","8,958","1,969","1,775","1,679","2,162","2,085","4,344","4,319"
2020년08월_계_30~39세,"191,716","82,226","40,236","41,990","31,258","29,079","9,079","6,566","6,795","9,626","1,712","1,751","1,588","2,016","2,067","3,972","3,981"
2020년08월_계_40~49세,"270,761","107,597","54,020","53,577","43,758","42,427","15,086","10,912","10,174","13,607","2,815","2,899","2,621","2,958","3,378","6,286","6,243"
2020년08월_계_50~59세,"300,573","105,737","57,048","48,689","43,934","49,301","18,597","13,776","13,934","15,328","4,570","4,215","3,709","4,765","4,535","9,200","8,972"
2020년08월_계_60~69세,"250,774","75,174","41,451","33,723","36,776","39,666","16,572","12,772","14,363","13,577","4,739","4,269","4,174","4,920","4,731","9,545","9,496"
2020년08월_계_70~79세,"168,927","43,518","23,578","19,940","22,553","24,239","13,364","9,797","11,344","9,123","3,822","3,421","3,132","4,304","4,206","8,393","7,711"
2020년08월_계_80~89세,"90,648","19,256","10,508","8,748","9,985","12,397","8,151","6,056","7,171","5,240","2,449","2,290","2,108","2,962","2,729","5,206","4,648"
2020년08월_계_90~99세,"13,333","2,725","1,563","1,162","1,521","1,907","1,149",943,"1,176",768,363,324,280,423,363,785,606
2020년08월_계_100세 이상,852,163,82,81,119,106,107,42,74,44,28,22,22,23,31,35,36
