,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2020년05월_계_총인구수,"29,392","10,717","5,498","2,486","2,101","3,346","1,938","1,552","1,754"
2020년05월_계_연령구간인구수,"29,392","10,717","5,498","2,486","2,101","3,346","1,938","1,552","1,754"
2020년05월_계_0~9세,"1,247",661,274,60,60,90,48,21,33
2020년05월_계_10~19세,"2,049",983,422,101,142,178,81,36,106
2020년05월_계_20~29세,"2,339","1,162",501,122,108,159,96,81,110
2020년05월_계_30~39세,"2,096","1,063",437,106,89,159,82,77,83
2020년05월_계_40~49세,"3,425","1,514",729,196,192,353,162,130,149
2020년05월_계_50~59세,"5,768","2,024","1,001",539,410,696,418,309,371
2020년05월_계_60~69세,"6,147","1,767",987,631,539,809,530,438,446
2020년05월_계_70~79세,"3,916",974,748,443,363,552,316,262,258
2020년05월_계_80~89세,"2,116",498,359,240,177,310,186,173,173
2020년05월_계_90~99세,267,69,39,42,18,38,18,25,18
2020년05월_계_100세 이상,22,2,1,6,3,2,1,0,7
2020년05월_남_총인구수,"14,894","5,389","2,840","1,232","1,125","1,610","1,050",792,856
2020년05월_남_연령구간인구수,"14,894","5,389","2,840","1,232","1,125","1,610","1,050",792,856
2020년05월_남_0~9세,649,339,147,31,37,44,24,11,16
2020년05월_남_10~19세,"1,085",498,221,55,99,97,52,15,48
2020년05월_남_20~29세,"1,361",656,308,59,61,96,68,42,71
2020년05월_남_30~39세,"1,122",553,241,54,53,87,47,48,39
2020년05월_남_40~49세,"1,896",802,426,111,110,180,103,83,81
2020년05월_남_50~59세,"3,063","1,073",536,294,217,356,221,172,194
2020년05월_남_60~69세,"3,164",865,492,336,279,388,314,248,242
2020년05월_남_70~79세,"1,738",417,319,191,196,249,146,114,106
2020년05월_남_80~89세,742,171,139,88,68,106,66,52,52
2020년05월_남_90~99세,66,13,10,11,5,6,8,7,6
2020년05월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년05월_여_총인구수,"14,498","5,328","2,658","1,254",976,"1,736",888,760,898
2020년05월_여_연령구간인구수,"14,498","5,328","2,658","1,254",976,"1,736",888,760,898
2020년05월_여_0~9세,598,322,127,29,23,46,24,10,17
2020년05월_여_10~19세,964,485,201,46,43,81,29,21,58
2020년05월_여_20~29세,978,506,193,63,47,63,28,39,39
2020년05월_여_30~39세,974,510,196,52,36,72,35,29,44
2020년05월_여_40~49세,"1,529",712,303,85,82,173,59,47,68
2020년05월_여_50~59세,"2,705",951,465,245,193,340,197,137,177
2020년05월_여_60~69세,"2,983",902,495,295,260,421,216,190,204
2020년05월_여_70~79세,"2,178",557,429,252,167,303,170,148,152
2020년05월_여_80~89세,"1,374",327,220,152,109,204,120,121,121
2020년05월_여_90~99세,201,56,29,31,13,32,10,18,12
2020년05월_여_100세 이상,14,0,0,4,3,1,0,0,6
