,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2020년04월_계_총인구수,"395,072","25,360","19,447","9,509","35,269","22,416","25,964","25,183","19,709","20,624","26,249","35,780","19,548","30,513","17,444","40,491","21,566"
2020년04월_계_연령구간인구수,"395,072","25,360","19,447","9,509","35,269","22,416","25,964","25,183","19,709","20,624","26,249","35,780","19,548","30,513","17,444","40,491","21,566"
2020년04월_계_0~9세,"23,873","1,379","1,131",516,"1,782","1,258","1,241","1,957",829,"1,364","1,128","2,614","1,180","1,529",877,"3,633","1,455"
2020년04월_계_10~19세,"27,815","1,702","1,289",652,"2,127","1,325","1,607","2,075",891,"1,413","1,303","3,225","1,291","1,965","1,259","3,865","1,826"
2020년04월_계_20~29세,"56,018","3,457","2,558","1,259","5,307","3,087","3,815","3,705","3,859","2,997","3,887","4,938","2,763","4,236","2,373","5,084","2,693"
2020년04월_계_30~39세,"58,561","3,496","2,819","1,409","5,559","3,469","3,742","3,735","4,058","3,326","3,790","5,196","3,149","4,109","2,244","5,429","3,031"
2020년04월_계_40~49세,"58,681","3,892","3,090","1,437","5,279","3,226","3,672","3,664","2,666","2,905","3,684","5,990","2,960","4,233","2,530","6,134","3,319"
2020년04월_계_50~59세,"70,332","5,019","3,342","1,776","6,533","4,023","4,777","4,545","3,129","3,485","5,199","5,640","3,225","5,840","3,424","6,730","3,645"
2020년04월_계_60~69세,"56,063","3,566","2,839","1,388","4,783","3,404","3,922","3,181","2,420","2,996","4,040","4,541","2,883","4,907","2,657","5,380","3,156"
2020년04월_계_70~79세,"30,748","2,008","1,792",785,"2,824","1,875","2,270","1,594","1,335","1,496","2,272","2,535","1,511","2,564","1,452","2,821","1,614"
2020년04월_계_80~89세,"11,235",725,492,255,939,657,803,639,442,566,836,964,514,962,532,"1,183",726
2020년04월_계_90~99세,"1,550",105,86,28,110,80,104,86,69,71,93,115,61,150,81,216,95
2020년04월_계_100세 이상,196,11,9,4,26,12,11,2,11,5,17,22,11,18,15,16,6
2020년04월_남_총인구수,"195,784","12,701","9,702","4,854","17,531","11,234","12,955","12,322","9,604","10,117","13,513","17,385","9,615","15,421","8,786","19,763","10,281"
2020년04월_남_연령구간인구수,"195,784","12,701","9,702","4,854","17,531","11,234","12,955","12,322","9,604","10,117","13,513","17,385","9,615","15,421","8,786","19,763","10,281"
2020년04월_남_0~9세,"12,309",704,600,241,924,679,615,"1,030",418,710,603,"1,341",612,780,460,"1,860",732
2020년04월_남_10~19세,"14,193",845,688,335,"1,047",685,837,"1,087",463,706,689,"1,632",664,987,596,"2,001",931
2020년04월_남_20~29세,"27,975","1,735","1,311",682,"2,710","1,599","1,953","1,834","1,670","1,489","1,917","2,390","1,328","2,208","1,208","2,574","1,367"
2020년04월_남_30~39세,"30,305","1,885","1,457",751,"2,932","1,773","1,978","1,890","2,066","1,712","2,050","2,593","1,679","2,156","1,222","2,667","1,494"
2020년04월_남_40~49세,"30,252","2,053","1,644",775,"2,720","1,720","1,955","1,766","1,391","1,519","1,979","2,955","1,479","2,288","1,282","3,110","1,616"
2020년04월_남_50~59세,"34,759","2,562","1,681",923,"3,246","1,933","2,341","2,213","1,582","1,636","2,761","2,721","1,579","2,932","1,767","3,171","1,711"
2020년04월_남_60~69세,"27,211","1,720","1,326",685,"2,299","1,680","1,884","1,548","1,160","1,432","2,097","2,129","1,357","2,471","1,346","2,607","1,470"
2020년04월_남_70~79세,"14,047",894,786,347,"1,261",893,"1,041",702,648,673,"1,044","1,193",695,"1,196",683,"1,302",689
2020년04월_남_80~89세,"4,331",274,182,111,362,252,318,236,187,226,333,400,202,364,205,430,249
2020년04월_남_90~99세,357,28,26,3,23,18,30,16,17,13,34,24,16,35,14,39,21
2020년04월_남_100세 이상,45,1,1,1,7,2,3,0,2,1,6,7,4,4,3,2,1
2020년04월_여_총인구수,"199,288","12,659","9,745","4,655","17,738","11,182","13,009","12,861","10,105","10,507","12,736","18,395","9,933","15,092","8,658","20,728","11,285"
