카테고리,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2020년02월_계_총인구수,"52,516","13,681","1,991","1,645","1,853","1,580","1,504","1,467","4,413","3,984","2,577","1,844","1,810","1,841","4,610","3,897",795,"2,181",843
2020년02월_계_연령구간인구수,"52,516","13,681","1,991","1,645","1,853","1,580","1,504","1,467","4,413","3,984","2,577","1,844","1,810","1,841","4,610","3,897",795,"2,181",843
2020년02월_계_0~9세,"1,997",853,27,40,42,30,35,28,139,152,87,51,45,43,238,101,20,52,14
2020년02월_계_10~19세,"2,463","1,068",65,45,53,35,61,42,164,150,60,50,64,61,296,139,12,73,25
2020년02월_계_20~29세,"3,366","1,185",92,79,102,75,65,67,248,283,136,94,119,107,354,212,25,94,29
2020년02월_계_30~39세,"3,455","1,274",102,76,77,55,83,82,258,303,127,101,96,94,339,223,29,91,45
2020년02월_계_40~49세,"4,904","1,804",162,104,164,114,80,96,363,359,194,146,131,135,502,294,50,153,53
2020년02월_계_50~59세,"9,099","2,342",331,273,352,299,299,261,727,712,439,325,314,319,791,661,148,367,139
2020년02월_계_60~69세,"11,421","2,489",507,406,459,400,411,395,"1,014",903,624,444,373,420,826,875,163,527,185
2020년02월_계_70~79세,"9,025","1,673",398,354,358,291,263,268,858,647,500,339,348,357,732,802,198,451,188
2020년02월_계_80~89세,"5,981",853,275,249,221,244,175,202,549,411,365,262,292,279,473,525,132,325,149
2020년02월_계_90~99세,761,129,30,19,24,37,29,25,86,61,42,30,26,24,58,64,18,44,15
2020년02월_계_100세 이상,44,11,2,0,1,0,3,1,7,3,3,2,2,2,1,1,0,4,1
2020년02월_남_총인구수,"25,734","6,752",986,812,898,759,756,741,"2,195","1,937","1,235",937,883,880,"2,185","1,921",374,"1,087",396
2020년02월_남_연령구간인구수,"25,734","6,752",986,812,898,759,756,741,"2,195","1,937","1,235",937,883,880,"2,185","1,921",374,"1,087",396
2020년02월_남_0~9세,"1,042",460,16,24,26,15,15,16,80,73,34,22,24,27,116,54,8,24,8
2020년02월_남_10~19세,"1,279",568,39,19,19,18,33,19,85,80,31,30,32,31,139,73,5,42,16
2020년02월_남_20~29세,"1,957",666,61,49,54,48,48,39,150,162,78,54,72,65,202,127,16,50,16
2020년02월_남_30~39세,"1,915",657,65,55,50,31,47,53,146,160,75,62,55,51,182,132,14,53,27
2020년02월_남_40~49세,"2,871",966,115,69,97,79,43,61,219,210,121,102,80,80,270,197,26,103,33
2020년02월_남_50~59세,"4,931","1,206",184,151,191,159,154,148,402,408,245,185,175,190,414,348,84,203,84
2020년02월_남_60~69세,"5,682","1,195",254,200,232,200,229,214,514,416,309,232,180,207,395,443,91,283,88
2020년02월_남_70~79세,"3,907",732,150,163,150,133,119,113,386,282,223,152,152,135,314,355,76,201,71
2020년02월_남_80~89세,"1,971",271,96,81,74,71,59,73,191,132,110,91,108,87,143,168,48,117,51
2020년02월_남_90~99세,171,29,6,1,4,5,8,4,21,14,9,7,5,7,10,23,6,10,2
2020년02월_남_100세 이상,8,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
2020년02월_여_총인구수,"26,782","6,929","1,005",833,955,821,748,726,"2,218","2,047","1,342",907,927,961,"2,425","1,976",421,"1,094",447
2020년02월_여_연령구간인구수,"26,782","6,929","1,005",833,955,821,748,726,"2,218","2,047","1,342",907,927,961,"2,425","1,976",421,"1,094",447
2020년02월_여_0~9세,955,393,11,16,16,15,20,12,59,79,53,29,21,16,122,47,12,28,6
2020년02월_여_10~19세,"1,184",500,26,26,34,17,28,23,79,70,29,20,32,30,157,66,7,31,9
2020년02월_여_20~29세,"1,409",519,31,30,48,27,17,28,98,121,58,40,47,42,152,85,9,44,13
2020년02월_여_30~39세,"1,540",617,37,21,27,24,36,29,112,143,52,39,41,43,157,91,15,38,18
2020년02월_여_40~49세,"2,033",838,47,35,67,35,37,35,144,149,73,44,51,55,232,97,24,50,20
2020년02월_여_50~59세,"4,168","1,136",147,122,161,140,145,113,325,304,194,140,139,129,377,313,64,164,55
2020년02월_여_60~69세,"5,739","1,294",253,206,227,200,182,181,500,487,315,212,193,213,431,432,72,244,97
2020년02월_여_70~79세,"5,118",941,248,191,208,158,144,155,472,365,277,187,196,222,418,447,122,250,117
2020년02월_여_80~89세,"4,010",582,179,168,147,173,116,129,358,279,255,171,184,192,330,357,84,208,98
2020년02월_여_90~99세,590,100,24,18,20,32,21,21,65,47,33,23,21,17,48,41,12,34,13
2020년02월_여_100세 이상,36,9,2,0,0,0,2,0,6,3,3,2,2,2,1,0,0,3,1
