,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2020년07월_계_총인구수,"25,766","10,877","1,282","1,531","2,585","2,724","2,296","1,495","2,976"
2020년07월_계_연령구간인구수,"25,766","10,877","1,282","1,531","2,585","2,724","2,296","1,495","2,976"
2020년07월_계_0~9세,"1,180",695,41,50,58,125,70,51,90
2020년07월_계_10~19세,"1,914","1,093",70,74,162,182,109,62,162
2020년07월_계_20~29세,"2,000","1,068",76,86,154,191,118,104,203
2020년07월_계_30~39세,"1,715",910,56,74,118,177,140,94,146
2020년07월_계_40~49세,"2,994","1,470",151,152,252,345,170,169,285
2020년07월_계_50~59세,"4,648","1,929",244,280,566,449,384,232,564
2020년07월_계_60~69세,"4,553","1,652",265,293,542,495,449,267,590
2020년07월_계_70~79세,"3,913","1,243",209,308,390,433,478,298,554
2020년07월_계_80~89세,"2,471",705,149,191,286,281,326,189,344
2020년07월_계_90~99세,358,108,21,20,54,42,50,28,35
2020년07월_계_100세 이상,20,4,0,3,3,4,2,1,3
2020년07월_남_총인구수,"12,518","5,292",637,748,"1,253","1,359","1,077",713,"1,439"
2020년07월_남_연령구간인구수,"12,518","5,292",637,748,"1,253","1,359","1,077",713,"1,439"
2020년07월_남_0~9세,589,342,21,27,32,63,34,25,45
2020년07월_남_10~19세,"1,013",592,38,32,77,103,58,39,74
2020년07월_남_20~29세,"1,065",557,41,41,92,104,59,53,118
2020년07월_남_30~39세,915,450,26,38,69,106,82,56,88
2020년07월_남_40~49세,"1,643",751,89,97,141,195,104,98,168
2020년07월_남_50~59세,"2,568","1,000",145,169,317,266,230,125,316
2020년07월_남_60~69세,"2,223",809,136,146,263,244,205,130,290
2020년07월_남_70~79세,"1,620",526,86,128,154,180,198,119,229
2020년07월_남_80~89세,804,240,54,65,93,88,98,61,105
2020년07월_남_90~99세,76,25,1,5,15,9,9,7,5
2020년07월_남_100세 이상,2,0,0,0,0,1,0,0,1
2020년07월_여_총인구수,"13,248","5,585",645,783,"1,332","1,365","1,219",782,"1,537"
2020년07월_여_연령구간인구수,"13,248","5,585",645,783,"1,332","1,365","1,219",782,"1,537"
2020년07월_여_0~9세,591,353,20,23,26,62,36,26,45
2020년07월_여_10~19세,901,501,32,42,85,79,51,23,88
2020년07월_여_20~29세,935,511,35,45,62,87,59,51,85
2020년07월_여_30~39세,800,460,30,36,49,71,58,38,58
2020년07월_여_40~49세,"1,351",719,62,55,111,150,66,71,117
2020년07월_여_50~59세,"2,080",929,99,111,249,183,154,107,248
2020년07월_여_60~69세,"2,330",843,129,147,279,251,244,137,300
2020년07월_여_70~79세,"2,293",717,123,180,236,253,280,179,325
2020년07월_여_80~89세,"1,667",465,95,126,193,193,228,128,239
2020년07월_여_90~99세,282,83,20,15,39,33,41,21,30
2020년07월_여_100세 이상,18,4,0,3,3,3,2,1,2
