,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2021년02월_계_총인구수,"579,082","41,973","24,231","20,867","31,316","52,287","18,366","21,599","21,026","34,550","24,895","25,011","34,165","14,340","15,406","37,117","43,596","27,733","44,041","23,318","23,245"
2021년02월_계_연령구간인구수,"579,082","41,973","24,231","20,867","31,316","52,287","18,366","21,599","21,026","34,550","24,895","25,011","34,165","14,340","15,406","37,117","43,596","27,733","44,041","23,318","23,245"
2021년02월_계_0~9세,"38,825","4,087","1,302","1,282","1,679","2,673","1,209","1,276","1,131","2,200","1,220","1,304","1,681",492,704,"3,347","3,720","2,865","4,160","1,161","1,332"
2021년02월_계_10~19세,"44,382","4,539","1,333","1,614","2,035","2,478","1,407","1,638","1,371","2,398","1,649","1,606","1,902",463,579,"4,942","5,457","1,814","4,235","1,436","1,486"
2021년02월_계_20~29세,"86,549","5,581","5,012","3,243","4,090","9,392","2,606","3,087","2,973","5,963","4,267","3,854","8,294","1,653","1,803","4,611","5,283","3,754","5,271","3,297","2,515"
2021년02월_계_30~39세,"98,584","7,324","6,073","3,500","4,631","10,519","2,888","3,109","3,331","6,357","4,197","4,170","8,398","2,387","3,099","4,294","5,475","5,173","6,371","3,606","3,682"
2021년02월_계_40~49세,"90,810","7,666","3,243","3,058","3,890","7,521","3,094","3,244","3,264","5,534","3,660","3,984","4,611","1,493","1,913","7,237","8,583","4,477","7,657","3,226","3,455"
2021년02월_계_50~59세,"85,914","5,948","3,055","3,392","5,336","7,435","2,870","3,309","3,409","4,880","3,952","3,727","4,244","2,155","2,281","5,730","6,571","3,839","6,517","3,709","3,555"
2021년02월_계_60~69세,"77,101","4,256","2,269","2,877","5,325","7,085","2,473","3,449","3,188","4,273","3,653","3,569","3,269","3,240","2,690","3,894","5,003","3,308","5,707","3,673","3,900"
2021년02월_계_70~79세,"39,089","1,764","1,139","1,364","2,550","3,794","1,345","1,775","1,655","2,116","1,640","2,084","1,180","1,546","1,564","2,143","2,574","1,701","2,840","2,155","2,160"
