카테고리,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2020년06월_계_총인구수,"27,783","7,469","1,338","1,668","1,491","1,700","3,807","1,333","1,538","3,430","1,590","1,184","1,235"
2020년06월_계_연령구간인구수,"27,783","7,469","1,338","1,668","1,491","1,700","3,807","1,333","1,538","3,430","1,590","1,184","1,235"
2020년06월_계_0~9세,"1,402",683,35,46,63,49,121,48,39,169,45,46,58
2020년06월_계_10~19세,"1,764",735,54,69,73,83,238,56,71,192,86,50,57
2020년06월_계_20~29세,"2,195",750,81,123,105,115,298,87,74,267,153,67,75
2020년06월_계_30~39세,"2,064",829,68,105,105,92,253,67,82,241,74,77,71
2020년06월_계_40~49세,"2,972","1,076",136,160,137,151,367,125,130,351,162,83,94
2020년06월_계_50~59세,"4,789","1,051",217,339,246,305,674,251,244,674,322,242,224
2020년06월_계_60~69세,"4,892",987,249,393,294,312,732,254,310,637,273,222,229
2020년06월_계_70~79세,"4,313",769,265,237,266,330,608,262,308,528,272,242,226
2020년06월_계_80~89세,"2,945",512,202,166,175,230,455,161,240,327,168,135,174
2020년06월_계_90~99세,425,74,29,30,24,31,60,21,40,42,32,15,27
2020년06월_계_100세 이상,22,3,2,0,3,2,1,1,0,2,3,5,0
2020년06월_남_총인구수,"14,175","3,813",678,861,756,880,"1,915",700,759,"1,754",848,593,618
2020년06월_남_연령구간인구수,"14,175","3,813",678,861,756,880,"1,915",700,759,"1,754",848,593,618
2020년06월_남_0~9세,729,365,16,22,33,27,67,27,17,83,23,16,33
2020년06월_남_10~19세,947,371,29,40,46,51,137,29,33,94,58,26,33
2020년06월_남_20~29세,"1,283",441,52,64,58,72,169,55,44,149,100,35,44
2020년06월_남_30~39세,"1,131",426,39,56,68,55,144,37,45,139,44,45,33
2020년06월_남_40~49세,"1,811",604,95,97,78,95,221,79,85,225,119,51,62
2020년06월_남_50~59세,"2,704",576,121,191,140,167,377,156,144,382,182,148,120
2020년06월_남_60~69세,"2,588",499,137,213,151,172,375,155,162,321,150,120,133
2020년06월_남_70~79세,"1,895",345,112,111,119,146,253,103,141,254,115,98,98
2020년06월_남_80~89세,984,175,68,54,57,87,153,55,79,96,51,52,57
2020년06월_남_90~99세,96,10,7,13,6,7,18,3,9,11,6,1,5
2020년06월_남_100세 이상,7,1,2,0,0,1,1,1,0,0,0,1,0
2020년06월_여_총인구수,"13,608","3,656",660,807,735,820,"1,892",633,779,"1,676",742,591,617
2020년06월_여_연령구간인구수,"13,608","3,656",660,807,735,820,"1,892",633,779,"1,676",742,591,617
2020년06월_여_0~9세,673,318,19,24,30,22,54,21,22,86,22,30,25
2020년06월_여_10~19세,817,364,25,29,27,32,101,27,38,98,28,24,24
2020년06월_여_20~29세,912,309,29,59,47,43,129,32,30,118,53,32,31
2020년06월_여_30~39세,933,403,29,49,37,37,109,30,37,102,30,32,38
2020년06월_여_40~49세,"1,161",472,41,63,59,56,146,46,45,126,43,32,32
2020년06월_여_50~59세,"2,085",475,96,148,106,138,297,95,100,292,140,94,104
2020년06월_여_60~69세,"2,304",488,112,180,143,140,357,99,148,316,123,102,96
2020년06월_여_70~79세,"2,418",424,153,126,147,184,355,159,167,274,157,144,128
2020년06월_여_80~89세,"1,961",337,134,112,118,143,302,106,161,231,117,83,117
2020년06월_여_90~99세,329,64,22,17,18,24,42,18,31,31,26,14,22
2020년06월_여_100세 이상,15,2,0,0,3,1,0,0,0,2,3,4,0
