카테고리,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2021년09월_계_총인구수,"518,988","31,527","35,534","30,004","14,662","21,615","22,063","27,649","28,773","17,196","24,365","17,727","21,084","15,316","24,409","19,983","39,526","21,110","32,130","32,920","41,395"
2021년09월_계_연령구간인구수,"518,988","31,527","35,534","30,004","14,662","21,615","22,063","27,649","28,773","17,196","24,365","17,727","21,084","15,316","24,409","19,983","39,526","21,110","32,130","32,920","41,395"
2021년09월_계_0~9세,"38,830","2,975","3,438","1,605",589,"1,065","1,505","1,470","1,697",805,"1,623","1,263","1,364",585,"1,336","1,504","5,612","1,210","2,697","2,324","4,163"
2021년09월_계_10~19세,"48,936","3,058","4,351","1,801",962,"1,536","2,065","2,039","2,280","1,062","2,466","1,598","1,823",967,"2,216","2,187","3,934","1,860","3,523","3,304","5,904"
2021년09월_계_20~29세,"69,145","4,086","4,268","6,486","2,133","3,050","2,888","3,928","4,111","2,210","3,202","2,492","2,756","2,118","3,337","2,293","3,633","2,794","4,095","4,578","4,687"
2021년09월_계_30~39세,"69,493","4,492","4,304","5,755","1,592","3,047","2,660","3,613","3,967","2,174","2,799","2,162","2,757","1,763","2,743","2,279","7,031","2,253","4,385","4,556","5,161"
2021년09월_계_40~49세,"87,081","5,597","6,582","4,798","2,153","3,241","3,759","4,150","4,477","2,351","4,096","2,824","3,211","1,986","3,581","3,340","7,738","3,248","5,786","5,539","8,624"
2021년09월_계_50~59세,"88,892","4,997","5,712","4,476","2,889","3,773","3,848","5,132","5,145","3,229","4,311","3,153","3,735","2,951","4,773","3,403","4,993","4,240","5,537","5,678","6,917"
2021년09월_계_60~69세,"69,982","3,931","4,328","3,100","2,462","3,241","3,086","4,311","4,275","2,942","3,587","2,602","3,276","2,826","3,793","3,109","4,281","3,313","3,793","3,960","3,766"
2021년09월_계_70~79세,"31,233","1,609","1,779","1,373","1,260","1,800","1,550","2,010","1,876","1,508","1,592","1,159","1,415","1,477","1,618","1,255","1,665","1,441","1,526","1,887","1,433"
2021년09월_계_80~89세,"13,264",651,653,539,539,749,596,880,805,810,587,407,649,552,853,532,553,635,670,955,649
2021년09월_계_90~99세,"2,046",127,110,70,80,109,103,108,132,103,99,64,91,89,153,79,80,113,118,130,88
2021년09월_계_100세 이상,86,4,9,1,3,4,3,8,8,2,3,3,7,2,6,2,6,3,0,9,3
2021년09월_남_총인구수,"257,803","15,343","17,483","14,931","7,402","10,649","11,015","13,804","14,354","8,408","11,958","8,968","10,306","7,632","11,869","9,950","19,650","10,815","16,230","16,613","20,423"
2021년09월_남_연령구간인구수,"257,803","15,343","17,483","14,931","7,402","10,649","11,015","13,804","14,354","8,408","11,958","8,968","10,306","7,632","11,869","9,950","19,650","10,815","16,230","16,613","20,423"
2021년09월_남_0~9세,"20,004","1,543","1,824",838,312,556,776,735,855,410,830,654,694,305,705,753,"2,882",636,"1,356","1,217","2,123"
2021년09월_남_10~19세,"25,063","1,472","2,242",931,534,801,"1,075","1,039","1,150",542,"1,219",813,957,484,"1,104","1,147","2,089",984,"1,833","1,706","2,941"
2021년09월_남_20~29세,"35,745","2,031","2,242","2,895","1,092","1,575","1,504","2,004","2,112","1,156","1,694","1,321","1,482","1,116","1,766","1,250","1,821","1,551","2,219","2,474","2,440"
2021년09월_남_30~39세,"35,842","2,163","2,006","3,106",908,"1,656","1,349","1,902","2,086","1,191","1,442","1,144","1,422","1,004","1,441","1,153","3,389","1,188","2,329","2,546","2,417"
2021년09월_남_40~49세,"44,370","2,914","3,169","2,596","1,177","1,687","1,912","2,208","2,304","1,220","2,053","1,491","1,577","1,072","1,709","1,698","4,042","1,708","2,916","2,800","4,117"
2021년09월_남_50~59세,"43,836","2,361","2,833","2,231","1,459","1,812","1,956","2,574","2,538","1,612","2,065","1,542","1,774","1,448","2,275","1,638","2,365","2,140","2,804","2,820","3,589"
2021년09월_남_60~69세,"33,800","1,873","2,057","1,502","1,179","1,520","1,491","2,085","2,112","1,409","1,670","1,301","1,523","1,330","1,872","1,506","2,065","1,689","1,843","1,868","1,905"
2021년09월_남_70~79세,"14,191",755,845,611,549,770,708,906,897,611,753,547,659,645,710,581,804,673,676,831,660
2021년09월_남_80~89세,"4,555",211,245,203,183,259,211,322,275,239,211,141,199,214,264,204,183,225,232,322,212
2021년09월_남_90~99세,386,20,18,18,9,13,33,26,25,18,20,14,17,14,23,20,9,21,22,27,19
2021년09월_남_100세 이상,11,0,2,0,0,0,0,3,0,0,1,0,2,0,0,0,1,0,0,2,0
2021년09월_여_총인구수,"261,185","16,184","18,051","15,073","7,260","10,966","11,048","13,845","14,419","8,788","12,407","8,759","10,778","7,684","12,540","10,033","19,876","10,295","15,900","16,307","20,972"
