,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년06월_계_총인구수,"414,284","14,763","38,272","26,709","1,852","1,692","2,179","4,040","3,097","24,267","3,716","2,757","29,370","2,185","39,013","14,345","16,655","3,279","3,192","13,234","4,369","31,013","18,821","48,115","16,412","46,540","4,397"
2021년06월_계_연령구간인구수,"414,284","14,763","38,272","26,709","1,852","1,692","2,179","4,040","3,097","24,267","3,716","2,757","29,370","2,185","39,013","14,345","16,655","3,279","3,192","13,234","4,369","31,013","18,821","48,115","16,412","46,540","4,397"
2021년06월_계_0~9세,"39,962",841,"3,634","5,601",43,12,39,61,69,"1,738",64,73,"2,256",68,"3,711","1,027",798,143,280,"1,677",324,"2,760","2,091","4,563",906,"6,598",585
2021년06월_계_10~19세,"44,341","1,126","3,877","2,352",57,52,108,148,192,"2,411",92,114,"3,386",121,"4,982","1,561","1,863",165,222,"1,097",354,"3,721","2,500","5,919","1,065","6,637",219
2021년06월_계_20~29세,"55,777","1,389","4,745","2,478",101,103,140,274,239,"3,379",472,267,"3,765",206,"5,111","1,913","2,662",594,398,"1,834",622,"4,700","2,411","7,145","4,238","5,904",687
2021년06월_계_30~39세,"64,246","1,228","4,903","7,834",79,72,98,211,174,"3,360",504,233,"3,353",148,"4,923","1,615","1,587",506,537,"2,805",677,"4,354","2,883","8,294","4,310","8,496","1,062"
2021년06월_계_40~49세,"72,664","1,916","5,847","4,554",124,139,183,397,343,"3,822",692,304,"4,888",271,"7,308","2,361","2,624",444,431,"2,165",764,"6,036","3,873","9,482","2,761","10,208",727
2021년06월_계_50~59세,"69,758","2,905","7,923","2,092",361,313,391,806,606,"4,446",831,528,"5,955",466,"7,128","2,944","3,799",608,623,"2,197",817,"6,017","3,159","7,037","1,763","5,413",630
2021년06월_계_60~69세,"41,870","2,782","4,582","1,081",485,437,510,924,656,"3,445",652,673,"3,870",537,"4,006","1,925","2,356",479,414,"1,038",489,"2,275","1,282","3,660",898,"2,040",374
2021년06월_계_70~79세,"16,127","1,456","1,617",388,300,273,375,660,467,"1,205",290,385,"1,241",239,"1,235",698,685,243,180,293,230,743,402,"1,323",327,786,86
2021년06월_계_80~89세,"8,294",953,974,284,259,254,297,493,312,417,97,155,589,113,530,272,248,86,94,111,81,348,189,604,116,398,20
2021년06월_계_90~99세,"1,205",162,166,43,43,36,38,63,37,42,21,24,67,15,77,28,31,11,10,17,10,58,30,87,26,57,6
2021년06월_계_100세 이상,40,5,4,2,0,1,0,3,2,2,1,1,0,1,2,1,2,0,3,0,1,1,1,1,2,3,1
2021년06월_남_총인구수,"212,841","7,294","19,386","13,953",926,876,"1,115","2,107","1,580","11,982","2,074","1,443","14,351","1,131","19,818","7,097","8,354","1,845","1,737","6,961","2,349","16,155","9,826","24,923","8,890","24,237","2,431"
2021년06월_남_연령구간인구수,"212,841","7,294","19,386","13,953",926,876,"1,115","2,107","1,580","11,982","2,074","1,443","14,351","1,131","19,818","7,097","8,354","1,845","1,737","6,961","2,349","16,155","9,826","24,923","8,890","24,237","2,431"
2021년06월_남_0~9세,"20,538",430,"1,894","2,815",21,6,18,32,45,867,31,39,"1,188",31,"1,906",534,423,71,144,857,174,"1,364","1,070","2,436",465,"3,363",314
2021년06월_남_10~19세,"23,141",570,"2,082","1,237",27,22,65,72,96,"1,232",48,68,"1,660",62,"2,623",837,"1,017",85,127,557,174,"1,939","1,347","3,104",542,"3,440",108
2021년06월_남_20~29세,"31,103",828,"2,714","1,200",62,72,92,166,136,"1,823",258,168,"2,143",127,"2,817","1,078","1,528",380,223,"1,017",365,"2,681","1,361","3,924","2,161","3,370",409
2021년06월_남_30~39세,"34,273",634,"2,509","4,153",47,49,64,140,100,"1,799",282,154,"1,701",95,"2,461",816,855,334,330,"1,568",415,"2,380","1,484","4,410","2,557","4,325",611
2021년06월_남_40~49세,"36,704",991,"2,771","2,544",79,94,113,252,194,"1,822",395,187,"2,240",149,"3,569","1,052","1,165",260,239,"1,137",422,"2,914","1,926","4,852","1,574","5,344",419
2021년06월_남_50~59세,"35,600","1,444","3,925","1,141",213,173,237,481,336,"2,090",503,278,"2,774",246,"3,570","1,403","1,792",330,342,"1,101",405,"3,227","1,713","3,640",971,"2,933",332
2021년06월_남_60~69세,"21,500","1,430","2,476",594,259,239,254,500,344,"1,622",378,331,"1,899",272,"2,122",945,"1,187",246,223,537,247,"1,208",694,"1,837",435,"1,024",197
2021년06월_남_70~79세,"7,161",652,695,178,130,134,167,271,223,578,143,160,537,113,574,344,307,104,73,153,115,323,163,532,148,309,35
2021년06월_남_80~89세,"2,590",290,291,79,77,81,95,178,99,144,34,51,193,36,167,83,73,34,33,31,29,106,62,171,31,116,6
2021년06월_남_90~99세,228,25,29,12,11,6,10,15,7,4,2,7,16,0,9,5,7,1,3,3,3,12,6,17,6,12,0
2021년06월_남_100세 이상,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2021년06월_여_총인구수,"201,443","7,469","18,886","12,756",926,816,"1,064","1,933","1,517","12,285","1,642","1,314","15,019","1,054","19,195","7,248","8,301","1,434","1,455","6,273","2,020","14,858","8,995","23,192","7,522","22,303","1,966"
2021년06월_여_연령구간인구수,"201,443","7,469","18,886","12,756",926,816,"1,064","1,933","1,517","12,285","1,642","1,314","15,019","1,054","19,195","7,248","8,301","1,434","1,455","6,273","2,020","14,858","8,995","23,192","7,522","22,303","1,966"
2021년06월_여_0~9세,"19,424",411,"1,740","2,786",22,6,21,29,24,871,33,34,"1,068",37,"1,805",493,375,72,136,820,150,"1,396","1,021","2,127",441,"3,235",271
2021년06월_여_10~19세,"21,200",556,"1,795","1,115",30,30,43,76,96,"1,179",44,46,"1,726",59,"2,359",724,846,80,95,540,180,"1,782","1,153","2,815",523,"3,197",111
2021년06월_여_20~29세,"24,674",561,"2,031","1,278",39,31,48,108,103,"1,556",214,99,"1,622",79,"2,294",835,"1,134",214,175,817,257,"2,019","1,050","3,221","2,077","2,534",278
2021년06월_여_30~39세,"29,973",594,"2,394","3,681",32,23,34,71,74,"1,561",222,79,"1,652",53,"2,462",799,732,172,207,"1,237",262,"1,974","1,399","3,884","1,753","4,171",451
2021년06월_여_40~49세,"35,960",925,"3,076","2,010",45,45,70,145,149,"2,000",297,117,"2,648",122,"3,739","1,309","1,459",184,192,"1,028",342,"3,122","1,947","4,630","1,187","4,864",308
2021년06월_여_50~59세,"34,158","1,461","3,998",951,148,140,154,325,270,"2,356",328,250,"3,181",220,"3,558","1,541","2,007",278,281,"1,096",412,"2,790","1,446","3,397",792,"2,480",298
2021년06월_여_60~69세,"20,370","1,352","2,106",487,226,198,256,424,312,"1,823",274,342,"1,971",265,"1,884",980,"1,169",233,191,501,242,"1,067",588,"1,823",463,"1,016",177
2021년06월_여_70~79세,"8,966",804,922,210,170,139,208,389,244,627,147,225,704,126,661,354,378,139,107,140,115,420,239,791,179,477,51
2021년06월_여_80~89세,"5,704",663,683,205,182,173,202,315,213,273,63,104,396,77,363,189,175,52,61,80,52,242,127,433,85,282,14
