카테고리,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2020년08월_계_총인구수,"499,290","37,679","17,690","13,272","36,889","33,581","14,107","13,089","32,290","22,641","18,187","7,037","34,907","16,811","19,617","34,826","29,671","16,893","17,605","32,497","13,073","13,042","23,886"
2020년08월_계_연령구간인구수,"499,290","37,679","17,690","13,272","36,889","33,581","14,107","13,089","32,290","22,641","18,187","7,037","34,907","16,811","19,617","34,826","29,671","16,893","17,605","32,497","13,073","13,042","23,886"
2020년08월_계_0~9세,"34,104","2,503","1,003",675,"2,677","2,634",965,589,"2,821","1,284","1,231",340,"2,796",932,"1,291","2,569","2,560",913,"1,192","2,027","1,116",742,"1,244"
2020년08월_계_10~19세,"44,011","2,972","1,343",877,"2,432","2,398",827,"1,008","3,853","2,076","1,806",544,"3,049","1,337","1,508","3,692","4,315","1,171","1,606","3,447","1,074","1,053","1,623"
2020년08월_계_20~29세,"71,035","6,181","2,477","1,734","5,863","5,182","2,077","1,735","4,215","2,945","2,697",893,"4,909","2,599","2,614","4,867","3,820","2,177","2,493","5,015","1,698","1,675","3,169"
2020년08월_계_30~39세,"68,809","6,144","2,552","1,752","6,645","6,258","2,200","1,409","3,924","2,462","2,200",825,"5,197","2,237","2,869","4,086","3,103","2,136","2,261","4,153","1,891","1,486","3,019"
2020년08월_계_40~49세,"78,384","5,801","2,703","1,932","5,687","5,426","2,077","1,805","5,612","3,241","2,848","1,097","5,260","2,463","2,596","5,832","5,989","2,437","2,745","5,408","1,891","1,975","3,559"
2020년08월_계_50~59세,"91,048","6,122","3,170","2,437","6,192","5,417","2,428","2,617","5,811","4,141","3,439","1,497","6,478","3,372","3,647","6,642","5,273","3,074","3,239","6,375","2,236","2,551","4,890"
2020년08월_계_60~69세,"64,652","4,547","2,439","2,081","4,269","3,625","1,997","2,217","3,665","3,462","2,329","1,102","4,349","2,314","3,010","4,066","2,750","2,815","2,338","3,583","1,948","2,003","3,743"
2020년08월_계_70~79세,"31,303","2,191","1,416","1,177","2,134","1,747",986,"1,123","1,616","1,879","1,008",511,"1,931","1,058","1,341","1,895","1,198","1,543","1,191","1,639",840,"1,060","1,819"
2020년08월_계_80~89세,"13,654","1,037",501,513,864,754,470,495,660,972,544,178,820,424,623,"1,000",564,560,477,737,325,424,712
2020년08월_계_90~99세,"2,096",169,75,82,111,128,70,76,106,162,83,39,111,71,115,167,97,62,58,111,48,61,94
2020년08월_계_100세 이상,194,12,11,12,15,12,10,15,7,17,2,11,7,4,3,10,2,5,5,2,6,12,14
2020년08월_남_총인구수,"247,094","18,133","8,838","6,604","18,263","16,628","6,981","6,626","15,935","11,003","8,690","3,771","17,476","8,517","9,570","17,068","14,427","8,533","8,597","15,693","6,719","6,662","12,360"
