,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2020년10월_계_총인구수,"496,958","37,577","17,347","13,217","36,841","33,458","13,995","13,086","32,070","22,560","18,131","7,011","34,959","16,716","19,495","34,604","29,552","16,801","17,471","32,322","12,997","13,004","23,744"
2020년10월_계_연령구간인구수,"496,958","37,577","17,347","13,217","36,841","33,458","13,995","13,086","32,070","22,560","18,131","7,011","34,959","16,716","19,495","34,604","29,552","16,801","17,471","32,322","12,997","13,004","23,744"
2020년10월_계_0~9세,"33,479","2,440",972,649,"2,614","2,594",955,605,"2,784","1,259","1,211",331,"2,796",909,"1,275","2,489","2,537",885,"1,167","1,972","1,102",708,"1,225"
2020년10월_계_10~19세,"43,608","2,988","1,327",886,"2,416","2,389",811,"1,005","3,792","2,059","1,805",532,"3,011","1,320","1,481","3,639","4,254","1,150","1,595","3,438","1,059","1,047","1,604"
2020년10월_계_20~29세,"70,500","6,139","2,407","1,703","5,857","5,172","2,041","1,715","4,184","2,922","2,679",899,"4,940","2,587","2,602","4,826","3,785","2,183","2,438","4,957","1,683","1,662","3,119"
2020년10월_계_30~39세,"67,988","6,100","2,472","1,734","6,604","6,154","2,173","1,435","3,841","2,442","2,174",805,"5,168","2,225","2,816","4,022","3,060","2,094","2,246","4,104","1,860","1,470","2,989"
2020년10월_계_40~49세,"77,875","5,754","2,656","1,927","5,680","5,407","2,046","1,808","5,569","3,213","2,827","1,098","5,288","2,436","2,581","5,769","5,946","2,431","2,719","5,358","1,870","1,956","3,536"
2020년10월_계_50~59세,"90,627","6,141","3,103","2,409","6,193","5,442","2,425","2,579","5,786","4,110","3,417","1,478","6,440","3,347","3,602","6,633","5,290","3,039","3,223","6,386","2,210","2,555","4,819"
2020년10월_계_60~69세,"65,382","4,594","2,430","2,114","4,323","3,655","2,009","2,230","3,707","3,511","2,355","1,132","4,437","2,341","3,057","4,123","2,797","2,825","2,356","3,611","1,978","2,028","3,769"
2020년10월_계_70~79세,"31,381","2,194","1,391","1,183","2,146","1,746",989,"1,115","1,624","1,893","1,021",504,"1,931","1,047","1,337","1,912","1,217","1,561","1,189","1,622",850,"1,070","1,839"
2020년10월_계_80~89세,"13,815","1,043",504,514,873,760,470,501,674,973,555,180,834,427,623,"1,017",563,568,476,757,332,433,738
2020년10월_계_90~99세,"2,101",171,74,86,120,127,66,76,102,161,85,40,107,73,117,164,101,60,55,114,47,63,92
2020년10월_계_100세 이상,202,13,11,12,15,12,10,17,7,17,2,12,7,4,4,10,2,5,7,3,6,12,14
2020년10월_남_총인구수,"245,756","18,075","8,654","6,561","18,217","16,549","6,904","6,615","15,813","10,959","8,659","3,763","17,517","8,460","9,493","16,936","14,370","8,474","8,534","15,606","6,687","6,654","12,256"
2020년10월_남_연령구간인구수,"245,756","18,075","8,654","6,561","18,217","16,549","6,904","6,615","15,813","10,959","8,659","3,763","17,517","8,460","9,493","16,936","14,370","8,474","8,534","15,606","6,687","6,654","12,256"
2020년10월_남_0~9세,"17,151","1,232",490,339,"1,322","1,318",507,324,"1,408",675,626,162,"1,459",459,638,"1,279","1,279",447,590,"1,008",605,381,603
2020년10월_남_10~19세,"22,591","1,479",678,475,"1,285","1,197",415,521,"2,000","1,095",917,271,"1,606",739,777,"1,867","2,171",590,797,"1,724",570,553,864
2020년10월_남_20~29세,"36,270","2,946","1,264",897,"2,882","2,585",998,948,"2,220","1,535","1,343",508,"2,557","1,375","1,353","2,533","1,948","1,163","1,259","2,499",947,877,"1,633"
2020년10월_남_30~39세,"35,112","3,160","1,331",929,"3,414","3,257","1,105",783,"1,819","1,257","1,082",446,"2,663","1,206","1,434","2,040","1,464","1,123","1,134","2,013",994,800,"1,658"
2020년10월_남_40~49세,"39,156","2,802","1,405","1,016","2,920","2,863","1,100",953,"2,694","1,590","1,315",614,"2,710","1,274","1,301","2,781","2,716","1,333","1,337","2,517",981,"1,022","1,912"
2020년10월_남_50~59세,"44,405","2,906","1,528","1,180","3,017","2,602","1,159","1,327","2,797","1,935","1,586",836,"3,172","1,643","1,653","3,313","2,704","1,530","1,538","3,053","1,045","1,353","2,528"
2020년10월_남_60~69세,"31,827","2,131","1,126","1,031","2,065","1,706",983,"1,074","1,853","1,653","1,150",617,"2,167","1,139","1,527","2,019","1,376","1,338","1,138","1,809","1,011","1,003","1,911"
2020년10월_남_70~79세,"14,125",984,638,500,970,743,458,507,771,862,445,247,871,469,614,796,522,729,554,713,398,481,853
2020년10월_남_80~89세,"4,651",395,172,167,308,249,168,160,231,323,178,50,290,147,171,275,177,205,170,246,125,167,277
2020년10월_남_90~99세,424,39,19,21,28,28,10,15,19,31,16,8,21,9,23,32,13,15,15,23,9,15,15
2020년10월_남_100세 이상,44,1,3,6,6,1,1,3,1,3,1,4,1,0,2,1,0,1,2,1,2,2,2
2020년10월_여_총인구수,"251,202","19,502","8,693","6,656","18,624","16,909","7,091","6,471","16,257","11,601","9,472","3,248","17,442","8,256","10,002","17,668","15,182","8,327","8,937","16,716","6,310","6,350","11,488"
2020년10월_여_연령구간인구수,"251,202","19,502","8,693","6,656","18,624","16,909","7,091","6,471","16,257","11,601","9,472","3,248","17,442","8,256","10,002","17,668","15,182","8,327","8,937","16,716","6,310","6,350","11,488"
2020년10월_여_0~9세,"16,328","1,208",482,310,"1,292","1,276",448,281,"1,376",584,585,169,"1,337",450,637,"1,210","1,258",438,577,964,497,327,622
2020년10월_여_10~19세,"21,017","1,509",649,411,"1,131","1,192",396,484,"1,792",964,888,261,"1,405",581,704,"1,772","2,083",560,798,"1,714",489,494,740
2020년10월_여_20~29세,"34,230","3,193","1,143",806,"2,975","2,587","1,043",767,"1,964","1,387","1,336",391,"2,383","1,212","1,249","2,293","1,837","1,020","1,179","2,458",736,785,"1,486"
2020년10월_여_30~39세,"32,876","2,940","1,141",805,"3,190","2,897","1,068",652,"2,022","1,185","1,092",359,"2,505","1,019","1,382","1,982","1,596",971,"1,112","2,091",866,670,"1,331"
2020년10월_여_40~49세,"38,719","2,952","1,251",911,"2,760","2,544",946,855,"2,875","1,623","1,512",484,"2,578","1,162","1,280","2,988","3,230","1,098","1,382","2,841",889,934,"1,624"
2020년10월_여_50~59세,"46,222","3,235","1,575","1,229","3,176","2,840","1,266","1,252","2,989","2,175","1,831",642,"3,268","1,704","1,949","3,320","2,586","1,509","1,685","3,333","1,165","1,202","2,291"
2020년10월_여_60~69세,"33,555","2,463","1,304","1,083","2,258","1,949","1,026","1,156","1,854","1,858","1,205",515,"2,270","1,202","1,530","2,104","1,421","1,487","1,218","1,802",967,"1,025","1,858"
2020년10월_여_70~79세,"17,256","1,210",753,683,"1,176","1,003",531,608,853,"1,031",576,257,"1,060",578,723,"1,116",695,832,635,909,452,589,986
2020년10월_여_80~89세,"9,164",648,332,347,565,511,302,341,443,650,377,130,544,280,452,742,386,363,306,511,207,266,461
2020년10월_여_90~99세,"1,677",132,55,65,92,99,56,61,83,130,69,32,86,64,94,132,88,45,40,91,38,48,77
2020년10월_여_100세 이상,158,12,8,6,9,11,9,14,6,14,1,8,6,4,2,9,2,4,5,2,4,10,12
