카테고리,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2020년01월_계_총인구수,"62,182","17,311","12,366","2,060","1,665","3,897","2,568","1,802","2,581","2,378","5,699","1,863","2,803","1,537","3,652"
2020년01월_계_연령구간인구수,"62,182","17,311","12,366","2,060","1,665","3,897","2,568","1,802","2,581","2,378","5,699","1,863","2,803","1,537","3,652"
2020년01월_계_0~9세,"3,565","1,450","1,041",67,35,115,74,42,143,71,235,41,104,40,107
2020년01월_계_10~19세,"4,294","1,624",932,131,68,171,254,58,177,77,381,55,171,51,144
2020년01월_계_20~29세,"5,230","1,837",994,129,104,291,146,91,202,180,545,97,225,103,286
2020년01월_계_30~39세,"5,505","1,975","1,325",105,97,243,156,109,204,152,462,106,211,89,271
2020년01월_계_40~49세,"7,253","2,421","1,745",145,147,390,190,148,305,204,660,146,295,144,313
2020년01월_계_50~59세,"11,290","2,920","2,185",339,323,727,452,300,443,483,"1,172",357,537,310,742
2020년01월_계_60~69세,"11,513","2,525","2,037",389,389,810,539,419,485,513,"1,110",402,610,381,904
2020년01월_계_70~79세,"8,033","1,576","1,307",403,267,678,428,382,357,393,709,376,376,249,532
2020년01월_계_80~89세,"4,888",885,707,304,211,419,300,222,237,273,381,252,237,146,314
2020년01월_계_90~99세,586,96,87,48,23,51,26,31,24,30,44,31,35,24,36
2020년01월_계_100세 이상,25,2,6,0,1,2,3,0,4,2,0,0,2,0,3
2020년01월_남_총인구수,"30,945","8,622","6,213","1,032",803,"1,991","1,221",880,"1,333","1,178","2,872",907,"1,363",765,"1,765"
2020년01월_남_연령구간인구수,"30,945","8,622","6,213","1,032",803,"1,991","1,221",880,"1,333","1,178","2,872",907,"1,363",765,"1,765"
2020년01월_남_0~9세,"1,845",751,535,29,21,55,37,22,85,37,116,25,56,20,56
2020년01월_남_10~19세,"2,303",848,512,87,51,106,103,25,98,40,212,32,81,29,79
2020년01월_남_20~29세,"2,988","1,003",560,80,61,190,85,55,130,106,323,62,112,62,159
2020년01월_남_30~39세,"3,040","1,061",689,60,52,137,93,74,114,95,264,65,131,55,150
2020년01월_남_40~49세,"4,118","1,297","1,003",89,82,243,123,96,181,122,376,90,155,89,172
2020년01월_남_50~59세,"5,920","1,475","1,117",179,170,435,235,174,256,273,605,193,281,149,378
2020년01월_남_60~69세,"5,746","1,217","1,012",217,194,407,265,204,243,263,553,213,306,199,453
2020년01월_남_70~79세,"3,423",693,558,170,117,274,184,156,146,160,310,146,161,124,224
2020년01월_남_80~89세,"1,454",257,215,107,46,134,88,71,75,79,110,75,74,36,87
2020년01월_남_90~99세,105,20,11,14,9,9,7,3,5,3,3,6,6,2,7
2020년01월_남_100세 이상,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2020년01월_여_총인구수,"31,237","8,689","6,153","1,028",862,"1,906","1,347",922,"1,248","1,200","2,827",956,"1,440",772,"1,887"
2020년01월_여_연령구간인구수,"31,237","8,689","6,153","1,028",862,"1,906","1,347",922,"1,248","1,200","2,827",956,"1,440",772,"1,887"
2020년01월_여_0~9세,"1,720",699,506,38,14,60,37,20,58,34,119,16,48,20,51
2020년01월_여_10~19세,"1,991",776,420,44,17,65,151,33,79,37,169,23,90,22,65
2020년01월_여_20~29세,"2,242",834,434,49,43,101,61,36,72,74,222,35,113,41,127
2020년01월_여_30~39세,"2,465",914,636,45,45,106,63,35,90,57,198,41,80,34,121
2020년01월_여_40~49세,"3,135","1,124",742,56,65,147,67,52,124,82,284,56,140,55,141
2020년01월_여_50~59세,"5,370","1,445","1,068",160,153,292,217,126,187,210,567,164,256,161,364
2020년01월_여_60~69세,"5,767","1,308","1,025",172,195,403,274,215,242,250,557,189,304,182,451
2020년01월_여_70~79세,"4,610",883,749,233,150,404,244,226,211,233,399,230,215,125,308
2020년01월_여_80~89세,"3,434",628,492,197,165,285,212,151,162,194,271,177,163,110,227
2020년01월_여_90~99세,481,76,76,34,14,42,19,28,19,27,41,25,29,22,29
2020년01월_여_100세 이상,22,2,5,0,1,1,2,0,4,2,0,0,2,0,3
