,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 의창구 용지동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2020년12월_계_총인구수,"1,036,738","262,408","20,051","43,411","7,225","50,992","37,958","42,402","30,336","30,033","214,570","41,935","22,953","28,257","45,636","41,241","26,615","7,933","175,716","4,318","12,349","3,544","4,004","14,293",941,"35,173","11,277","14,882","9,274","10,874","15,508","19,688","6,921","12,670","191,289","64,835","10,504","9,994","17,142","6,298","11,289","31,851","9,479","7,772","9,082","9,674","3,369","192,755","17,355","8,754","5,040","11,402","7,545","17,463","8,576","21,460","10,224","26,083","12,733","6,465","39,655"
2020년12월_계_연령구간인구수,"1,036,738","262,408","20,051","43,411","7,225","50,992","37,958","42,402","30,336","30,033","214,570","41,935","22,953","28,257","45,636","41,241","26,615","7,933","175,716","4,318","12,349","3,544","4,004","14,293",941,"35,173","11,277","14,882","9,274","10,874","15,508","19,688","6,921","12,670","191,289","64,835","10,504","9,994","17,142","6,298","11,289","31,851","9,479","7,772","9,082","9,674","3,369","192,755","17,355","8,754","5,040","11,402","7,545","17,463","8,576","21,460","10,224","26,083","12,733","6,465","39,655"
2020년12월_계_0~9세,"83,470","21,491","1,163","6,558",251,"4,403","3,117","2,375","1,496","2,128","16,557","3,291","1,226","2,113","3,513","3,727","2,198",489,"12,639",122,"1,139",70,61,"2,220",49,"3,298",513,908,425,491,"1,167","1,084",330,762,"13,406","5,180",411,639,"1,118",152,589,"3,242",673,290,435,521,156,"19,377","1,549",352,181,"1,078",558,"1,523",372,"2,446","1,070","3,546","1,821",536,"4,345"
2020년12월_계_10~19세,"99,727","23,649","1,901","3,675",410,"4,718","3,877","4,049","2,246","2,773","23,111","5,325","1,449","3,442","4,870","4,108","3,140",777,"13,764",165,"1,043",156,146,"1,219",34,"3,447",739,"1,384",743,910,"1,247","1,151",419,961,"18,250","8,144",628,784,"1,258",335,845,"3,475",610,468,660,825,218,"20,953","1,839",680,286,"1,012",752,"2,420",546,"2,223","1,216","3,241",947,699,"5,092"
2020년12월_계_20~29세,"130,040","35,899","2,286","3,984",648,"7,074","5,702","6,672","4,849","4,684","32,346","5,686","4,514","4,216","6,578","6,194","4,162",996,"18,922",308,"1,085",279,247,"1,215",129,"4,452","1,681","1,605","1,141","1,197","1,525","1,994",626,"1,438","22,353","8,276",947,"1,157","1,860",604,"1,351","3,424","1,146",982,957,"1,309",340,"20,520","2,190",855,503,"1,168",779,"2,210","1,022","2,317","1,156","2,289","1,263",604,"4,164"
2020년12월_계_30~39세,"134,008","35,336","1,794","8,101",662,"7,164","5,471","4,322","3,770","4,052","29,336","4,609","4,279","3,509","6,384","6,219","3,363",973,"20,485",298,"1,509",203,182,"2,554",90,"4,642","1,146","1,542",860,997,"1,847","2,326",750,"1,539","21,819","6,712",976,"1,290","2,353",556,"1,312","4,108","1,292",813,905,"1,104",398,"27,032","2,243",716,381,"1,588",830,"2,165","1,021","3,280","1,340","4,047","2,472",733,"6,216"
2020년12월_계_40~49세,"167,792","41,056","3,231","7,180",816,"7,946","6,334","6,572","4,287","4,690","35,739","7,453","3,632","4,769","7,741","6,576","4,314","1,254","25,651",399,"1,945",326,312,"2,462",111,"5,506","1,401","2,268","1,230","1,465","2,326","3,024","1,004","1,872","30,228","11,542","1,393","1,354","2,358",736,"1,601","5,660","1,332","1,090","1,214","1,418",530,"35,118","2,954","1,203",622,"1,762","1,280","3,412","1,284","3,753","1,734","5,028","2,061","1,100","8,925"
2020년12월_계_50~59세,"186,508","50,585","3,942","6,177","1,339","9,763","7,660","9,292","6,210","6,202","43,432","8,402","4,140","6,044","9,123","8,360","5,918","1,445","29,526",788,"2,037",725,736,"1,911",160,"5,972","1,891","2,498","1,749","1,983","2,471","3,266","1,173","2,166","34,527","12,451","1,783","1,607","2,947","1,191","1,964","5,317","1,660","1,436","1,788","1,727",656,"28,438","2,256","1,412",895,"1,819","1,174","2,723","1,534","3,414","1,418","3,446","1,753","1,075","5,519"
2020년12월_계_60~69세,"141,873","34,530","3,143","4,818","1,608","6,477","4,023","5,955","4,890","3,616","23,776","4,899","2,567","3,001","5,167","4,297","2,636","1,209","30,028","1,151","2,006",884,981,"1,671",212,"4,754","2,072","2,401","1,736","2,154","2,703","3,674","1,400","2,229","29,961","7,616","2,288","1,797","2,983","1,472","2,191","4,218","1,593","1,580","1,899","1,693",631,"23,578","2,114","1,577","1,022","1,698","1,177","1,930","1,651","2,551","1,290","2,860","1,389",969,"3,350"
2020년12월_계_70~79세,"63,369","13,338","1,659","1,843",913,"2,399","1,224","2,225","1,785","1,290","6,877","1,590",786,743,"1,489","1,163",577,529,"16,569",692,"1,039",526,747,732,103,"2,229","1,219","1,504",901,"1,172","1,542","2,142",794,"1,227","14,786","3,382","1,429",963,"1,683",838,"1,056","1,737",857,844,887,801,309,"11,799","1,430","1,236",737,868,643,751,796,992,670,"1,087",649,472,"1,468"
