,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2020년12월_계_총인구수,"1,463,882","223,021","235,550","477,880","351,047","176,384"
2020년12월_계_연령구간인구수,"1,463,882","223,021","235,550","477,880","351,047","176,384"
2020년12월_계_0~9세,"114,529","15,010","15,174","38,092","34,946","11,307"
2020년12월_계_10~19세,"146,436","19,901","21,987","49,693","38,155","16,700"
2020년12월_계_20~29세,"212,488","30,186","30,940","74,090","52,744","24,528"
2020년12월_계_30~39세,"194,088","25,852","26,091","65,899","56,069","20,177"
2020년12월_계_40~49세,"237,216","34,080","36,905","78,525","60,445","27,261"
2020년12월_계_50~59세,"241,921","36,736","39,694","77,731","54,074","33,686"
2020년12월_계_60~69세,"179,153","32,564","33,603","54,755","33,611","24,620"
2020년12월_계_70~79세,"91,320","19,150","20,588","26,027","13,453","12,102"
2020년12월_계_80~89세,"40,519","8,315","9,214","11,304","6,411","5,275"
2020년12월_계_90~99세,"5,841","1,129","1,269","1,672","1,082",689
2020년12월_계_100세 이상,371,98,85,92,57,39
2020년12월_남_총인구수,"730,699","112,416","116,233","235,112","177,240","89,698"
2020년12월_남_연령구간인구수,"730,699","112,416","116,233","235,112","177,240","89,698"
2020년12월_남_0~9세,"58,822","7,725","7,763","19,661","17,980","5,693"
2020년12월_남_10~19세,"75,777","10,325","11,332","25,654","19,752","8,714"
2020년12월_남_20~29세,"111,421","15,943","15,848","37,740","28,314","13,576"
2020년12월_남_30~39세,"101,293","13,992","13,430","33,683","29,156","11,032"
2020년12월_남_40~49세,"118,238","17,910","18,729","37,979","29,737","13,883"
2020년12월_남_50~59세,"120,638","18,839","20,046","37,636","26,996","17,121"
2020년12월_남_60~69세,"87,060","15,786","16,011","26,346","16,723","12,194"
2020년12월_남_70~79세,"41,509","8,596","9,269","11,962","6,215","5,467"
2020년12월_남_80~89세,"14,485","2,988","3,475","4,047","2,109","1,866"
2020년12월_남_90~99세,"1,367",284,309,386,246,142
2020년12월_남_100세 이상,89,28,21,18,12,10
2020년12월_여_총인구수,"733,183","110,605","119,317","242,768","173,807","86,686"
2020년12월_여_연령구간인구수,"733,183","110,605","119,317","242,768","173,807","86,686"
2020년12월_여_0~9세,"55,707","7,285","7,411","18,431","16,966","5,614"
2020년12월_여_10~19세,"70,659","9,576","10,655","24,039","18,403","7,986"
2020년12월_여_20~29세,"101,067","14,243","15,092","36,350","24,430","10,952"
2020년12월_여_30~39세,"92,795","11,860","12,661","32,216","26,913","9,145"
2020년12월_여_40~49세,"118,978","16,170","18,176","40,546","30,708","13,378"
2020년12월_여_50~59세,"121,283","17,897","19,648","40,095","27,078","16,565"
2020년12월_여_60~69세,"92,093","16,778","17,592","28,409","16,888","12,426"
2020년12월_여_70~79세,"49,811","10,554","11,319","14,065","7,238","6,635"
2020년12월_여_80~89세,"26,034","5,327","5,739","7,257","4,302","3,409"
2020년12월_여_90~99세,"4,474",845,960,"1,286",836,547
2020년12월_여_100세 이상,282,70,64,74,45,29
