카테고리,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020년08월_계_총인구수,"44,921","13,580","3,646","3,737","1,859","3,507","6,308","4,187","1,561","1,402","2,902","2,232"
2020년08월_계_연령구간인구수,"44,921","13,580","3,646","3,737","1,859","3,507","6,308","4,187","1,561","1,402","2,902","2,232"
2020년08월_계_0~9세,"2,878","1,023",306,169,52,151,748,194,57,32,86,60
2020년08월_계_10~19세,"3,306","1,198",292,174,75,194,664,275,97,62,180,95
2020년08월_계_20~29세,"4,418","1,319",315,375,150,523,742,422,133,113,191,135
2020년08월_계_30~39세,"3,802","1,220",277,329,131,201,866,291,106,82,151,148
2020년08월_계_40~49세,"5,654","1,936",473,422,183,395,930,541,174,110,279,211
2020년08월_계_50~59세,"7,548","2,183",611,704,371,586,851,795,282,236,492,437
2020년08월_계_60~69세,"7,137","1,985",604,692,363,582,620,742,286,281,513,469
2020년08월_계_70~79세,"5,965","1,654",444,514,283,495,534,547,252,287,551,404
2020년08월_계_80~89세,"3,680",928,283,313,217,346,315,319,144,177,417,221
2020년08월_계_90~99세,491,121,35,43,33,33,38,57,27,21,40,43
2020년08월_계_100세 이상,42,13,6,2,1,1,0,4,3,1,2,9
2020년08월_남_총인구수,"23,049","6,724","1,840","1,992",984,"1,983","3,288","2,114",819,699,"1,452","1,154"
2020년08월_남_연령구간인구수,"23,049","6,724","1,840","1,992",984,"1,983","3,288","2,114",819,699,"1,452","1,154"
2020년08월_남_0~9세,"1,448",530,162,83,22,76,362,93,29,13,46,32
2020년08월_남_10~19세,"1,744",620,159,94,43,102,347,137,52,36,103,51
2020년08월_남_20~29세,"2,649",706,171,216,94,453,449,242,70,71,107,70
2020년08월_남_30~39세,"2,029",611,129,206,82,108,479,148,68,43,78,77
2020년08월_남_40~49세,"3,245","1,050",247,272,120,257,515,322,109,61,165,127
2020년08월_남_50~59세,"4,291","1,207",370,398,216,334,488,446,163,132,283,254
2020년08월_남_60~69세,"3,725",966,296,379,211,304,331,392,156,146,279,265
2020년08월_남_70~79세,"2,616",726,205,229,114,220,211,232,116,124,241,198
2020년08월_남_80~89세,"1,180",284,90,100,72,121,96,88,48,68,141,72
2020년08월_남_90~99세,117,23,10,15,10,8,10,14,6,5,9,7
2020년08월_남_100세 이상,5,1,1,0,0,0,0,0,2,0,0,1
2020년08월_여_총인구수,"21,872","6,856","1,806","1,745",875,"1,524","3,020","2,073",742,703,"1,450","1,078"
2020년08월_여_연령구간인구수,"21,872","6,856","1,806","1,745",875,"1,524","3,020","2,073",742,703,"1,450","1,078"
2020년08월_여_0~9세,"1,430",493,144,86,30,75,386,101,28,19,40,28
2020년08월_여_10~19세,"1,562",578,133,80,32,92,317,138,45,26,77,44
2020년08월_여_20~29세,"1,769",613,144,159,56,70,293,180,63,42,84,65
2020년08월_여_30~39세,"1,773",609,148,123,49,93,387,143,38,39,73,71
2020년08월_여_40~49세,"2,409",886,226,150,63,138,415,219,65,49,114,84
2020년08월_여_50~59세,"3,257",976,241,306,155,252,363,349,119,104,209,183
2020년08월_여_60~69세,"3,412","1,019",308,313,152,278,289,350,130,135,234,204
2020년08월_여_70~79세,"3,349",928,239,285,169,275,323,315,136,163,310,206
2020년08월_여_80~89세,"2,500",644,193,213,145,225,219,231,96,109,276,149
2020년08월_여_90~99세,374,98,25,28,23,25,28,43,21,16,31,36
2020년08월_여_100세 이상,37,12,5,2,1,1,0,4,1,1,2,8
