,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2020년12월_계_총인구수,"3,340,216","1,036,738","262,408","214,570","175,716","191,289","192,755","348,096","128,293","111,105","542,338","104,831","245,754","352,229","26,800","64,182","61,301","51,361","42,958","44,785","34,857","39,080","61,502","44,006"
2020년12월_계_연령구간인구수,"3,340,216","1,036,738","262,408","214,570","175,716","191,289","192,755","348,096","128,293","111,105","542,338","104,831","245,754","352,229","26,800","64,182","61,301","51,361","42,958","44,785","34,857","39,080","61,502","44,006"
2020년12월_계_0~9세,"268,766","83,470","21,491","16,557","12,639","13,406","19,377","28,396","9,660","8,130","49,309","5,620","26,716","34,597","1,074","4,098","3,213","2,570","1,591","1,829","1,329","1,804","3,761","1,599"
2020년12월_계_10~19세,"324,214","99,727","23,649","23,111","13,764","18,250","20,953","35,225","12,848","10,281","61,269","7,829","27,963","34,280","1,522","5,939","4,118","4,157","2,937","2,883","2,088","2,971","5,720","2,457"
2020년12월_계_20~29세,"378,436","130,040","35,899","32,346","18,922","22,353","20,520","45,143","11,223","10,769","69,111","9,214","24,350","40,831","2,064","5,523","4,929","3,906","3,314","3,460","2,469","3,096","5,951","3,043"
2020년12월_계_30~39세,"399,558","134,008","35,336","29,336","20,485","21,819","27,032","41,648","13,820","11,891","69,554","8,907","36,640","49,219","1,744","5,615","5,097","3,850","2,467","2,784","2,127","2,626","5,008","2,553"
2020년12월_계_40~49세,"536,223","167,792","41,056","35,739","25,651","30,228","35,118","54,298","21,331","17,752","98,471","12,942","47,635","60,781","2,869","9,386","7,108","6,374","4,596","4,970","3,509","4,387","7,739","4,283"
2020년12월_계_50~59세,"582,448","186,508","50,585","43,432","29,526","34,527","28,438","57,791","22,474","18,502","96,955","18,736","39,273","58,726","4,657","11,269","10,913","9,135","7,345","8,429","6,529","6,941","10,581","7,684"
2020년12월_계_60~69세,"462,731","141,873","34,530","23,776","30,028","29,961","23,578","45,768","20,489","16,534","58,306","21,102","26,544","42,785","5,381","11,026","12,171","9,735","8,314","8,921","7,280","7,294","10,149","9,059"
2020년12월_계_70~79세,"245,191","63,369","13,338","6,877","16,569","14,786","11,799","25,565","11,068","10,642","26,397","12,650","10,826","21,083","4,006","6,693","8,086","6,740","6,673","6,372","5,304","5,516","6,988","7,213"
2020년12월_계_80~89세,"124,648","26,327","5,713","2,938","7,057","5,331","5,288","12,414","4,736","5,766","11,467","6,878","4,964","8,781","3,046","4,073","4,978","4,242","4,875","4,384","3,661","3,838","4,836","5,382"
2020년12월_계_90~99세,"17,174","3,436",775,438,"1,006",583,634,"1,754",616,806,"1,411",905,797,"1,087",428,546,659,632,830,730,543,574,727,693
2020년12월_계_100세 이상,827,188,36,20,69,45,18,94,28,32,88,48,46,59,9,14,29,20,16,23,18,33,42,40
2020년12월_남_총인구수,"1,681,423","525,278","133,544","109,642","87,418","95,938","98,736","172,107","64,502","56,010","274,313","51,356","128,978","176,641","13,140","32,561","30,452","25,760","20,707","22,364","17,110","18,853","30,082","21,209"
2020년12월_남_연령구간인구수,"1,681,423","525,278","133,544","109,642","87,418","95,938","98,736","172,107","64,502","56,010","274,313","51,356","128,978","176,641","13,140","32,561","30,452","25,760","20,707","22,364","17,110","18,853","30,082","21,209"
2020년12월_남_0~9세,"138,139","43,093","11,042","8,491","6,578","6,921","10,061","14,731","4,854","4,231","25,138","2,856","13,823","17,680",548,"2,047","1,670","1,301",841,954,697,903,"1,940",832
2020년12월_남_10~19세,"169,631","52,239","12,470","12,184","7,142","9,564","10,879","18,597","6,661","5,300","31,857","4,117","14,651","17,598",819,"3,160","2,220","2,269","1,570","1,546","1,119","1,551","3,072","1,285"
2020년12월_남_20~29세,"210,511","72,430","19,970","18,024","10,502","12,338","11,596","24,825","6,228","6,423","37,641","5,296","13,758","21,869","1,167","3,221","2,837","2,293","2,040","2,064","1,402","1,759","3,502","1,756"
2020년12월_남_30~39세,"208,912","70,891","18,688","15,661","10,859","11,521","14,162","21,267","7,121","6,389","35,869","4,701","19,352","25,291",925,"2,864","2,780","2,125","1,279","1,554","1,142","1,366","2,578","1,418"
2020년12월_남_40~49세,"276,112","85,182","20,696","17,160","13,458","15,337","18,531","27,057","11,506","9,454","48,948","6,860","25,962","30,869","1,647","5,083","3,962","3,551","2,472","2,783","1,953","2,406","3,974","2,443"
2020년12월_남_50~59세,"297,249","92,635","24,862","21,155","14,688","17,217","14,713","28,467","11,528","9,786","49,810","9,481","20,931","29,635","2,577","6,185","5,803","4,976","3,910","4,597","3,523","3,691","5,484","4,230"
2020년12월_남_60~69세,"230,016","70,363","17,576","12,752","14,239","14,302","11,494","21,861","9,999","7,965","29,715","10,273","13,742","20,958","2,834","5,721","6,090","4,860","4,071","4,635","3,765","3,630","4,953","4,581"
2020년12월_남_70~79세,"108,436","29,069","6,337","3,282","7,405","6,726","5,319","11,166","5,007","4,544","11,449","5,485","5,126","9,468","1,647","2,951","3,499","2,961","2,905","2,756","2,322","2,259","2,886","2,936"
2020년12월_남_80~89세,"38,987","8,682","1,762",848,"2,331","1,891","1,850","3,817","1,472","1,781","3,584","2,107","1,494","3,030",884,"1,216","1,482","1,302","1,469","1,316","1,076","1,165","1,522","1,588"
2020년12월_남_90~99세,"3,253",651,135,79,199,112,126,299,118,128,276,171,130,232,90,109,107,118,148,155,109,115,161,136
2020년12월_남_100세 이상,177,43,6,6,17,9,5,20,8,9,26,9,9,11,2,4,2,4,2,4,2,8,10,4
2020년12월_여_총인구수,"1,658,793","511,460","128,864","104,928","88,298","95,351","94,019","175,989","63,791","55,095","268,025","53,475","116,776","175,588","13,660","31,621","30,849","25,601","22,251","22,421","17,747","20,227","31,420","22,797"
2020년12월_여_연령구간인구수,"1,658,793","511,460","128,864","104,928","88,298","95,351","94,019","175,989","63,791","55,095","268,025","53,475","116,776","175,588","13,660","31,621","30,849","25,601","22,251","22,421","17,747","20,227","31,420","22,797"
2020년12월_여_0~9세,"130,627","40,377","10,449","8,066","6,061","6,485","9,316","13,665","4,806","3,899","24,171","2,764","12,893","16,917",526,"2,051","1,543","1,269",750,875,632,901,"1,821",767
2020년12월_여_10~19세,"154,583","47,488","11,179","10,927","6,622","8,686","10,074","16,628","6,187","4,981","29,412","3,712","13,312","16,682",703,"2,779","1,898","1,888","1,367","1,337",969,"1,420","2,648","1,172"
2020년12월_여_20~29세,"167,925","57,610","15,929","14,322","8,420","10,015","8,924","20,318","4,995","4,346","31,470","3,918","10,592","18,962",897,"2,302","2,092","1,613","1,274","1,396","1,067","1,337","2,449","1,287"
2020년12월_여_30~39세,"190,646","63,117","16,648","13,675","9,626","10,298","12,870","20,381","6,699","5,502","33,685","4,206","17,288","23,928",819,"2,751","2,317","1,725","1,188","1,230",985,"1,260","2,430","1,135"
2020년12월_여_40~49세,"260,111","82,610","20,360","18,579","12,193","14,891","16,587","27,241","9,825","8,298","49,523","6,082","21,673","29,912","1,222","4,303","3,146","2,823","2,124","2,187","1,556","1,981","3,765","1,840"
2020년12월_여_50~59세,"285,199","93,873","25,723","22,277","14,838","17,310","13,725","29,324","10,946","8,716","47,145","9,255","18,342","29,091","2,080","5,084","5,110","4,159","3,435","3,832","3,006","3,250","5,097","3,454"
2020년12월_여_60~69세,"232,715","71,510","16,954","11,024","15,789","15,659","12,084","23,907","10,490","8,569","28,591","10,829","12,802","21,827","2,547","5,305","6,081","4,875","4,243","4,286","3,515","3,664","5,196","4,478"
2020년12월_여_70~79세,"136,755","34,300","7,001","3,595","9,164","8,060","6,480","14,399","6,061","6,098","14,948","7,165","5,700","11,615","2,359","3,742","4,587","3,779","3,768","3,616","2,982","3,257","4,102","4,277"
2020년12월_여_80~89세,"85,661","17,645","3,951","2,090","4,726","3,440","3,438","8,597","3,264","3,985","7,883","4,771","3,470","5,751","2,162","2,857","3,496","2,940","3,406","3,068","2,585","2,673","3,314","3,794"
2020년12월_여_90~99세,"13,921","2,785",640,359,807,471,508,"1,455",498,678,"1,135",734,667,855,338,437,552,514,682,575,434,459,566,557
2020년12월_여_100세 이상,650,145,30,14,52,36,13,74,20,23,62,39,37,48,7,10,27,16,14,19,16,25,32,36
