,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2021년08월_계_총인구수,"50,952","13,060","1,922","1,611","1,754","1,561","1,464","1,462","4,211","3,892","2,563","1,777","1,723","1,793","4,583","3,776",831,"2,142",827
2021년08월_계_연령구간인구수,"50,952","13,060","1,922","1,611","1,754","1,561","1,464","1,462","4,211","3,892","2,563","1,777","1,723","1,793","4,583","3,776",831,"2,142",827
2021년08월_계_0~9세,"1,846",755,28,39,26,19,41,34,128,146,91,47,36,40,240,90,21,51,14
2021년08월_계_10~19세,"2,212","1,012",56,36,50,36,49,39,136,125,46,45,58,49,244,124,12,75,20
2021년08월_계_20~29세,"2,949","1,069",82,70,81,58,55,51,212,253,105,75,84,104,364,170,21,68,27
2021년08월_계_30~39세,"3,061","1,108",79,72,61,44,71,69,214,257,134,95,95,83,349,182,27,81,40
2021년08월_계_40~49세,"4,496","1,704",141,94,117,104,68,91,342,339,183,109,121,116,476,262,45,132,52
2021년08월_계_50~59세,"8,316","2,121",307,249,337,272,244,235,635,668,411,292,285,305,756,603,148,328,120
2021년08월_계_60~69세,"12,116","2,553",552,439,506,433,453,424,"1,059",967,662,467,394,433,863,921,195,588,207
2021년08월_계_70~79세,"8,838","1,699",354,323,335,302,271,277,836,635,504,338,337,347,728,774,183,422,173
2021년08월_계_80~89세,"6,263",919,295,254,213,246,183,211,555,427,377,274,285,289,488,583,158,352,154
2021년08월_계_90~99세,829,119,27,35,27,47,28,28,89,72,48,35,27,26,73,64,21,44,19
2021년08월_계_100세 이상,26,1,1,0,1,0,1,3,5,3,2,0,1,1,2,3,0,1,1
2021년08월_남_총인구수,"24,913","6,387",953,791,873,749,748,728,"2,059","1,894","1,252",887,850,861,"2,179","1,840",398,"1,070",394
2021년08월_남_연령구간인구수,"24,913","6,387",953,791,873,749,748,728,"2,059","1,894","1,252",887,850,861,"2,179","1,840",398,"1,070",394
2021년08월_남_0~9세,974,409,18,23,18,11,17,21,74,69,41,19,20,25,117,47,9,26,10
2021년08월_남_10~19세,"1,145",532,33,18,23,22,29,17,72,68,21,26,30,25,109,64,7,38,11
2021년08월_남_20~29세,"1,706",599,53,46,44,29,42,28,121,138,67,42,55,61,209,101,10,42,19
2021년08월_남_30~39세,"1,712",566,52,48,43,27,43,36,122,138,82,59,56,45,198,118,14,43,22
2021년08월_남_40~49세,"2,623",888,95,64,76,74,37,56,200,209,121,77,79,77,248,168,25,95,34
2021년08월_남_50~59세,"4,520","1,119",179,133,182,145,121,124,344,376,232,163,155,182,397,321,89,189,69
2021년08월_남_60~69세,"6,116","1,205",282,224,265,217,259,242,548,462,330,250,195,226,428,458,108,305,112
2021년08월_남_70~79세,"3,874",747,140,145,144,140,126,120,377,282,232,152,147,134,308,347,67,198,68
2021년08월_남_80~89세,"2,061",297,98,84,71,74,68,79,174,134,117,92,108,80,154,195,63,125,48
2021년08월_남_90~99세,179,25,3,6,7,10,6,5,26,18,9,7,5,6,11,19,6,9,1
2021년08월_남_100세 이상,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
2021년08월_여_총인구수,"26,039","6,673",969,820,881,812,716,734,"2,152","1,998","1,311",890,873,932,"2,404","1,936",433,"1,072",433
2021년08월_여_연령구간인구수,"26,039","6,673",969,820,881,812,716,734,"2,152","1,998","1,311",890,873,932,"2,404","1,936",433,"1,072",433
2021년08월_여_0~9세,872,346,10,16,8,8,24,13,54,77,50,28,16,15,123,43,12,25,4
2021년08월_여_10~19세,"1,067",480,23,18,27,14,20,22,64,57,25,19,28,24,135,60,5,37,9
2021년08월_여_20~29세,"1,243",470,29,24,37,29,13,23,91,115,38,33,29,43,155,69,11,26,8
2021년08월_여_30~39세,"1,349",542,27,24,18,17,28,33,92,119,52,36,39,38,151,64,13,38,18
2021년08월_여_40~49세,"1,873",816,46,30,41,30,31,35,142,130,62,32,42,39,228,94,20,37,18
2021년08월_여_50~59세,"3,796","1,002",128,116,155,127,123,111,291,292,179,129,130,123,359,282,59,139,51
2021년08월_여_60~69세,"6,000","1,348",270,215,241,216,194,182,511,505,332,217,199,207,435,463,87,283,95
2021년08월_여_70~79세,"4,964",952,214,178,191,162,145,157,459,353,272,186,190,213,420,427,116,224,105
2021년08월_여_80~89세,"4,202",622,197,170,142,172,115,132,381,293,260,182,177,209,334,388,95,227,106
2021년08월_여_90~99세,650,94,24,29,20,37,22,23,63,54,39,28,22,20,62,45,15,35,18
2021년08월_여_100세 이상,23,1,1,0,1,0,1,3,4,3,2,0,1,1,2,1,0,1,1
