카테고리,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년06월_계_총인구수,"551,490","23,621","14,485","8,378","27,166","13,716","17,437","31,285","29,117","23,369","16,616","32,029","21,818","43,534","16,229","76,458","38,198","20,119","11,262","35,975","19,514","18,312","12,852"
2021년06월_계_연령구간인구수,"551,490","23,621","14,485","8,378","27,166","13,716","17,437","31,285","29,117","23,369","16,616","32,029","21,818","43,534","16,229","76,458","38,198","20,119","11,262","35,975","19,514","18,312","12,852"
2021년06월_계_0~9세,"38,392","1,565",553,365,"2,019",601,"1,302","1,934","1,733","1,268",860,"1,359","2,143","4,862",563,"8,626","2,836","1,118",330,"2,201",826,714,614
2021년06월_계_10~19세,"53,738","2,005",690,546,"2,233",923,"1,614","3,443","2,853","2,399","1,341","2,327","2,198","8,328","1,113","8,337","4,583","1,430",569,"3,431","1,253","1,192",930
2021년06월_계_20~29세,"77,439","2,805","2,330","1,281","4,130","2,278","2,443","4,896","4,632","4,038","2,501","6,904","2,554","4,274","1,755","9,017","5,146","3,441","1,167","4,916","2,838","2,459","1,634"
2021년06월_계_30~39세,"64,384","2,704","1,833",921,"3,693","1,705","2,197","3,266","3,244","2,542","2,083","3,699","3,014","4,325","1,241","10,915","3,831","2,841",987,"3,761","2,197","1,915","1,470"
2021년06월_계_40~49세,"87,306","3,515","1,794","1,095","3,994","1,891","2,733","5,077","4,431","3,624","2,309","4,456","4,003","10,591","2,200","13,680","6,191","2,576","1,222","5,060","2,672","2,334","1,858"
2021년06월_계_50~59세,"102,118","4,126","2,549","1,474","5,065","2,695","3,350","6,682","6,471","5,141","3,453","6,351","3,716","6,177","2,992","11,956","7,112","3,812","2,158","7,213","3,748","3,377","2,500"
2021년06월_계_60~69세,"76,303","3,907","2,518","1,381","3,800","2,236","2,315","3,731","3,652","2,714","2,746","4,021","2,676","3,007","3,216","8,511","5,195","3,038","2,710","5,901","3,345","3,467","2,216"
2021년06월_계_70~79세,"34,626","2,072","1,499",866,"1,581",947,"1,049","1,548","1,393","1,086",927,"1,871","1,061","1,334","2,068","3,692","2,132","1,222","1,380","2,246","1,765","1,828","1,059"
2021년06월_계_80~89세,"15,309",837,655,414,580,398,386,639,645,506,356,924,398,547,971,"1,528","1,028",559,641,"1,106",783,912,496
2021년06월_계_90~99세,"1,818",79,58,35,69,41,47,65,62,49,39,115,53,81,108,192,139,80,97,139,84,111,75
2021년06월_계_100세 이상,57,6,6,0,2,1,1,4,1,2,1,2,2,8,2,4,5,2,1,1,3,3,0
2021년06월_남_총인구수,"271,953","11,485","7,050","4,075","13,255","6,777","8,585","15,701","14,664","11,729","8,425","16,488","10,811","21,344","7,788","37,563","18,688","9,955","5,405","17,444","9,635","8,749","6,337"
2021년06월_남_연령구간인구수,"271,953","11,485","7,050","4,075","13,255","6,777","8,585","15,701","14,664","11,729","8,425","16,488","10,811","21,344","7,788","37,563","18,688","9,955","5,405","17,444","9,635","8,749","6,337"
2021년06월_남_0~9세,"19,622",746,292,197,988,292,672,"1,002",905,672,450,720,"1,059","2,474",319,"4,414","1,435",594,169,"1,129",424,358,311
2021년06월_남_10~19세,"27,881",936,347,284,"1,151",483,838,"1,851","1,514","1,227",698,"1,190","1,065","4,239",571,"4,373","2,518",778,306,"1,776",657,590,489
2021년06월_남_20~29세,"41,263","1,439","1,087",645,"2,046","1,188","1,291","2,618","2,543","2,178","1,373","3,737","1,355","2,350",978,"4,803","2,853","1,791",666,"2,660","1,462","1,288",912
2021년06월_남_30~39세,"33,641","1,395",958,486,"1,910",965,"1,138","1,715","1,757","1,373","1,174","2,206","1,550","1,914",683,"5,335","1,889","1,586",552,"1,969","1,217","1,050",819
2021년06월_남_40~49세,"42,405","1,828",997,568,"1,953",942,"1,317","2,366","2,080","1,675","1,145","2,312","1,995","4,825","1,136","6,654","2,788","1,274",654,"2,351","1,393","1,185",967
2021년06월_남_50~59세,"49,298","2,053","1,291",703,"2,391","1,274","1,612","3,287","3,112","2,514","1,611","3,222","1,836","3,335","1,503","5,661","3,333","1,741",996,"3,254","1,798","1,589","1,182"
2021년06월_남_60~69세,"36,741","1,845","1,189",648,"1,836","1,067","1,098","1,873","1,889","1,433","1,400","2,005","1,278","1,406","1,481","4,056","2,504","1,456","1,239","2,878","1,548","1,564","1,048"
2021년06월_남_70~79세,"15,443",938,639,371,743,421,477,739,620,474,438,791,510,589,798,"1,681",968,538,633,"1,022",824,773,456
2021년06월_남_80~89세,"5,256",295,240,164,221,133,131,235,229,173,127,283,152,190,293,542,367,179,169,373,296,328,136
2021년06월_남_90~99세,394,10,9,9,15,12,11,13,15,10,9,22,9,21,26,43,33,18,21,32,16,23,17
