카테고리,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020년04월_계_총인구수,"356,978","15,525","10,150","20,488","21,347","20,514","13,147","18,199","21,509","22,701","18,351","24,511","10,390","12,076","20,356","16,864","17,260","11,711","30,105","11,841","19,933"
2020년04월_계_연령구간인구수,"356,978","15,525","10,150","20,488","21,347","20,514","13,147","18,199","21,509","22,701","18,351","24,511","10,390","12,076","20,356","16,864","17,260","11,711","30,105","11,841","19,933"
2020년04월_계_0~9세,"21,774",640,653,"1,524","1,146","1,267",589,925,"1,084","2,014","1,202","1,314",790,773,990,"1,046","1,276",717,"2,005",526,"1,293"
2020년04월_계_10~19세,"25,682",606,512,"1,888","1,531","1,612",672,"1,040","1,251","1,793","2,020","2,127",738,"1,024","1,316","1,375","1,043",935,"2,671",494,"1,034"
2020년04월_계_20~29세,"51,625","3,149","2,001","2,051","2,241","2,871","2,902","3,978","3,436","2,452","2,128","3,025","1,265","1,344","3,288","2,105","3,317","1,630","3,804","2,300","2,338"
2020년04월_계_30~39세,"47,484","2,427","1,794","2,312","2,206","2,474","2,307","3,160","3,177","3,059","1,853","2,508","1,676","1,444","2,368","1,911","2,814","1,260","3,607","2,105","3,022"
2020년04월_계_40~49세,"51,725","1,825","1,493","3,349","2,982","3,096","1,830","2,441","3,055","3,735","3,012","3,669","1,508","1,845","2,810","2,340","2,466","1,652","4,368","1,567","2,682"
2020년04월_계_50~59세,"59,086","2,544","1,592","3,231","3,596","3,654","1,724","2,334","3,153","3,724","3,462","4,618","1,581","2,334","3,547","2,886","2,591","2,024","5,602","1,755","3,134"
2020년04월_계_60~69세,"54,113","2,366","1,266","3,239","3,945","2,951","1,630","2,160","3,274","3,164","2,657","3,998","1,545","1,824","3,311","2,908","2,076","1,858","4,783","1,666","3,492"
2020년04월_계_70~79세,"31,351","1,362",562,"2,008","2,568","1,711","1,026","1,437","2,125","1,974","1,426","2,143",901,"1,040","1,972","1,640","1,193","1,144","2,158",947,"2,014"
2020년04월_계_80~89세,"12,431",523,223,786,"1,010",780,403,622,854,668,516,966,347,395,670,567,432,448,990,420,811
2020년04월_계_90~99세,"1,481",69,47,94,108,86,55,87,88,87,64,131,32,45,76,75,50,40,108,52,87
2020년04월_계_100세 이상,226,14,7,6,14,12,9,15,12,31,11,12,7,8,8,11,2,3,9,9,26
2020년04월_남_총인구수,"172,703","7,771","5,044","9,709","10,367","9,789","6,024","8,648","10,118","11,091","9,069","11,752","5,029","5,919","10,172","8,259","8,238","5,727","14,627","5,638","9,712"
2020년04월_남_연령구간인구수,"172,703","7,771","5,044","9,709","10,367","9,789","6,024","8,648","10,118","11,091","9,069","11,752","5,029","5,919","10,172","8,259","8,238","5,727","14,627","5,638","9,712"
2020년04월_남_0~9세,"11,072",315,363,767,597,640,295,444,574,"1,023",602,656,410,404,494,531,654,346,"1,047",253,657
2020년04월_남_10~19세,"13,120",320,252,949,840,806,318,507,639,930,"1,059","1,076",373,508,692,725,505,474,"1,335",252,560
2020년04월_남_20~29세,"25,506","1,459",964,"1,091","1,185","1,443","1,173","1,787","1,597","1,271","1,169","1,641",640,724,"1,771","1,132","1,470",864,"2,009",990,"1,126"
2020년04월_남_30~39세,"24,186","1,316",938,"1,161","1,148","1,226","1,092","1,610","1,555","1,492",933,"1,324",859,727,"1,290",968,"1,418",680,"1,830","1,069","1,550"
2020년04월_남_40~49세,"26,107",983,787,"1,623","1,509","1,541",917,"1,238","1,514","1,917","1,470","1,752",751,932,"1,498","1,163","1,267",820,"2,142",813,"1,470"
2020년04월_남_50~59세,"28,567","1,372",764,"1,480","1,730","1,740",865,"1,170","1,485","1,779","1,725","2,212",747,"1,142","1,733","1,363","1,257",995,"2,611",892,"1,505"
2020년04월_남_60~69세,"25,521","1,179",625,"1,460","1,793","1,377",762,"1,026","1,484","1,518","1,266","1,859",703,877,"1,561","1,352",944,876,"2,354",803,"1,702"
2020년04월_남_70~79세,"13,768",626,258,857,"1,155",716,442,615,920,894,638,892,407,464,865,776,553,498,944,404,844
2020년04월_남_80~89세,"4,459",182,80,296,386,276,144,226,329,236,189,308,129,131,252,225,161,162,336,146,265
2020년04월_남_90~99세,351,16,13,23,23,20,12,22,18,24,15,31,9,8,16,21,9,11,18,15,27
2020년04월_남_100세 이상,46,3,0,2,1,4,4,3,3,7,3,1,1,2,0,3,0,1,1,1,6
2020년04월_여_총인구수,"184,275","7,754","5,106","10,779","10,980","10,725","7,123","9,551","11,391","11,610","9,282","12,759","5,361","6,157","10,184","8,605","9,022","5,984","15,478","6,203","10,221"
2020년04월_여_연령구간인구수,"184,275","7,754","5,106","10,779","10,980","10,725","7,123","9,551","11,391","11,610","9,282","12,759","5,361","6,157","10,184","8,605","9,022","5,984","15,478","6,203","10,221"
2020년04월_여_0~9세,"10,702",325,290,757,549,627,294,481,510,991,600,658,380,369,496,515,622,371,958,273,636
2020년04월_여_10~19세,"12,562",286,260,939,691,806,354,533,612,863,961,"1,051",365,516,624,650,538,461,"1,336",242,474
2020년04월_여_20~29세,"26,119","1,690","1,037",960,"1,056","1,428","1,729","2,191","1,839","1,181",959,"1,384",625,620,"1,517",973,"1,847",766,"1,795","1,310","1,212"
2020년04월_여_30~39세,"23,298","1,111",856,"1,151","1,058","1,248","1,215","1,550","1,622","1,567",920,"1,184",817,717,"1,078",943,"1,396",580,"1,777","1,036","1,472"
2020년04월_여_40~49세,"25,618",842,706,"1,726","1,473","1,555",913,"1,203","1,541","1,818","1,542","1,917",757,913,"1,312","1,177","1,199",832,"2,226",754,"1,212"
2020년04월_여_50~59세,"30,519","1,172",828,"1,751","1,866","1,914",859,"1,164","1,668","1,945","1,737","2,406",834,"1,192","1,814","1,523","1,334","1,029","2,991",863,"1,629"
2020년04월_여_60~69세,"28,592","1,187",641,"1,779","2,152","1,574",868,"1,134","1,790","1,646","1,391","2,139",842,947,"1,750","1,556","1,132",982,"2,429",863,"1,790"
2020년04월_여_70~79세,"17,583",736,304,"1,151","1,413",995,584,822,"1,205","1,080",788,"1,251",494,576,"1,107",864,640,646,"1,214",543,"1,170"
2020년04월_여_80~89세,"7,972",341,143,490,624,504,259,396,525,432,327,658,218,264,418,342,271,286,654,274,546
2020년04월_여_90~99세,"1,130",53,34,71,85,66,43,65,70,63,49,100,23,37,60,54,41,29,90,37,60
2020년04월_여_100세 이상,180,11,7,4,13,8,5,12,9,24,8,11,6,6,8,8,2,2,8,8,20
