,세종특별자치시,세종특별자치시 세종특별자치시
2020년08월_계_총인구수,"347,232","347,232"
2020년08월_계_연령구간인구수,"347,232","347,232"
2020년08월_계_0~9세,"46,987","46,987"
2020년08월_계_10~19세,"41,416","41,416"
2020년08월_계_20~29세,"36,241","36,241"
2020년08월_계_30~39세,"60,795","60,795"
2020년08월_계_40~49세,"66,950","66,950"
2020년08월_계_50~59세,"43,814","43,814"
2020년08월_계_60~69세,"28,836","28,836"
2020년08월_계_70~79세,"14,020","14,020"
2020년08월_계_80~89세,"6,963","6,963"
2020년08월_계_90~99세,"1,154","1,154"
2020년08월_계_100세 이상,56,56
2020년08월_남_총인구수,"173,183","173,183"
2020년08월_남_연령구간인구수,"173,183","173,183"
2020년08월_남_0~9세,"24,076","24,076"
2020년08월_남_10~19세,"20,777","20,777"
2020년08월_남_20~29세,"18,362","18,362"
2020년08월_남_30~39세,"29,633","29,633"
2020년08월_남_40~49세,"34,237","34,237"
2020년08월_남_50~59세,"22,783","22,783"
2020년08월_남_60~69세,"14,293","14,293"
2020년08월_남_70~79세,"6,418","6,418"
2020년08월_남_80~89세,"2,341","2,341"
2020년08월_남_90~99세,252,252
2020년08월_남_100세 이상,11,11
2020년08월_여_총인구수,"174,049","174,049"
2020년08월_여_연령구간인구수,"174,049","174,049"
2020년08월_여_0~9세,"22,911","22,911"
2020년08월_여_10~19세,"20,639","20,639"
2020년08월_여_20~29세,"17,879","17,879"
2020년08월_여_30~39세,"31,162","31,162"
2020년08월_여_40~49세,"32,713","32,713"
2020년08월_여_50~59세,"21,031","21,031"
2020년08월_여_60~69세,"14,543","14,543"
2020년08월_여_70~79세,"7,602","7,602"
2020년08월_여_80~89세,"4,622","4,622"
2020년08월_여_90~99세,902,902
2020년08월_여_100세 이상,45,45
