카테고리,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2020년01월_계_총인구수,"43,741","8,028","19,130","3,328","3,994","2,669","1,761","1,047","2,849",201,734
2020년01월_계_연령구간인구수,"43,741","8,028","19,130","3,328","3,994","2,669","1,761","1,047","2,849",201,734
2020년01월_계_0~9세,"2,913",747,"1,639",116,145,90,46,24,66,9,31
2020년01월_계_10~19세,"3,312",481,"1,960",199,207,161,73,54,130,12,35
2020년01월_계_20~29세,"5,444","1,268","2,434",327,455,249,158,89,360,46,58
2020년01월_계_30~39세,"4,288","1,037","2,163",221,302,188,98,59,165,10,45
2020년01월_계_40~49세,"5,079",846,"2,666",297,424,258,150,94,256,19,69
2020년01월_계_50~59세,"7,393","1,126","3,195",632,749,535,361,165,450,32,148
2020년01월_계_60~69세,"7,124","1,062","2,551",686,810,515,438,235,648,36,143
2020년01월_계_70~79세,"5,081",888,"1,531",509,574,446,267,226,495,22,123
2020년01월_계_80~89세,"2,670",491,818,308,276,208,150,89,244,13,73
2020년01월_계_90~99세,394,77,154,28,45,17,18,11,33,2,9
2020년01월_계_100세 이상,43,5,19,5,7,2,2,1,2,0,0
2020년01월_남_총인구수,"22,948","4,350","9,764","1,768","2,116","1,428",938,552,"1,550",118,364
2020년01월_남_연령구간인구수,"22,948","4,350","9,764","1,768","2,116","1,428",938,552,"1,550",118,364
2020년01월_남_0~9세,"1,493",387,844,55,73,44,25,16,31,4,14
2020년01월_남_10~19세,"1,776",265,"1,028",109,122,93,42,31,62,4,20
2020년01월_남_20~29세,"3,475",872,"1,374",230,317,157,100,56,294,40,35
2020년01월_남_30~39세,"2,404",595,"1,161",123,183,119,57,32,103,7,24
2020년01월_남_40~49세,"2,787",482,"1,372",184,247,144,88,59,160,8,43
2020년01월_남_50~59세,"3,965",632,"1,669",343,397,292,191,97,255,19,70
2020년01월_남_60~69세,"3,671",539,"1,296",372,417,276,250,117,311,20,73
2020년01월_남_70~79세,"2,267",371,692,226,243,209,118,104,234,11,59
2020년01월_남_80~89세,992,186,278,117,103,88,60,37,92,5,26
2020년01월_남_90~99세,103,21,42,7,13,5,6,2,7,0,0
2020년01월_남_100세 이상,15,0,8,2,1,1,1,1,1,0,0
2020년01월_여_총인구수,"20,793","3,678","9,366","1,560","1,878","1,241",823,495,"1,299",83,370
2020년01월_여_연령구간인구수,"20,793","3,678","9,366","1,560","1,878","1,241",823,495,"1,299",83,370
2020년01월_여_0~9세,"1,420",360,795,61,72,46,21,8,35,5,17
2020년01월_여_10~19세,"1,536",216,932,90,85,68,31,23,68,8,15
2020년01월_여_20~29세,"1,969",396,"1,060",97,138,92,58,33,66,6,23
2020년01월_여_30~39세,"1,884",442,"1,002",98,119,69,41,27,62,3,21
2020년01월_여_40~49세,"2,292",364,"1,294",113,177,114,62,35,96,11,26
2020년01월_여_50~59세,"3,428",494,"1,526",289,352,243,170,68,195,13,78
2020년01월_여_60~69세,"3,453",523,"1,255",314,393,239,188,118,337,16,70
2020년01월_여_70~79세,"2,814",517,839,283,331,237,149,122,261,11,64
2020년01월_여_80~89세,"1,678",305,540,191,173,120,90,52,152,8,47
2020년01월_여_90~99세,291,56,112,21,32,12,12,9,26,2,9
2020년01월_여_100세 이상,28,5,11,3,6,1,1,0,1,0,0
