카테고리,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2021년03월_계_총인구수,"93,351","6,879","11,945","4,984","2,941","27,245","25,300","8,716","5,341"
2021년03월_계_연령구간인구수,"93,351","6,879","11,945","4,984","2,941","27,245","25,300","8,716","5,341"
2021년03월_계_0~9세,"6,125",483,749,144,142,"1,871","2,077",403,256
2021년03월_계_10~19세,"8,490",572,"1,232",203,203,"2,574","2,914",506,286
2021년03월_계_20~29세,"11,185",758,"1,328",491,325,"3,470","3,309",910,594
2021년03월_계_30~39세,"10,053",767,"1,190",426,283,"2,949","3,030",784,624
2021년03월_계_40~49세,"14,079",932,"1,898",562,367,"4,084","4,461","1,138",637
2021년03월_계_50~59세,"16,326","1,218","2,023","1,016",553,"4,899","4,064","1,577",976
2021년03월_계_60~69세,"13,375","1,112","1,674","1,066",514,"3,797","2,595","1,656",961
2021년03월_계_70~79세,"8,653",637,"1,153",633,361,"2,302","1,848","1,098",621
2021년03월_계_80~89세,"4,458",364,632,361,175,"1,155",880,567,324
2021년03월_계_90~99세,580,35,65,75,18,140,120,68,59
2021년03월_계_100세 이상,27,1,1,7,0,4,2,9,3
2021년03월_남_총인구수,"46,621","3,438","5,875","2,607","1,428","13,443","12,443","4,536","2,851"
2021년03월_남_연령구간인구수,"46,621","3,438","5,875","2,607","1,428","13,443","12,443","4,536","2,851"
2021년03월_남_0~9세,"3,163",259,402,80,65,948,"1,060",204,145
2021년03월_남_10~19세,"4,274",278,629,106,94,"1,289","1,470",268,140
2021년03월_남_20~29세,"6,093",420,735,276,195,"1,847","1,748",533,339
2021년03월_남_30~39세,"5,198",394,593,239,146,"1,500","1,532",428,366
2021년03월_남_40~49세,"7,287",493,964,340,187,"2,041","2,230",658,374
2021년03월_남_50~59세,"8,589",632,"1,058",587,269,"2,516","2,107",865,555
2021년03월_남_60~69세,"6,591",551,779,574,271,"1,880","1,179",839,518
2021년03월_남_70~79세,"3,636",265,455,271,142,963,739,517,284
2021년03월_남_80~89세,"1,630",133,245,108,55,419,350,204,116
2021년03월_남_90~99세,157,13,15,25,4,39,28,20,13
2021년03월_남_100세 이상,3,0,0,1,0,1,0,0,1
2021년03월_여_총인구수,"46,730","3,441","6,070","2,377","1,513","13,802","12,857","4,180","2,490"
2021년03월_여_연령구간인구수,"46,730","3,441","6,070","2,377","1,513","13,802","12,857","4,180","2,490"
2021년03월_여_0~9세,"2,962",224,347,64,77,923,"1,017",199,111
2021년03월_여_10~19세,"4,216",294,603,97,109,"1,285","1,444",238,146
2021년03월_여_20~29세,"5,092",338,593,215,130,"1,623","1,561",377,255
2021년03월_여_30~39세,"4,855",373,597,187,137,"1,449","1,498",356,258
2021년03월_여_40~49세,"6,792",439,934,222,180,"2,043","2,231",480,263
2021년03월_여_50~59세,"7,737",586,965,429,284,"2,383","1,957",712,421
2021년03월_여_60~69세,"6,784",561,895,492,243,"1,917","1,416",817,443
2021년03월_여_70~79세,"5,017",372,698,362,219,"1,339","1,109",581,337
2021년03월_여_80~89세,"2,828",231,387,253,120,736,530,363,208
2021년03월_여_90~99세,423,22,50,50,14,101,92,48,46
2021년03월_여_100세 이상,24,1,1,6,0,3,2,9,2
