,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2021년02월_계_총인구수,"24,652","8,361","2,711","2,885","4,263","6,432"
2021년02월_계_연령구간인구수,"24,652","8,361","2,711","2,885","4,263","6,432"
2021년02월_계_0~9세,"1,791",696,56,137,296,606
2021년02월_계_10~19세,"1,748",753,145,262,155,433
2021년02월_계_20~29세,"3,822","1,194",269,264,"1,114",981
2021년02월_계_30~39세,"2,835",991,138,247,540,919
2021년02월_계_40~49세,"2,690","1,137",218,371,323,641
2021년02월_계_50~59세,"3,863","1,314",571,525,510,943
2021년02월_계_60~69세,"3,880","1,090",631,511,639,"1,009"
2021년02월_계_70~79세,"2,382",725,404,325,382,546
2021년02월_계_80~89세,"1,395",405,228,208,257,297
2021년02월_계_90~99세,228,52,50,29,44,53
2021년02월_계_100세 이상,18,4,1,6,3,4
2021년02월_남_총인구수,"13,377","4,370","1,436","1,512","2,582","3,477"
2021년02월_남_연령구간인구수,"13,377","4,370","1,436","1,512","2,582","3,477"
2021년02월_남_0~9세,908,359,28,71,139,311
2021년02월_남_10~19세,886,386,69,136,81,214
2021년02월_남_20~29세,"2,678",738,199,144,913,684
2021년02월_남_30~39세,"1,668",556,82,131,363,536
2021년02월_남_40~49세,"1,468",596,107,212,195,358
2021년02월_남_50~59세,"2,091",712,324,302,271,482
2021년02월_남_60~69세,"2,068",574,345,277,351,521
2021년02월_남_70~79세,"1,062",299,187,157,171,248
2021년02월_남_80~89세,484,135,80,73,90,106
2021년02월_남_90~99세,56,14,14,6,7,15
2021년02월_남_100세 이상,8,1,1,3,1,2
2021년02월_여_총인구수,"11,275","3,991","1,275","1,373","1,681","2,955"
2021년02월_여_연령구간인구수,"11,275","3,991","1,275","1,373","1,681","2,955"
2021년02월_여_0~9세,883,337,28,66,157,295
2021년02월_여_10~19세,862,367,76,126,74,219
2021년02월_여_20~29세,"1,144",456,70,120,201,297
2021년02월_여_30~39세,"1,167",435,56,116,177,383
2021년02월_여_40~49세,"1,222",541,111,159,128,283
2021년02월_여_50~59세,"1,772",602,247,223,239,461
2021년02월_여_60~69세,"1,812",516,286,234,288,488
2021년02월_여_70~79세,"1,320",426,217,168,211,298
2021년02월_여_80~89세,911,270,148,135,167,191
2021년02월_여_90~99세,172,38,36,23,37,38
2021년02월_여_100세 이상,10,3,0,3,2,2
