,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2020년04월_계_총인구수,"52,692","20,662","1,999","2,998","2,364","3,591","2,486","4,622","2,387","2,623","2,286","2,806","2,689","1,179"
2020년04월_계_연령구간인구수,"52,692","20,662","1,999","2,998","2,364","3,591","2,486","4,622","2,387","2,623","2,286","2,806","2,689","1,179"
2020년04월_계_0~9세,"2,673","1,635",50,84,104,124,53,219,83,50,82,70,88,31
2020년04월_계_10~19세,"3,835","2,365",66,120,144,162,83,300,119,96,96,129,119,36
2020년04월_계_20~29세,"4,389","2,169",121,213,190,227,143,380,155,158,168,201,199,65
2020년04월_계_30~39세,"4,047","2,017",122,180,200,257,116,377,158,118,142,154,130,76
2020년04월_계_40~49세,"6,313","3,090",167,284,255,389,197,565,232,248,199,284,287,116
2020년04월_계_50~59세,"9,102","3,439",330,520,421,563,464,902,440,430,416,461,490,226
2020년04월_계_60~69세,"9,435","2,801",448,571,421,782,549,874,573,531,452,579,574,280
2020년04월_계_70~79세,"7,644","1,967",376,564,343,714,503,625,400,520,412,536,476,208
2020년04월_계_80~89세,"4,630","1,061",275,410,243,340,333,334,195,421,285,341,273,119
2020년04월_계_90~99세,586,113,41,50,41,31,43,44,28,49,30,48,47,21
2020년04월_계_100세 이상,38,5,3,2,2,2,2,2,4,2,4,3,6,1
2020년04월_남_총인구수,"26,157","10,123",962,"1,525","1,209","1,818","1,232","2,328","1,208","1,297","1,122","1,385","1,322",626
2020년04월_남_연령구간인구수,"26,157","10,123",962,"1,525","1,209","1,818","1,232","2,328","1,208","1,297","1,122","1,385","1,322",626
2020년04월_남_0~9세,"1,396",857,24,55,43,55,26,121,48,25,42,39,47,14
2020년04월_남_10~19세,"2,034","1,247",41,60,77,81,49,156,71,45,51,68,72,16
2020년04월_남_20~29세,"2,424","1,163",66,122,106,129,83,205,89,92,87,113,128,41
2020년04월_남_30~39세,"2,199",985,71,107,122,162,71,212,86,84,87,92,69,51
2020년04월_남_40~49세,"3,551","1,538",106,193,163,248,131,348,135,157,117,166,171,78
2020년04월_남_50~59세,"4,923","1,707",182,303,239,333,254,482,234,257,249,274,264,145
2020년04월_남_60~69세,"4,714","1,400",219,297,228,360,285,423,287,263,242,290,271,149
2020년04월_남_70~79세,"3,306",849,158,246,150,320,213,280,189,220,166,213,214,88
2020년04월_남_80~89세,"1,482",351,89,131,70,121,112,94,61,140,76,119,78,40
2020년04월_남_90~99세,123,25,6,11,11,9,8,7,7,14,3,11,7,4
2020년04월_남_100세 이상,5,1,0,0,0,0,0,0,1,0,2,0,1,0
2020년04월_여_총인구수,"26,535","10,539","1,037","1,473","1,155","1,773","1,254","2,294","1,179","1,326","1,164","1,421","1,367",553
2020년04월_여_연령구간인구수,"26,535","10,539","1,037","1,473","1,155","1,773","1,254","2,294","1,179","1,326","1,164","1,421","1,367",553
2020년04월_여_0~9세,"1,277",778,26,29,61,69,27,98,35,25,40,31,41,17
2020년04월_여_10~19세,"1,801","1,118",25,60,67,81,34,144,48,51,45,61,47,20
2020년04월_여_20~29세,"1,965","1,006",55,91,84,98,60,175,66,66,81,88,71,24
2020년04월_여_30~39세,"1,848","1,032",51,73,78,95,45,165,72,34,55,62,61,25
2020년04월_여_40~49세,"2,762","1,552",61,91,92,141,66,217,97,91,82,118,116,38
2020년04월_여_50~59세,"4,179","1,732",148,217,182,230,210,420,206,173,167,187,226,81
2020년04월_여_60~69세,"4,721","1,401",229,274,193,422,264,451,286,268,210,289,303,131
2020년04월_여_70~79세,"4,338","1,118",218,318,193,394,290,345,211,300,246,323,262,120
2020년04월_여_80~89세,"3,148",710,186,279,173,219,221,240,134,281,209,222,195,79
2020년04월_여_90~99세,463,88,35,39,30,22,35,37,21,35,27,37,40,17
2020년04월_여_100세 이상,33,4,3,2,2,2,2,2,3,2,2,3,5,1
