카테고리,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2021년10월_계_총인구수,"61,782","29,447","8,545","2,328","4,206","5,379","5,324","4,330","2,223"
2021년10월_계_연령구간인구수,"61,782","29,447","8,545","2,328","4,206","5,379","5,324","4,330","2,223"
2021년10월_계_0~9세,"2,893","2,060",304,67,109,111,96,104,42
2021년10월_계_10~19세,"4,320","2,842",590,116,158,196,177,159,82
2021년10월_계_20~29세,"4,762","2,909",537,89,337,254,242,282,112
2021년10월_계_30~39세,"4,727","3,071",502,107,232,277,213,228,97
2021년10월_계_40~49세,"7,462","4,372",961,235,404,460,498,352,180
2021년10월_계_50~59세,"10,540","4,941","1,486",403,698,970,921,767,354
2021년10월_계_60~69세,"12,794","4,656","1,980",567,"1,058","1,475","1,433","1,065",560
2021년10월_계_70~79세,"8,900","2,981","1,440",440,728,"1,010","1,058",794,449
2021년10월_계_80~89세,"4,672","1,417",626,276,414,542,608,486,303
2021년10월_계_90~99세,693,195,112,27,67,81,78,90,43
2021년10월_계_100세 이상,19,3,7,1,1,3,0,3,1
2021년10월_남_총인구수,"31,152","14,870","4,248","1,119","2,162","2,758","2,631","2,223","1,141"
2021년10월_남_연령구간인구수,"31,152","14,870","4,248","1,119","2,162","2,758","2,631","2,223","1,141"
2021년10월_남_0~9세,"1,450","1,044",151,25,50,52,53,52,23
2021년10월_남_10~19세,"2,237","1,446",325,47,91,103,94,86,45
2021년10월_남_20~29세,"2,806","1,682",319,52,225,158,128,182,60
2021년10월_남_30~39세,"2,594","1,646",255,57,134,182,121,143,56
2021년10월_남_40~49세,"4,195","2,300",547,145,253,298,316,210,126
2021년10월_남_50~59세,"5,629","2,556",797,220,370,534,503,432,217
2021년10월_남_60~69세,"6,199","2,249",932,276,525,717,700,524,276
2021년10월_남_70~79세,"4,238","1,415",680,196,351,486,490,397,223
2021년10월_남_80~89세,"1,644",476,218,94,147,208,212,178,111
2021년10월_남_90~99세,153,56,19,7,15,20,14,18,4
2021년10월_남_100세 이상,7,0,5,0,1,0,0,1,0
2021년10월_여_총인구수,"30,630","14,577","4,297","1,209","2,044","2,621","2,693","2,107","1,082"
2021년10월_여_연령구간인구수,"30,630","14,577","4,297","1,209","2,044","2,621","2,693","2,107","1,082"
2021년10월_여_0~9세,"1,443","1,016",153,42,59,59,43,52,19
2021년10월_여_10~19세,"2,083","1,396",265,69,67,93,83,73,37
2021년10월_여_20~29세,"1,956","1,227",218,37,112,96,114,100,52
2021년10월_여_30~39세,"2,133","1,425",247,50,98,95,92,85,41
2021년10월_여_40~49세,"3,267","2,072",414,90,151,162,182,142,54
2021년10월_여_50~59세,"4,911","2,385",689,183,328,436,418,335,137
2021년10월_여_60~69세,"6,595","2,407","1,048",291,533,758,733,541,284
2021년10월_여_70~79세,"4,662","1,566",760,244,377,524,568,397,226
2021년10월_여_80~89세,"3,028",941,408,182,267,334,396,308,192
2021년10월_여_90~99세,540,139,93,20,52,61,64,72,39
2021년10월_여_100세 이상,12,3,2,1,0,3,0,2,1
