카테고리,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2021년03월_계_총인구수,"234,181","26,270","5,883","6,880","11,884","10,416","5,312","49,984","9,710","27,083","27,408","53,351"
2021년03월_계_연령구간인구수,"234,181","26,270","5,883","6,880","11,884","10,416","5,312","49,984","9,710","27,083","27,408","53,351"
2021년03월_계_0~9세,"20,241","1,337",144,369,613,484,202,"4,736",623,"1,907","2,234","7,592"
2021년03월_계_10~19세,"24,407","2,529",316,375,848,518,266,"6,958",751,"2,644","3,452","5,750"
2021년03월_계_20~29세,"27,678","3,247",651,814,"1,264","1,090",582,"5,406","1,536","3,456","3,873","5,759"
2021년03월_계_30~39세,"28,594","2,276",461,769,"1,132","1,079",441,"5,344","1,173","2,891","2,998","10,030"
2021년03월_계_40~49세,"40,017","3,887",658,786,"1,685","1,121",621,"10,103","1,342","4,317","4,984","10,513"
2021년03월_계_50~59세,"38,658","5,167","1,247","1,222","2,455","1,801","1,045","7,454","1,794","5,409","4,647","6,417"
2021년03월_계_60~69세,"29,732","4,291","1,371","1,409","2,209","2,222","1,102","5,155","1,364","3,733","2,549","4,327"
2021년03월_계_70~79세,"16,375","2,256",658,693,"1,071","1,299",672,"3,365",730,"1,859","1,656","2,116"
2021년03월_계_80~89세,"7,362","1,125",319,368,532,649,332,"1,287",338,774,906,732
2021년03월_계_90~99세,"1,070",149,58,73,74,148,47,170,47,91,103,110
2021년03월_계_100세 이상,47,6,0,2,1,5,2,6,12,2,6,5
2021년03월_남_총인구수,"118,821","13,283","3,352","3,846","6,423","5,346","2,805","24,434","5,114","13,759","13,592","26,867"
2021년03월_남_연령구간인구수,"118,821","13,283","3,352","3,846","6,423","5,346","2,805","24,434","5,114","13,759","13,592","26,867"
2021년03월_남_0~9세,"10,322",654,71,175,308,256,103,"2,395",306,990,"1,158","3,906"
2021년03월_남_10~19세,"12,428","1,299",176,192,458,288,146,"3,498",391,"1,377","1,770","2,833"
2021년03월_남_20~29세,"14,848","1,780",394,520,744,658,325,"2,739",885,"1,825","2,031","2,947"
2021년03월_남_30~39세,"14,749","1,230",293,469,635,601,251,"2,588",633,"1,536","1,492","5,021"
2021년03월_남_40~49세,"20,613","1,978",415,474,959,605,355,"4,970",731,"2,235","2,457","5,434"
2021년03월_남_50~59세,"20,297","2,697",764,727,"1,373",898,551,"3,888",977,"2,782","2,388","3,252"
2021년03월_남_60~69세,"14,923","2,181",771,796,"1,202","1,097",619,"2,282",706,"1,897","1,240","2,132"
2021년03월_남_70~79세,"7,608","1,038",340,342,520,650,313,"1,526",337,817,666,"1,059"
2021년03월_남_80~89세,"2,793",400,115,137,206,257,135,506,134,282,355,266
2021년03월_남_90~99세,230,26,13,14,18,33,7,42,12,18,30,17
2021년03월_남_100세 이상,10,0,0,0,0,3,0,0,2,0,5,0
2021년03월_여_총인구수,"115,360","12,987","2,531","3,034","5,461","5,070","2,507","25,550","4,596","13,324","13,816","26,484"
2021년03월_여_연령구간인구수,"115,360","12,987","2,531","3,034","5,461","5,070","2,507","25,550","4,596","13,324","13,816","26,484"
2021년03월_여_0~9세,"9,919",683,73,194,305,228,99,"2,341",317,917,"1,076","3,686"
2021년03월_여_10~19세,"11,979","1,230",140,183,390,230,120,"3,460",360,"1,267","1,682","2,917"
2021년03월_여_20~29세,"12,830","1,467",257,294,520,432,257,"2,667",651,"1,631","1,842","2,812"
2021년03월_여_30~39세,"13,845","1,046",168,300,497,478,190,"2,756",540,"1,355","1,506","5,009"
2021년03월_여_40~49세,"19,404","1,909",243,312,726,516,266,"5,133",611,"2,082","2,527","5,079"
2021년03월_여_50~59세,"18,361","2,470",483,495,"1,082",903,494,"3,566",817,"2,627","2,259","3,165"
2021년03월_여_60~69세,"14,809","2,110",600,613,"1,007","1,125",483,"2,873",658,"1,836","1,309","2,195"
2021년03월_여_70~79세,"8,767","1,218",318,351,551,649,359,"1,839",393,"1,042",990,"1,057"
2021년03월_여_80~89세,"4,569",725,204,231,326,392,197,781,204,492,551,466
2021년03월_여_90~99세,840,123,45,59,56,115,40,128,35,73,73,93
2021년03월_여_100세 이상,37,6,0,2,1,2,2,6,10,2,1,5
