,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2021년12월_계_총인구수,"228,049","5,315","9,218","11,231","7,885","8,244","17,983","15,789","12,839","18,053","26,706","2,331","9,733","28,867","19,695","33,114","1,046"
2021년12월_계_연령구간인구수,"228,049","5,315","9,218","11,231","7,885","8,244","17,983","15,789","12,839","18,053","26,706","2,331","9,733","28,867","19,695","33,114","1,046"
2021년12월_계_0~9세,"12,089",88,278,318,245,273,946,"1,056",503,812,"2,488",72,474,"1,070","1,289","2,117",60
2021년12월_계_10~19세,"17,215",231,460,515,350,414,"1,534","1,306",782,"1,193","2,525",91,672,"1,913","1,914","3,190",125
2021년12월_계_20~29세,"32,019",473,"1,044","1,204",756,811,"2,646","2,165","1,475","5,882","3,225",215,"1,016","4,398","2,430","4,206",73
2021년12월_계_30~39세,"24,174",416,918,"1,097",726,778,"1,976","1,874","1,390","2,007","3,460",201,912,"2,880","2,184","3,281",74
2021년12월_계_40~49세,"31,261",696,"1,087","1,304",916,"1,044","2,643","2,251","1,723","2,167","4,699",228,"1,155","3,429","2,994","4,769",156
2021년12월_계_50~59세,"39,018","1,004","1,769","2,163","1,493","1,384","3,059","2,706","2,194","2,201","3,727",459,"1,724","5,412","3,569","5,994",160
2021년12월_계_60~69세,"39,694","1,271","2,168","2,527","1,935","1,756","2,878","2,541","2,621","2,015","3,436",556,"1,934","5,320","3,054","5,460",222
2021년12월_계_70~79세,"21,942",757,"1,065","1,484","1,046","1,216","1,525","1,189","1,552","1,187","2,059",315,"1,227","2,980","1,520","2,702",118
2021년12월_계_80~89세,"9,406",349,390,566,379,511,676,612,542,519,930,172,550,"1,306",664,"1,192",48
2021년12월_계_90~99세,"1,201",30,38,53,37,57,98,88,56,69,152,20,68,153,76,197,9
2021년12월_계_100세 이상,30,0,1,0,2,0,2,1,1,1,5,2,1,6,1,6,1
2021년12월_남_총인구수,"111,513","2,747","4,600","5,607","4,154","3,968","8,579","7,605","6,182","9,415","12,886","1,249","4,762","14,072","9,357","15,829",501
2021년12월_남_연령구간인구수,"111,513","2,747","4,600","5,607","4,154","3,968","8,579","7,605","6,182","9,415","12,886","1,249","4,762","14,072","9,357","15,829",501
2021년12월_남_0~9세,"6,205",48,140,164,139,151,501,546,252,378,"1,301",45,250,554,660,"1,050",26
2021년12월_남_10~19세,"8,876",131,232,253,179,204,783,656,440,602,"1,402",54,350,967,928,"1,627",68
2021년12월_남_20~29세,"17,291",263,563,676,421,437,"1,343","1,118",782,"3,453","1,664",117,584,"2,359","1,264","2,205",42
2021년12월_남_30~39세,"12,685",267,493,626,420,435,"1,001",984,743,"1,146","1,664",122,476,"1,564","1,082","1,629",33
2021년12월_남_40~49세,"15,550",419,591,718,547,581,"1,244","1,071",892,"1,118","2,316",130,550,"1,704","1,409","2,186",74
2021년12월_남_50~59세,"18,643",538,896,"1,081",781,678,"1,433","1,286","1,019","1,071","1,733",244,820,"2,562","1,638","2,779",84
2021년12월_남_60~69세,"18,522",607,"1,034","1,207",988,786,"1,325","1,158","1,152",910,"1,524",314,882,"2,505","1,435","2,587",108
2021년12월_남_70~79세,"10,001",344,506,656,530,512,680,552,692,514,912,150,597,"1,325",705,"1,271",55
2021년12월_남_80~89세,"3,468",127,137,218,143,169,241,214,201,209,350,67,226,497,219,441,9
2021년12월_남_90~99세,270,3,8,8,6,15,28,20,9,14,20,6,27,34,17,53,2
2021년12월_남_100세 이상,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2021년12월_여_총인구수,"116,536","2,568","4,618","5,624","3,731","4,276","9,404","8,184","6,657","8,638","13,820","1,082","4,971","14,795","10,338","17,285",545
2021년12월_여_연령구간인구수,"116,536","2,568","4,618","5,624","3,731","4,276","9,404","8,184","6,657","8,638","13,820","1,082","4,971","14,795","10,338","17,285",545
2021년12월_여_0~9세,"5,884",40,138,154,106,122,445,510,251,434,"1,187",27,224,516,629,"1,067",34
2021년12월_여_10~19세,"8,339",100,228,262,171,210,751,650,342,591,"1,123",37,322,946,986,"1,563",57
2021년12월_여_20~29세,"14,728",210,481,528,335,374,"1,303","1,047",693,"2,429","1,561",98,432,"2,039","1,166","2,001",31
2021년12월_여_30~39세,"11,489",149,425,471,306,343,975,890,647,861,"1,796",79,436,"1,316","1,102","1,652",41
2021년12월_여_40~49세,"15,711",277,496,586,369,463,"1,399","1,180",831,"1,049","2,383",98,605,"1,725","1,585","2,583",82
2021년12월_여_50~59세,"20,375",466,873,"1,082",712,706,"1,626","1,420","1,175","1,130","1,994",215,904,"2,850","1,931","3,215",76
2021년12월_여_60~69세,"21,172",664,"1,134","1,320",947,970,"1,553","1,383","1,469","1,105","1,912",242,"1,052","2,815","1,619","2,873",114
2021년12월_여_70~79세,"11,941",413,559,828,516,704,845,637,860,673,"1,147",165,630,"1,655",815,"1,431",63
2021년12월_여_80~89세,"5,938",222,253,348,236,342,435,398,341,310,580,105,324,809,445,751,39
2021년12월_여_90~99세,931,27,30,45,31,42,70,68,47,55,132,14,41,119,59,144,7
2021년12월_여_100세 이상,28,0,1,0,2,0,2,1,1,1,5,2,1,5,1,5,1
