카테고리,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2021년01월_계_총인구수,"69,245","22,738","7,847","4,914","7,050","4,511","4,243","3,059","4,035","1,865","3,225","2,886","2,222",383,267
2021년01월_계_연령구간인구수,"69,245","22,738","7,847","4,914","7,050","4,511","4,243","3,059","4,035","1,865","3,225","2,886","2,222",383,267
2021년01월_계_0~9세,"3,339","1,484",504,181,306,147,165,72,129,64,134,71,66,9,7
2021년01월_계_10~19세,"4,604","2,182",671,212,403,206,230,117,145,75,139,107,99,15,3
2021년01월_계_20~29세,"5,330","2,296",719,313,500,257,241,176,226,89,207,168,110,20,8
2021년01월_계_30~39세,"5,325","2,126",644,334,623,323,269,184,239,74,213,148,119,21,8
2021년01월_계_40~49세,"7,770","3,244","1,082",435,746,386,417,258,343,145,280,200,198,22,14
2021년01월_계_50~59세,"11,920","3,785","1,358",868,"1,335",779,722,519,633,334,549,531,385,75,47
2021년01월_계_60~69세,"14,361","3,675","1,417","1,232","1,645","1,175",985,773,941,446,681,650,558,100,83
2021년01월_계_70~79세,"10,057","2,474",867,781,954,765,708,608,796,371,595,606,404,66,62
2021년01월_계_80~89세,"5,684","1,287",496,467,449,400,432,326,527,239,378,359,247,48,29
2021년01월_계_90~99세,817,168,89,88,86,72,70,24,54,28,45,45,35,7,6
2021년01월_계_100세 이상,38,17,0,3,3,1,4,2,2,0,4,1,1,0,0
2021년01월_남_총인구수,"34,664","11,205","3,916","2,482","3,537","2,311","2,115","1,504","2,053",919,"1,623","1,491","1,167",197,144
2021년01월_남_연령구간인구수,"34,664","11,205","3,916","2,482","3,537","2,311","2,115","1,504","2,053",919,"1,623","1,491","1,167",197,144
2021년01월_남_0~9세,"1,763",800,252,84,157,68,87,44,70,35,72,41,43,6,4
2021년01월_남_10~19세,"2,364","1,088",344,111,207,123,124,60,77,35,68,55,62,9,1
2021년01월_남_20~29세,"3,040","1,279",412,182,294,146,137,101,144,49,113,106,63,10,4
2021년01월_남_30~39세,"2,795","1,098",318,174,314,189,148,97,123,36,127,80,75,11,5
2021년01월_남_40~49세,"4,225","1,639",559,254,418,233,236,146,204,79,178,132,121,15,11
2021년01월_남_50~59세,"6,119","1,904",701,443,668,372,377,250,342,189,305,290,207,44,27
2021년01월_남_60~69세,"7,162","1,781",695,627,815,613,494,380,487,222,321,336,298,47,46
2021년01월_남_70~79세,"4,734","1,094",420,403,463,373,322,289,373,169,289,286,185,37,31
2021년01월_남_80~89세,"2,253",475,194,183,182,174,173,127,225,101,136,150,104,15,14
2021년01월_남_90~99세,199,42,21,20,17,20,16,9,8,4,14,15,9,3,1
2021년01월_남_100세 이상,10,5,0,1,2,0,1,1,0,0,0,0,0,0,0
2021년01월_여_총인구수,"34,581","11,533","3,931","2,432","3,513","2,200","2,128","1,555","1,982",946,"1,602","1,395","1,055",186,123
2021년01월_여_연령구간인구수,"34,581","11,533","3,931","2,432","3,513","2,200","2,128","1,555","1,982",946,"1,602","1,395","1,055",186,123
2021년01월_여_0~9세,"1,576",684,252,97,149,79,78,28,59,29,62,30,23,3,3
2021년01월_여_10~19세,"2,240","1,094",327,101,196,83,106,57,68,40,71,52,37,6,2
2021년01월_여_20~29세,"2,290","1,017",307,131,206,111,104,75,82,40,94,62,47,10,4
2021년01월_여_30~39세,"2,530","1,028",326,160,309,134,121,87,116,38,86,68,44,10,3
2021년01월_여_40~49세,"3,545","1,605",523,181,328,153,181,112,139,66,102,68,77,7,3
2021년01월_여_50~59세,"5,801","1,881",657,425,667,407,345,269,291,145,244,241,178,31,20
2021년01월_여_60~69세,"7,199","1,894",722,605,830,562,491,393,454,224,360,314,260,53,37
2021년01월_여_70~79세,"5,323","1,380",447,378,491,392,386,319,423,202,306,320,219,29,31
2021년01월_여_80~89세,"3,431",812,302,284,267,226,259,199,302,138,242,209,143,33,15
2021년01월_여_90~99세,618,126,68,68,69,52,54,15,46,24,31,30,26,4,5
2021년01월_여_100세 이상,28,12,0,2,1,1,3,1,2,0,4,1,1,0,0
