카테고리,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2021년04월_계_총인구수,"150,701","48,566","2,181","3,058","4,810","2,832","2,795","1,799","1,580","57,455","11,925","11,929","1,771"
2021년04월_계_연령구간인구수,"150,701","48,566","2,181","3,058","4,810","2,832","2,795","1,799","1,580","57,455","11,925","11,929","1,771"
2021년04월_계_0~9세,"13,049","4,327",66,77,247,64,74,40,30,"6,329",886,856,53
2021년04월_계_10~19세,"15,800","5,081",129,136,277,126,82,88,54,"7,247","1,143","1,308",129
2021년04월_계_20~29세,"19,885","6,068",209,259,609,205,193,117,125,"8,204","1,586","2,128",182
2021년04월_계_30~39세,"18,179","5,831",140,148,473,166,154,96,114,"8,403","1,231","1,296",127
2021년04월_계_40~49세,"23,507","7,927",207,269,536,213,253,160,158,"10,406","1,853","1,332",193
2021년04월_계_50~59세,"29,108","8,472",438,643,"1,066",541,489,335,293,"10,906","2,719","2,820",386
2021년04월_계_60~69세,"17,417","6,034",409,621,752,577,598,418,303,"4,023","1,646","1,698",338
2021년04월_계_70~79세,"8,251","2,970",303,487,479,512,536,302,270,"1,262",576,352,202
2021년04월_계_80~89세,"4,707","1,580",231,358,318,363,342,211,196,600,252,114,142
2021년04월_계_90~99세,781,271,48,58,53,63,71,31,37,74,33,23,19
2021년04월_계_100세 이상,17,5,1,2,0,2,3,1,0,1,0,2,0
2021년04월_남_총인구수,"78,627","24,848","1,137","1,506","2,470","1,417","1,380",904,871,"30,260","6,328","6,519",987
2021년04월_남_연령구간인구수,"78,627","24,848","1,137","1,506","2,470","1,417","1,380",904,871,"30,260","6,328","6,519",987
2021년04월_남_0~9세,"6,626","2,195",44,34,130,26,31,18,13,"3,216",456,435,28
2021년04월_남_10~19세,"8,173","2,656",77,66,140,78,45,44,34,"3,715",579,666,73
2021년04월_남_20~29세,"11,583","3,341",128,158,358,127,121,77,74,"4,725",940,"1,410",124
2021년04월_남_30~39세,"9,765","2,990",80,78,264,94,91,54,69,"4,506",691,758,90
2021년04월_남_40~49세,"12,091","4,157",124,141,273,128,157,107,112,"5,209",986,564,133
2021년04월_남_50~59세,"15,905","4,509",252,371,572,314,292,185,198,"5,968","1,493","1,527",224
2021년04월_남_60~69세,"9,168","3,128",216,328,390,295,292,222,168,"2,172",853,919,185
2021년04월_남_70~79세,"3,689","1,324",128,208,218,222,229,116,127,557,264,207,89
2021년04월_남_80~89세,"1,491",497,74,110,118,122,115,75,70,181,62,28,39
2021년04월_남_90~99세,134,51,13,11,7,11,7,6,6,11,4,5,2
2021년04월_남_100세 이상,2,0,1,1,0,0,0,0,0,0,0,0,0
2021년04월_여_총인구수,"72,074","23,718","1,044","1,552","2,340","1,415","1,415",895,709,"27,195","5,597","5,410",784
2021년04월_여_연령구간인구수,"72,074","23,718","1,044","1,552","2,340","1,415","1,415",895,709,"27,195","5,597","5,410",784
2021년04월_여_0~9세,"6,423","2,132",22,43,117,38,43,22,17,"3,113",430,421,25
2021년04월_여_10~19세,"7,627","2,425",52,70,137,48,37,44,20,"3,532",564,642,56
2021년04월_여_20~29세,"8,302","2,727",81,101,251,78,72,40,51,"3,479",646,718,58
2021년04월_여_30~39세,"8,414","2,841",60,70,209,72,63,42,45,"3,897",540,538,37
2021년04월_여_40~49세,"11,416","3,770",83,128,263,85,96,53,46,"5,197",867,768,60
2021년04월_여_50~59세,"13,203","3,963",186,272,494,227,197,150,95,"4,938","1,226","1,293",162
2021년04월_여_60~69세,"8,249","2,906",193,293,362,282,306,196,135,"1,851",793,779,153
2021년04월_여_70~79세,"4,562","1,646",175,279,261,290,307,186,143,705,312,145,113
2021년04월_여_80~89세,"3,216","1,083",157,248,200,241,227,136,126,419,190,86,103
2021년04월_여_90~99세,647,220,35,47,46,52,64,25,31,63,29,18,17
2021년04월_여_100세 이상,15,5,0,1,0,2,3,1,0,1,0,2,0
