,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2020년06월_계_총인구수,"283,256","7,748","6,606","45,810","16,399","19,549","25,565","29,998","2,873","9,412","19,119","4,066","3,726","44,050","48,335"
2020년06월_계_연령구간인구수,"283,256","7,748","6,606","45,810","16,399","19,549","25,565","29,998","2,873","9,412","19,119","4,066","3,726","44,050","48,335"
2020년06월_계_0~9세,"30,221",367,321,"3,955",993,"1,141","2,196","4,693",104,"1,509","2,566",137,176,"4,955","7,108"
2020년06월_계_10~19세,"24,348",432,419,"3,986","1,154","1,265","2,593","2,844",158,739,"1,800",206,197,"3,582","4,973"
2020년06월_계_20~29세,"34,097",983,977,"5,254","2,255","2,599","3,066","3,266",332,972,"2,214",481,474,"7,088","4,136"
2020년06월_계_30~39세,"48,582","1,008","1,018","6,854","2,310","2,963","3,412","5,758",397,"2,154","3,380",440,450,"10,112","8,326"
2020년06월_계_40~49세,"49,539","1,046",903,"7,321","2,345","2,604","4,443","5,735",382,"1,579","3,652",572,484,"8,190","10,283"
2020년06월_계_50~59세,"41,098","1,494","1,249","7,217","3,004","3,597","4,133","3,786",577,"1,103","2,872",795,782,"4,666","5,823"
2020년06월_계_60~69세,"33,315","1,478",982,"6,548","2,614","3,269","3,313","2,462",525,826,"1,845",787,709,"3,319","4,638"
2020년06월_계_70~79세,"15,499",621,501,"3,377","1,230","1,475","1,688",933,259,354,592,407,302,"1,530","2,230"
2020년06월_계_80~89세,"5,471",265,204,"1,107",420,527,612,389,114,146,160,204,138,509,676
2020년06월_계_90~99세,965,46,26,175,61,100,100,106,18,24,35,29,12,97,136
2020년06월_계_100세 이상,121,8,6,16,13,9,9,26,7,6,3,8,2,2,6
2020년06월_남_총인구수,"142,312","4,246","3,403","22,644","8,286","9,844","12,727","14,894","1,588","4,744","9,320","2,287","2,127","22,361","23,841"
2020년06월_남_연령구간인구수,"142,312","4,246","3,403","22,644","8,286","9,844","12,727","14,894","1,588","4,744","9,320","2,287","2,127","22,361","23,841"
2020년06월_남_0~9세,"15,438",182,160,"1,975",512,603,"1,165","2,365",56,773,"1,265",71,93,"2,572","3,646"
2020년06월_남_10~19세,"12,435",230,222,"2,072",623,628,"1,343","1,444",83,391,873,110,99,"1,794","2,523"
2020년06월_남_20~29세,"17,509",565,527,"2,727","1,209","1,422","1,648","1,655",195,483,"1,097",267,276,"3,347","2,091"
2020년06월_남_30~39세,"24,506",600,596,"3,496","1,249","1,606","1,757","2,673",242,"1,060","1,496",279,279,"5,360","3,813"
2020년06월_남_40~49세,"26,047",620,490,"3,687","1,223","1,354","2,201","3,021",226,849,"1,883",356,306,"4,432","5,399"
2020년06월_남_50~59세,"20,325",836,643,"3,418","1,425","1,756","1,984","1,857",313,541,"1,374",482,455,"2,394","2,847"
2020년06월_남_60~69세,"16,159",800,469,"3,129","1,244","1,593","1,574","1,207",292,404,949,431,402,"1,489","2,176"
2020년06월_남_70~79세,"7,729",308,218,"1,653",620,705,803,503,128,191,324,197,161,792,"1,126"
2020년06월_남_80~89세,"1,920",91,72,439,163,162,224,138,44,42,50,88,54,161,192
2020년06월_남_90~99세,210,12,4,42,15,12,27,21,7,9,9,4,2,20,26
2020년06월_남_100세 이상,34,2,2,6,3,3,1,10,2,1,0,2,0,0,2
2020년06월_여_총인구수,"140,944","3,502","3,203","23,166","8,113","9,705","12,838","15,104","1,285","4,668","9,799","1,779","1,599","21,689","24,494"
2020년06월_여_연령구간인구수,"140,944","3,502","3,203","23,166","8,113","9,705","12,838","15,104","1,285","4,668","9,799","1,779","1,599","21,689","24,494"
2020년06월_여_0~9세,"14,783",185,161,"1,980",481,538,"1,031","2,328",48,736,"1,301",66,83,"2,383","3,462"
2020년06월_여_10~19세,"11,913",202,197,"1,914",531,637,"1,250","1,400",75,348,927,96,98,"1,788","2,450"
2020년06월_여_20~29세,"16,588",418,450,"2,527","1,046","1,177","1,418","1,611",137,489,"1,117",214,198,"3,741","2,045"
2020년06월_여_30~39세,"24,076",408,422,"3,358","1,061","1,357","1,655","3,085",155,"1,094","1,884",161,171,"4,752","4,513"
2020년06월_여_40~49세,"23,492",426,413,"3,634","1,122","1,250","2,242","2,714",156,730,"1,769",216,178,"3,758","4,884"
2020년06월_여_50~59세,"20,773",658,606,"3,799","1,579","1,841","2,149","1,929",264,562,"1,498",313,327,"2,272","2,976"
2020년06월_여_60~69세,"17,156",678,513,"3,419","1,370","1,676","1,739","1,255",233,422,896,356,307,"1,830","2,462"
2020년06월_여_70~79세,"7,770",313,283,"1,724",610,770,885,430,131,163,268,210,141,738,"1,104"
2020년06월_여_80~89세,"3,551",174,132,668,257,365,388,251,70,104,110,116,84,348,484
2020년06월_여_90~99세,755,34,22,133,46,88,73,85,11,15,26,25,10,77,110
2020년06월_여_100세 이상,87,6,4,10,10,6,8,16,5,5,3,6,2,2,4
