,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2020년06월_계_총인구수,"224,300","5,060","25,960","12,482","12,736","8,826","16,885","15,416","10,673","14,062","18,810","20,935","12,535","11,181","14,777","2,551","21,411"
2020년06월_계_연령구간인구수,"224,300","5,060","25,960","12,482","12,736","8,826","16,885","15,416","10,673","14,062","18,810","20,935","12,535","11,181","14,777","2,551","21,411"
2020년06월_계_0~9세,"15,620",116,"2,775",951,893,311,996,"1,514",399,830,"1,044","1,197",944,615,886,81,"2,068"
2020년06월_계_10~19세,"20,396",152,"3,391",928,"1,013",401,"1,557","1,438",906,"1,178","1,868","1,575",961,843,"1,324",151,"2,710"
2020년06월_계_20~29세,"30,402",387,"2,681","1,454","1,564",872,"2,730","1,844","2,613","2,027","3,001","3,941","1,447","1,915","1,593",202,"2,131"
2020년06월_계_30~39세,"26,508",423,"3,272","1,728","1,580",777,"1,750","2,187","1,095","1,485","2,027","3,152","1,578","1,363","1,512",163,"2,416"
2020년06월_계_40~49세,"34,293",562,"4,943","1,851","1,764","1,019","2,548","2,357","1,283","2,067","2,843","3,201","1,841","1,640","2,229",291,"3,854"
2020년06월_계_50~59세,"37,104","1,060","3,683","1,974","2,243","1,601","3,001","2,436","1,577","2,434","3,299","3,436","2,169","1,936","2,617",486,"3,152"
2020년06월_계_60~69세,"31,766","1,158","2,876","1,824","1,885","1,848","2,402","1,898","1,486","2,151","2,635","2,558","1,900","1,593","2,352",546,"2,654"
2020년06월_계_70~79세,"18,864",807,"1,612","1,199","1,161","1,258","1,270","1,150",912,"1,278","1,439","1,323","1,143",860,"1,520",342,"1,590"
2020년06월_계_80~89세,"8,150",337,629,485,563,655,548,508,358,543,586,477,469,364,653,253,722
2020년06월_계_90~99세,"1,103",48,91,75,67,82,77,73,39,62,68,72,74,49,85,33,108
2020년06월_계_100세 이상,94,10,7,13,3,2,6,11,5,7,0,3,9,3,6,3,6
2020년06월_남_총인구수,"113,088","2,833","12,740","6,182","6,206","4,310","8,536","7,706","5,590","7,252","9,396","10,779","6,217","5,721","7,511","1,341","10,768"
2020년06월_남_연령구간인구수,"113,088","2,833","12,740","6,182","6,206","4,310","8,536","7,706","5,590","7,252","9,396","10,779","6,217","5,721","7,511","1,341","10,768"
2020년06월_남_0~9세,"8,031",55,"1,367",487,479,151,517,807,212,421,535,624,497,336,416,41,"1,086"
2020년06월_남_10~19세,"10,538",80,"1,784",495,528,210,771,748,437,580,963,796,491,435,715,79,"1,426"
2020년06월_남_20~29세,"16,177",220,"1,410",744,814,514,"1,472",971,"1,420","1,132","1,563","2,029",757,"1,003",865,118,"1,145"
2020년06월_남_30~39세,"14,253",257,"1,571",926,840,450,957,"1,133",666,804,"1,135","1,803",833,766,809,105,"1,198"
2020년06월_남_40~49세,"18,033",367,"2,497",994,870,572,"1,313","1,188",753,"1,157","1,415","1,712",974,898,"1,196",161,"1,966"
2020년06월_남_50~59세,"18,972",680,"1,812",950,"1,072",798,"1,532","1,223",800,"1,277","1,663","1,790","1,077",986,"1,374",285,"1,653"
2020년06월_남_60~69세,"15,397",647,"1,351",808,896,898,"1,164",925,734,"1,079","1,256","1,230",900,787,"1,137",297,"1,288"
2020년06월_남_70~79세,"8,450",386,712,561,493,495,582,507,426,577,638,592,501,371,715,165,729
2020년06월_남_80~89세,"2,940",123,219,197,190,202,202,180,132,210,216,183,166,135,258,79,248
2020년06월_남_90~99세,270,12,16,16,23,20,23,21,10,14,12,20,18,3,24,10,28
2020년06월_남_100세 이상,27,6,1,4,1,0,3,3,0,1,0,0,3,1,2,1,1
2020년06월_여_총인구수,"111,212","2,227","13,220","6,300","6,530","4,516","8,349","7,710","5,083","6,810","9,414","10,156","6,318","5,460","7,266","1,210","10,643"
2020년06월_여_연령구간인구수,"111,212","2,227","13,220","6,300","6,530","4,516","8,349","7,710","5,083","6,810","9,414","10,156","6,318","5,460","7,266","1,210","10,643"
2020년06월_여_0~9세,"7,589",61,"1,408",464,414,160,479,707,187,409,509,573,447,279,470,40,982
2020년06월_여_10~19세,"9,858",72,"1,607",433,485,191,786,690,469,598,905,779,470,408,609,72,"1,284"
2020년06월_여_20~29세,"14,225",167,"1,271",710,750,358,"1,258",873,"1,193",895,"1,438","1,912",690,912,728,84,986
2020년06월_여_30~39세,"12,255",166,"1,701",802,740,327,793,"1,054",429,681,892,"1,349",745,597,703,58,"1,218"
2020년06월_여_40~49세,"16,260",195,"2,446",857,894,447,"1,235","1,169",530,910,"1,428","1,489",867,742,"1,033",130,"1,888"
2020년06월_여_50~59세,"18,132",380,"1,871","1,024","1,171",803,"1,469","1,213",777,"1,157","1,636","1,646","1,092",950,"1,243",201,"1,499"
2020년06월_여_60~69세,"16,369",511,"1,525","1,016",989,950,"1,238",973,752,"1,072","1,379","1,328","1,000",806,"1,215",249,"1,366"
2020년06월_여_70~79세,"10,414",421,900,638,668,763,688,643,486,701,801,731,642,489,805,177,861
2020년06월_여_80~89세,"5,210",214,410,288,373,453,346,328,226,333,370,294,303,229,395,174,474
2020년06월_여_90~99세,833,36,75,59,44,62,54,52,29,48,56,52,56,46,61,23,80
2020년06월_여_100세 이상,67,4,6,9,2,2,3,8,5,6,0,3,6,2,4,2,5
