,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2021년01월_계_총인구수,"280,497","2,695","8,597","1,931","20,457","6,292","6,542","2,834","1,335",823,"2,047","4,759","3,200","4,437","4,045","6,179","3,831","5,463","11,584","6,982","18,897","21,406","11,837","10,329","10,511","32,688","37,448","21,559","8,183","2,426","1,180"
2021년01월_계_연령구간인구수,"280,497","2,695","8,597","1,931","20,457","6,292","6,542","2,834","1,335",823,"2,047","4,759","3,200","4,437","4,045","6,179","3,831","5,463","11,584","6,982","18,897","21,406","11,837","10,329","10,511","32,688","37,448","21,559","8,183","2,426","1,180"
2021년01월_계_0~9세,"20,796",53,581,32,"2,076",262,136,63,13,21,56,240,112,148,106,232,150,169,719,450,"1,213","1,831",660,765,"1,047","2,711","4,654","1,222",985,66,23
2021년01월_계_10~19세,"26,391",92,650,78,"2,053",312,299,136,36,39,80,286,201,296,232,294,251,266,904,634,"1,891","2,306","1,077","1,204",933,"3,920","4,541","2,062","1,127",127,64
2021년01월_계_20~29세,"33,792",191,740,140,"2,225",470,576,142,57,54,153,476,376,413,350,676,426,456,"1,258",736,"2,534","2,693","1,782","1,418","1,074","5,138","4,635","3,363",873,256,111
2021년01월_계_30~39세,"30,945",122,813,85,"2,577",434,373,120,58,28,132,465,314,351,287,571,298,437,"1,124",695,"1,977","2,565","1,242","1,152","1,380","3,990","5,679","2,279","1,153",180,64
2021년01월_계_40~49세,"41,902",239,"1,279",151,"3,199",733,616,247,93,86,215,576,343,560,483,757,442,621,"1,580",936,"2,766","3,516","1,788","1,711","1,578","5,503","6,525","3,310","1,653",273,123
2021년01월_계_50~59세,"48,531",460,"1,401",316,"3,512","1,038","1,228",450,184,135,456,706,471,722,665,"1,036",609,913,"2,082","1,148","3,416","3,502","2,229","1,870","1,560","5,953","6,131","4,551","1,072",479,236
2021년01월_계_60~69세,"41,052",620,"1,605",458,"2,570","1,249","1,400",657,309,166,476,978,609,969,850,"1,274",803,"1,229","2,106","1,352","3,038","2,820","1,701","1,387","1,540","3,348","3,348","2,802",701,466,221
2021년01월_계_70~79세,"24,634",569,997,384,"1,399","1,067","1,129",607,333,175,293,750,542,713,763,959,563,973,"1,319",770,"1,365","1,475",919,603,975,"1,466","1,276","1,278",441,341,190
2021년01월_계_80~89세,"10,712",302,465,243,748,615,651,359,205,100,153,238,208,234,274,332,247,346,438,226,615,590,385,186,365,554,555,600,156,199,123
2021년01월_계_90~99세,"1,635",46,64,42,93,108,129,51,45,18,29,37,23,24,30,42,40,46,46,31,80,108,53,32,52,99,102,91,20,29,25
2021년01월_계_100세 이상,107,1,2,2,5,4,5,2,2,1,4,7,1,7,5,6,2,7,8,4,2,0,1,1,7,6,2,1,2,10,0
2021년01월_남_총인구수,"143,083","1,354","4,479",949,"10,418","3,264","3,383","1,457",654,409,"1,153","2,404","1,602","2,218","2,087","3,207","1,893","2,787","5,853","3,491","9,313","10,771","6,337","5,216","5,284","16,803","18,795","11,366","4,204","1,318",614
2021년01월_남_연령구간인구수,"143,083","1,354","4,479",949,"10,418","3,264","3,383","1,457",654,409,"1,153","2,404","1,602","2,218","2,087","3,207","1,893","2,787","5,853","3,491","9,313","10,771","6,337","5,216","5,284","16,803","18,795","11,366","4,204","1,318",614
2021년01월_남_0~9세,"10,546",25,304,16,"1,091",139,74,34,7,11,28,114,48,71,60,139,63,78,358,226,592,953,336,384,526,"1,369","2,361",612,486,33,8
2021년01월_남_10~19세,"13,711",45,336,41,"1,042",172,168,77,17,18,46,152,106,160,118,170,119,128,478,314,984,"1,157",579,640,484,"2,035","2,385","1,036",606,69,29
2021년01월_남_20~29세,"19,169",109,436,80,"1,263",281,333,90,28,31,94,269,196,243,208,379,237,263,715,414,"1,417","1,489","1,064",765,594,"3,009","2,460","1,992",472,172,66
2021년01월_남_30~39세,"16,611",77,431,49,"1,300",250,226,79,38,12,80,262,192,197,178,344,170,236,639,352,"1,036","1,354",735,628,716,"2,093","2,805","1,385",588,115,44
2021년01월_남_40~49세,"22,127",162,760,98,"1,688",497,390,164,68,53,155,340,199,322,306,451,254,400,877,495,"1,375","1,744",976,824,847,"2,661","3,179","1,724",858,171,89
2021년01월_남_50~59세,"25,437",252,773,164,"1,817",596,717,282,102,91,272,371,255,379,370,544,309,521,"1,004",564,"1,622","1,798","1,227",929,775,"3,096","3,150","2,404",619,287,147
2021년01월_남_60~69세,"20,357",316,795,239,"1,329",634,764,339,178,80,268,450,273,425,394,592,359,553,987,664,"1,463","1,419",906,692,736,"1,667","1,692","1,448",331,246,118
2021년01월_남_70~79세,"11,228",248,450,175,624,476,496,264,151,78,152,356,241,320,345,454,277,459,622,365,592,655,398,286,474,701,580,574,191,155,69
2021년01월_남_80~89세,"3,589",111,179,76,243,203,187,117,58,31,53,78,86,91,100,124,100,138,169,90,221,188,108,65,126,160,165,172,49,61,40
2021년01월_남_90~99세,291,9,15,11,20,14,28,10,7,4,4,8,6,10,7,9,5,11,4,6,11,14,8,3,6,12,17,19,2,7,4
2021년01월_남_100세 이상,17,0,0,0,1,2,0,1,0,0,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2021년01월_여_총인구수,"137,414","1,341","4,118",982,"10,039","3,028","3,159","1,377",681,414,894,"2,355","1,598","2,219","1,958","2,972","1,938","2,676","5,731","3,491","9,584","10,635","5,500","5,113","5,227","15,885","18,653","10,193","3,979","1,108",566
2021년01월_여_연령구간인구수,"137,414","1,341","4,118",982,"10,039","3,028","3,159","1,377",681,414,894,"2,355","1,598","2,219","1,958","2,972","1,938","2,676","5,731","3,491","9,584","10,635","5,500","5,113","5,227","15,885","18,653","10,193","3,979","1,108",566
2021년01월_여_0~9세,"10,250",28,277,16,985,123,62,29,6,10,28,126,64,77,46,93,87,91,361,224,621,878,324,381,521,"1,342","2,293",610,499,33,15
2021년01월_여_10~19세,"12,680",47,314,37,"1,011",140,131,59,19,21,34,134,95,136,114,124,132,138,426,320,907,"1,149",498,564,449,"1,885","2,156","1,026",521,58,35
