카테고리,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2021년05월_계_총인구수,"43,242","7,232","18,555","8,790","8,665"
2021년05월_계_연령구간인구수,"43,242","7,232","18,555","8,790","8,665"
2021년05월_계_0~9세,"3,901",615,"1,219","1,336",731
2021년05월_계_10~19세,"6,279",915,"2,341","1,948","1,075"
2021년05월_계_20~29세,"4,895",760,"2,342",805,988
2021년05월_계_30~39세,"4,659",697,"1,730","1,345",887
2021년05월_계_40~49세,"8,370","1,198","3,150","2,486","1,536"
2021년05월_계_50~59세,"7,052","1,329","3,509",707,"1,507"
2021년05월_계_60~69세,"4,686","1,048","2,320",85,"1,233"
2021년05월_계_70~79세,"2,080",434,"1,118",56,472
2021년05월_계_80~89세,"1,125",188,714,20,203
2021년05월_계_90~99세,192,47,110,2,33
2021년05월_계_100세 이상,3,1,2,0,0
2021년05월_남_총인구수,"21,542","3,550","9,068","4,576","4,348"
2021년05월_남_연령구간인구수,"21,542","3,550","9,068","4,576","4,348"
2021년05월_남_0~9세,"1,966",318,622,662,364
2021년05월_남_10~19세,"3,305",460,"1,252","1,022",571
2021년05월_남_20~29세,"2,722",405,"1,262",476,579
2021년05월_남_30~39세,"2,329",330,885,672,442
2021년05월_남_40~49세,"4,065",567,"1,500","1,277",721
2021년05월_남_50~59세,"3,543",666,"1,710",426,741
2021년05월_남_60~69세,"2,266",525,"1,119",20,602
2021년05월_남_70~79세,938,210,474,14,240
2021년05월_남_80~89세,366,63,219,6,78
2021년05월_남_90~99세,42,6,25,1,10
2021년05월_남_100세 이상,0,0,0,0,0
2021년05월_여_총인구수,"21,700","3,682","9,487","4,214","4,317"
2021년05월_여_연령구간인구수,"21,700","3,682","9,487","4,214","4,317"
2021년05월_여_0~9세,"1,935",297,597,674,367
2021년05월_여_10~19세,"2,974",455,"1,089",926,504
2021년05월_여_20~29세,"2,173",355,"1,080",329,409
2021년05월_여_30~39세,"2,330",367,845,673,445
2021년05월_여_40~49세,"4,305",631,"1,650","1,209",815
2021년05월_여_50~59세,"3,509",663,"1,799",281,766
2021년05월_여_60~69세,"2,420",523,"1,201",65,631
2021년05월_여_70~79세,"1,142",224,644,42,232
2021년05월_여_80~89세,759,125,495,14,125
2021년05월_여_90~99세,150,41,85,1,23
2021년05월_여_100세 이상,3,1,2,0,0
