카테고리,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2021년10월_계_총인구수,"131,902","6,697","1,903","1,270","2,004","2,152",707,"3,331","4,625","18,576","9,946","5,764","4,939","10,159","17,922","11,156","15,496","15,255"
2021년10월_계_연령구간인구수,"131,902","6,697","1,903","1,270","2,004","2,152",707,"3,331","4,625","18,576","9,946","5,764","4,939","10,159","17,922","11,156","15,496","15,255"
2021년10월_계_0~9세,"8,245",233,40,22,36,65,18,79,100,"1,497",773,238,192,768,"1,279",670,636,"1,599"
2021년10월_계_10~19세,"11,372",334,90,44,61,187,37,135,198,"2,247","1,084",374,297,884,"1,770","1,153","1,079","1,398"
2021년10월_계_20~29세,"14,415",459,104,66,69,67,32,164,340,"2,266","1,257",650,575,"1,027","2,624","1,359","1,836","1,520"
2021년10월_계_30~39세,"12,458",384,98,62,73,80,35,135,240,"1,871",986,451,406,"1,083","2,122",995,"1,388","2,049"
2021년10월_계_40~49세,"17,743",661,134,74,130,161,66,225,375,"3,152","1,592",714,524,"1,416","2,647","1,684","1,845","2,343"
2021년10월_계_50~59세,"23,512","1,268",350,247,380,351,142,603,855,"3,468","1,791",980,904,"1,749","3,111","2,152","2,810","2,351"
2021년10월_계_60~69세,"24,274","1,793",559,382,618,602,196,"1,048","1,307","2,429","1,445","1,244","1,127","1,702","2,562","1,713","3,383","2,164"
2021년10월_계_70~79세,"12,320",923,271,208,380,385,93,527,700,"1,076",622,735,627,957,"1,091",904,"1,685","1,136"
2021년10월_계_80~89세,"6,668",563,217,152,232,216,73,370,438,513,338,335,265,498,642,462,734,620
2021년10월_계_90~99세,836,78,34,13,25,38,14,45,67,52,55,39,21,59,72,58,95,71
2021년10월_계_100세 이상,59,1,6,0,0,0,1,0,5,5,3,4,1,16,2,6,5,4
2021년10월_남_총인구수,"66,270","3,436","1,017",655,"1,048","1,097",360,"1,713","2,432","9,151","4,910","2,866","2,473","5,067","8,936","5,593","7,796","7,720"
2021년10월_남_연령구간인구수,"66,270","3,436","1,017",655,"1,048","1,097",360,"1,713","2,432","9,151","4,910","2,866","2,473","5,067","8,936","5,593","7,796","7,720"
2021년10월_남_0~9세,"4,236",127,27,15,19,40,7,46,48,770,420,109,95,400,643,342,318,810
2021년10월_남_10~19세,"5,877",170,55,21,33,100,20,75,114,"1,133",540,196,155,467,892,602,587,717
2021년10월_남_20~29세,"8,067",263,64,37,49,42,24,103,216,"1,221",684,344,338,565,"1,441",770,"1,055",851
2021년10월_남_30~39세,"6,580",216,61,43,50,41,20,74,160,932,490,255,234,540,"1,135",526,780,"1,023"
2021년10월_남_40~49세,"9,116",377,75,46,80,102,38,132,231,"1,495",781,370,280,762,"1,314",803,982,"1,248"
2021년10월_남_50~59세,"12,018",669,196,131,201,183,80,311,440,"1,742",891,512,460,882,"1,548","1,137","1,377","1,258"
2021년10월_남_60~69세,"12,149",943,315,202,333,319,102,559,699,"1,212",711,588,512,823,"1,317",859,"1,599","1,056"
2021년10월_남_70~79세,"5,601",447,138,100,194,188,39,266,338,457,266,340,291,418,437,379,801,502
2021년10월_남_80~89세,"2,423",207,76,57,83,76,25,137,164,180,114,141,102,188,194,160,279,240
2021년10월_남_90~99세,188,17,9,3,6,6,4,10,20,9,12,9,6,15,15,14,18,15
2021년10월_남_100세 이상,15,0,1,0,0,0,1,0,2,0,1,2,0,7,0,1,0,0
2021년10월_여_총인구수,"65,632","3,261",886,615,956,"1,055",347,"1,618","2,193","9,425","5,036","2,898","2,466","5,092","8,986","5,563","7,700","7,535"
2021년10월_여_연령구간인구수,"65,632","3,261",886,615,956,"1,055",347,"1,618","2,193","9,425","5,036","2,898","2,466","5,092","8,986","5,563","7,700","7,535"
2021년10월_여_0~9세,"4,009",106,13,7,17,25,11,33,52,727,353,129,97,368,636,328,318,789
2021년10월_여_10~19세,"5,495",164,35,23,28,87,17,60,84,"1,114",544,178,142,417,878,551,492,681
2021년10월_여_20~29세,"6,348",196,40,29,20,25,8,61,124,"1,045",573,306,237,462,"1,183",589,781,669
2021년10월_여_30~39세,"5,878",168,37,19,23,39,15,61,80,939,496,196,172,543,987,469,608,"1,026"
2021년10월_여_40~49세,"8,627",284,59,28,50,59,28,93,144,"1,657",811,344,244,654,"1,333",881,863,"1,095"
2021년10월_여_50~59세,"11,494",599,154,116,179,168,62,292,415,"1,726",900,468,444,867,"1,563","1,015","1,433","1,093"
2021년10월_여_60~69세,"12,125",850,244,180,285,283,94,489,608,"1,217",734,656,615,879,"1,245",854,"1,784","1,108"
2021년10월_여_70~79세,"6,719",476,133,108,186,197,54,261,362,619,356,395,336,539,654,525,884,634
2021년10월_여_80~89세,"4,245",356,141,95,149,140,48,233,274,333,224,194,163,310,448,302,455,380
2021년10월_여_90~99세,648,61,25,10,19,32,10,35,47,43,43,30,15,44,57,44,77,56
2021년10월_여_100세 이상,44,1,5,0,0,0,0,0,3,5,2,2,1,9,2,5,5,4
