,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2021년07월_계_총인구수,"225,977","17,054","9,579","7,355","19,568","16,000","13,849","10,157","12,009","21,756","27,308","8,396","6,499","9,070","20,572","13,114","13,691"
2021년07월_계_연령구간인구수,"225,977","17,054","9,579","7,355","19,568","16,000","13,849","10,157","12,009","21,756","27,308","8,396","6,499","9,070","20,572","13,114","13,691"
2021년07월_계_0~9세,"13,087",914,331,179,667,"1,276",886,755,732,"1,225","2,622",517,226,402,"1,145",772,438
2021년07월_계_10~19세,"15,077","1,194",504,252,"1,111",892,"1,203",722,768,986,"2,843",509,258,470,"1,159","1,457",749
2021년07월_계_20~29세,"33,488","2,496","1,507",935,"4,226","2,484","1,881","1,561","1,791","3,797","2,876",883,"1,087","1,409","2,658","1,758","2,139"
2021년07월_계_30~39세,"38,113","2,780","1,679","1,042","3,177","3,652","2,110","1,865","1,981","4,757","3,451","1,380","1,118","1,649","3,869","1,497","2,106"
2021년07월_계_40~49세,"34,558","2,659","1,302","1,045","2,645","2,618","2,203","1,543","1,771","2,864","4,729","1,229",839,"1,401","3,327","2,390","1,993"
2021년07월_계_50~59세,"36,430","2,769","1,403","1,581","3,085","2,208","2,274","1,596","1,974","3,426","4,551","1,347","1,041","1,264","3,205","2,266","2,440"
2021년07월_계_60~69세,"28,973","2,242","1,421","1,359","2,433","1,652","1,737","1,072","1,552","2,607","3,064","1,373",999,"1,180","2,789","1,490","2,003"
2021년07월_계_70~79세,"16,299","1,286",906,635,"1,452",802,977,650,967,"1,317","1,735",732,533,801,"1,546",777,"1,183"
2021년07월_계_80~89세,"8,483",600,447,274,679,357,515,339,408,664,"1,208",362,320,426,718,608,558
2021년07월_계_90~99세,"1,380",104,77,44,90,53,60,51,62,106,223,62,71,66,138,96,77
2021년07월_계_100세 이상,89,10,2,9,3,6,3,3,3,7,6,2,7,2,18,3,5
2021년07월_남_총인구수,"108,709","8,310","4,635","4,482","9,179","7,636","6,515","4,807","5,742","10,312","12,800","3,939","3,164","4,195","9,925","6,271","6,797"
2021년07월_남_연령구간인구수,"108,709","8,310","4,635","4,482","9,179","7,636","6,515","4,807","5,742","10,312","12,800","3,939","3,164","4,195","9,925","6,271","6,797"
2021년07월_남_0~9세,"6,726",476,172,90,337,635,433,391,362,643,"1,378",261,106,204,613,388,237
2021년07월_남_10~19세,"7,624",643,256,146,589,472,495,377,399,516,"1,435",243,129,217,557,727,423
2021년07월_남_20~29세,"15,775","1,264",793,434,"1,658","1,042",876,718,870,"1,581","1,408",445,569,698,"1,358",868,"1,193"
2021년07월_남_30~39세,"18,918","1,436",874,573,"1,710","1,739","1,054",912,970,"2,248","1,520",683,605,815,"1,874",736,"1,169"
2021년07월_남_40~49세,"17,012","1,298",673,658,"1,333","1,331","1,086",728,879,"1,402","2,124",615,421,671,"1,662","1,123","1,008"
2021년07월_남_50~59세,"17,989","1,360",663,"1,108","1,529","1,091","1,112",764,972,"1,654","2,193",634,499,572,"1,546","1,118","1,174"
2021년07월_남_60~69세,"13,936","1,055",632,953,"1,141",807,829,496,706,"1,333","1,478",612,472,499,"1,297",744,882
2021년07월_남_70~79세,"7,122",554,403,367,591,358,443,274,409,614,726,319,222,342,685,313,502
2021년07월_남_80~89세,"3,166",196,150,137,268,147,171,127,160,280,456,116,120,155,285,217,181
2021년07월_남_90~99세,414,26,17,12,22,13,16,19,14,39,80,11,20,22,40,36,27
2021년07월_남_100세 이상,27,2,2,4,1,1,0,1,1,2,2,0,1,0,8,1,1
2021년07월_여_총인구수,"117,268","8,744","4,944","2,873","10,389","8,364","7,334","5,350","6,267","11,444","14,508","4,457","3,335","4,875","10,647","6,843","6,894"
