카테고리,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2021년02월_계_총인구수,"68,589","24,848","2,919","3,227","2,808","6,126","2,815","2,017","3,011","2,153","2,415","4,845","3,777","4,027","3,601"
2021년02월_계_연령구간인구수,"68,589","24,848","2,919","3,227","2,808","6,126","2,815","2,017","3,011","2,153","2,415","4,845","3,777","4,027","3,601"
2021년02월_계_0~9세,"3,909","2,287",95,127,62,281,93,44,86,79,77,179,184,184,131
2021년02월_계_10~19세,"5,221","2,939",150,139,141,359,170,93,158,81,122,242,196,232,199
2021년02월_계_20~29세,"5,511","2,720",208,194,147,466,175,129,202,81,137,283,246,264,259
2021년02월_계_30~39세,"4,967","2,556",161,198,129,381,134,79,130,105,109,271,249,235,230
2021년02월_계_40~49세,"8,026","3,832",277,308,244,640,247,164,325,212,235,396,379,382,385
2021년02월_계_50~59세,"11,543","4,098",548,526,490,"1,087",462,333,506,301,422,852,615,696,607
2021년02월_계_60~69세,"12,469","3,288",601,673,637,"1,214",587,411,568,465,473,"1,168",748,859,777
2021년02월_계_70~79세,"9,993","2,021",525,638,556,996,575,424,558,414,465,838,695,718,570
2021년02월_계_80~89세,"6,055",958,301,388,350,631,332,298,402,353,319,551,404,392,376
2021년02월_계_90~99세,849,148,51,35,47,68,39,41,69,57,51,59,59,63,62
2021년02월_계_100세 이상,46,1,2,1,5,3,1,1,7,5,5,6,2,2,5
2021년02월_남_총인구수,"33,876","12,220","1,460","1,616","1,395","2,998","1,368",960,"1,496","1,000","1,222","2,384","1,902","2,008","1,847"
2021년02월_남_연령구간인구수,"33,876","12,220","1,460","1,616","1,395","2,998","1,368",960,"1,496","1,000","1,222","2,384","1,902","2,008","1,847"
2021년02월_남_0~9세,"1,962","1,141",43,70,34,134,42,26,47,33,46,83,92,102,69
2021년02월_남_10~19세,"2,690","1,491",85,71,78,180,90,46,84,43,70,133,97,125,97
2021년02월_남_20~29세,"3,114","1,478",109,100,90,294,103,73,106,54,85,184,134,165,139
2021년02월_남_30~39세,"2,614","1,262",96,126,83,213,65,43,73,49,58,152,137,115,142
2021년02월_남_40~49세,"4,504","1,870",166,201,148,380,151,108,195,134,159,238,265,229,260
2021년02월_남_50~59세,"6,388","2,153",302,309,276,567,254,195,300,163,266,485,353,394,371
2021년02월_남_60~69세,"6,211","1,583",318,323,338,580,291,206,297,230,237,569,405,429,405
2021년02월_남_70~79세,"4,354",915,224,291,233,442,256,159,242,172,195,364,295,327,239
2021년02월_남_80~89세,"1,877",295,105,116,110,200,102,99,141,106,94,166,118,111,114
2021년02월_남_90~99세,161,32,12,9,5,8,14,5,11,15,12,10,6,11,11
2021년02월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021년02월_여_총인구수,"34,713","12,628","1,459","1,611","1,413","3,128","1,447","1,057","1,515","1,153","1,193","2,461","1,875","2,019","1,754"
2021년02월_여_연령구간인구수,"34,713","12,628","1,459","1,611","1,413","3,128","1,447","1,057","1,515","1,153","1,193","2,461","1,875","2,019","1,754"
2021년02월_여_0~9세,"1,947","1,146",52,57,28,147,51,18,39,46,31,96,92,82,62
2021년02월_여_10~19세,"2,531","1,448",65,68,63,179,80,47,74,38,52,109,99,107,102
2021년02월_여_20~29세,"2,397","1,242",99,94,57,172,72,56,96,27,52,99,112,99,120
2021년02월_여_30~39세,"2,353","1,294",65,72,46,168,69,36,57,56,51,119,112,120,88
2021년02월_여_40~49세,"3,522","1,962",111,107,96,260,96,56,130,78,76,158,114,153,125
2021년02월_여_50~59세,"5,155","1,945",246,217,214,520,208,138,206,138,156,367,262,302,236
2021년02월_여_60~69세,"6,258","1,705",283,350,299,634,296,205,271,235,236,599,343,430,372
2021년02월_여_70~79세,"5,639","1,106",301,347,323,554,319,265,316,242,270,474,400,391,331
2021년02월_여_80~89세,"4,178",663,196,272,240,431,230,199,261,247,225,385,286,281,262
2021년02월_여_90~99세,688,116,39,26,42,60,25,36,58,42,39,49,53,52,51
2021년02월_여_100세 이상,45,1,2,1,5,3,1,1,7,4,5,6,2,2,5
