카테고리,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 삼남읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼동면
2021년08월_계_총인구수,"221,955","20,383","28,344","28,699","69,959","19,155","22,298","8,346","7,714","4,228","3,096","7,961","1,772"
2021년08월_계_연령구간인구수,"221,955","20,383","28,344","28,699","69,959","19,155","22,298","8,346","7,714","4,228","3,096","7,961","1,772"
2021년08월_계_0~9세,"16,919","1,433","2,348","2,489","6,272","1,683","1,469",470,287,130,46,256,36
2021년08월_계_10~19세,"22,051","1,621","2,740","3,240","9,752","1,550","1,526",490,365,190,114,403,60
2021년08월_계_20~29세,"26,168","2,518","3,407","3,274","9,176","2,177","2,824",751,818,294,153,678,98
2021년08월_계_30~39세,"25,162","2,755","3,185","3,444","7,385","2,811","2,963",863,635,284,196,534,107
2021년08월_계_40~49세,"36,334","3,653","4,493","5,256","13,270","2,878","3,224","1,164",755,404,229,869,139
2021년08월_계_50~59세,"42,046","4,027","5,203","5,270","13,076","3,490","4,331","1,552","1,615",884,539,"1,698",361
2021년08월_계_60~69세,"31,530","2,688","4,139","3,444","7,099","2,779","3,543","1,692","1,757","1,120",865,"1,918",486
2021년08월_계_70~79세,"14,027","1,126","1,804","1,478","2,652","1,177","1,619",892,913,547,538,996,285
2021년08월_계_80~89세,"6,674",493,877,702,"1,129",521,670,417,492,320,359,521,173
2021년08월_계_90~99세,"1,022",64,142,101,147,88,127,55,76,53,57,86,26
2021년08월_계_100세 이상,22,5,6,1,1,1,2,0,1,2,0,2,1
2021년08월_남_총인구수,"114,712","11,702","14,188","14,941","35,226","9,897","11,515","4,498","4,009","2,189","1,550","4,061",936
2021년08월_남_연령구간인구수,"114,712","11,702","14,188","14,941","35,226","9,897","11,515","4,498","4,009","2,189","1,550","4,061",936
2021년08월_남_0~9세,"8,714",757,"1,160","1,284","3,229",864,775,250,147,65,23,143,17
2021년08월_남_10~19세,"11,449",861,"1,388","1,660","5,093",773,797,261,203,101,59,220,33
2021년08월_남_20~29세,"14,995","1,583","1,935","1,828","5,118","1,203","1,659",459,487,168,88,408,59
2021년08월_남_30~39세,"13,423","1,739","1,646","1,822","3,601","1,533","1,610",459,356,164,113,310,70
2021년08월_남_40~49세,"18,587","2,235","2,224","2,747","6,140","1,476","1,697",727,430,233,139,452,87
2021년08월_남_50~59세,"22,197","2,410","2,612","2,851","6,708","1,843","2,178",917,846,478,293,856,205
2021년08월_남_60~69세,"16,343","1,432","2,071","1,826","3,700","1,458","1,784",845,928,603,454,984,258
2021년08월_남_70~79세,"6,650",525,850,688,"1,241",559,766,415,434,275,251,506,140
2021년08월_남_80~89세,"2,165",153,276,216,369,172,222,157,158,94,120,165,63
2021년08월_남_90~99세,187,5,26,19,27,16,27,8,20,8,10,17,4
2021년08월_남_100세 이상,2,2,0,0,0,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"107,243","8,681","14,156","13,758","34,733","9,258","10,783","3,848","3,705","2,039","1,546","3,900",836
2021년08월_여_연령구간인구수,"107,243","8,681","14,156","13,758","34,733","9,258","10,783","3,848","3,705","2,039","1,546","3,900",836
2021년08월_여_0~9세,"8,205",676,"1,188","1,205","3,043",819,694,220,140,65,23,113,19
2021년08월_여_10~19세,"10,602",760,"1,352","1,580","4,659",777,729,229,162,89,55,183,27
2021년08월_여_20~29세,"11,173",935,"1,472","1,446","4,058",974,"1,165",292,331,126,65,270,39
2021년08월_여_30~39세,"11,739","1,016","1,539","1,622","3,784","1,278","1,353",404,279,120,83,224,37
2021년08월_여_40~49세,"17,747","1,418","2,269","2,509","7,130","1,402","1,527",437,325,171,90,417,52
2021년08월_여_50~59세,"19,849","1,617","2,591","2,419","6,368","1,647","2,153",635,769,406,246,842,156
2021년08월_여_60~69세,"15,187","1,256","2,068","1,618","3,399","1,321","1,759",847,829,517,411,934,228
2021년08월_여_70~79세,"7,377",601,954,790,"1,411",618,853,477,479,272,287,490,145
2021년08월_여_80~89세,"4,509",340,601,486,760,349,448,260,334,226,239,356,110
2021년08월_여_90~99세,835,59,116,82,120,72,100,47,56,45,47,69,22
2021년08월_여_100세 이상,20,3,6,1,1,1,2,0,1,2,0,2,1
