,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2021년09월_계_총인구수,"189,747","60,313","5,369","7,376","3,332","5,918","15,463","5,280","6,486","7,708","7,007","3,807","1,951","12,391","24,787","22,559"
2021년09월_계_연령구간인구수,"189,747","60,313","5,369","7,376","3,332","5,918","15,463","5,280","6,486","7,708","7,007","3,807","1,951","12,391","24,787","22,559"
2021년09월_계_0~9세,"13,354","5,656",170,368,82,200,"1,294",134,379,274,216,72,44,683,"2,038","1,744"
2021년09월_계_10~19세,"18,158","7,571",286,614,140,271,"1,084",270,386,528,487,397,82,"1,003","2,569","2,470"
2021년09월_계_20~29세,"23,263","7,073",492,733,286,553,"2,128",453,790,680,708,473,204,"1,586","3,802","3,302"
2021년09월_계_30~39세,"22,874","8,306",415,622,235,545,"2,484",388,948,605,522,266,133,"1,335","3,371","2,699"
2021년09월_계_40~49세,"30,159","12,082",533,982,334,724,"2,635",543,935,821,757,335,173,"1,694","4,084","3,527"
2021년09월_계_50~59세,"31,730","9,167","1,006","1,329",654,"1,097","2,354","1,021","1,207","1,329","1,392",657,369,"2,193","3,991","3,964"
2021년09월_계_60~69세,"27,452","5,889","1,242","1,484",786,"1,299","2,037","1,266","1,061","1,808","1,537",804,501,"2,071","2,918","2,749"
2021년09월_계_70~79세,"13,789","2,969",689,705,450,699,915,639,484,976,807,468,238,"1,103","1,309","1,338"
2021년09월_계_80~89세,"7,817","1,413",457,466,323,461,467,459,253,589,518,303,173,623,630,682
2021년09월_계_90~99세,"1,111",180,75,71,41,66,64,103,43,93,60,31,32,96,75,81
2021년09월_계_100세 이상,40,7,4,2,1,3,1,4,0,5,3,1,2,4,0,3
2021년09월_남_총인구수,"97,955","30,470","2,833","3,669","1,764","3,230","8,669","2,756","3,656","4,059","3,737","1,949","1,019","6,221","12,597","11,326"
2021년09월_남_연령구간인구수,"97,955","30,470","2,833","3,669","1,764","3,230","8,669","2,756","3,656","4,059","3,737","1,949","1,019","6,221","12,597","11,326"
2021년09월_남_0~9세,"6,885","2,880",89,196,46,102,703,69,217,142,109,34,23,337,"1,057",881
2021년09월_남_10~19세,"9,441","3,904",172,305,76,149,563,131,221,304,258,178,45,506,"1,332","1,297"
2021년09월_남_20~29세,"12,882","3,812",294,411,178,343,"1,219",261,476,383,398,244,117,867,"2,049","1,830"
2021년09월_남_30~39세,"12,527","4,326",243,320,140,340,"1,490",227,581,371,330,171,80,712,"1,789","1,407"
2021년09월_남_40~49세,"16,150","6,179",314,513,200,451,"1,596",319,579,489,445,202,105,901,"2,121","1,736"
2021년09월_남_50~59세,"16,799","4,746",548,699,372,608,"1,368",573,654,727,799,359,197,"1,127","2,035","1,987"
2021년09월_남_60~69세,"13,895","2,802",680,744,411,718,"1,072",685,586,919,820,417,261,"1,009","1,427","1,344"
2021년09월_남_70~79세,"6,342","1,314",319,298,214,340,460,306,239,488,369,226,116,500,566,587
2021년09월_남_80~89세,"2,799",473,161,168,117,165,188,165,87,217,194,113,70,241,202,238
2021년09월_남_90~99세,228,32,13,14,10,13,10,20,16,18,14,5,5,20,19,19
2021년09월_남_100세 이상,7,2,0,1,0,1,0,0,0,1,1,0,0,1,0,0
2021년09월_여_총인구수,"91,792","29,843","2,536","3,707","1,568","2,688","6,794","2,524","2,830","3,649","3,270","1,858",932,"6,170","12,190","11,233"
2021년09월_여_연령구간인구수,"91,792","29,843","2,536","3,707","1,568","2,688","6,794","2,524","2,830","3,649","3,270","1,858",932,"6,170","12,190","11,233"
2021년09월_여_0~9세,"6,469","2,776",81,172,36,98,591,65,162,132,107,38,21,346,981,863
2021년09월_여_10~19세,"8,717","3,667",114,309,64,122,521,139,165,224,229,219,37,497,"1,237","1,173"
2021년09월_여_20~29세,"10,381","3,261",198,322,108,210,909,192,314,297,310,229,87,719,"1,753","1,472"
2021년09월_여_30~39세,"10,347","3,980",172,302,95,205,994,161,367,234,192,95,53,623,"1,582","1,292"
2021년09월_여_40~49세,"14,009","5,903",219,469,134,273,"1,039",224,356,332,312,133,68,793,"1,963","1,791"
2021년09월_여_50~59세,"14,931","4,421",458,630,282,489,986,448,553,602,593,298,172,"1,066","1,956","1,977"
2021년09월_여_60~69세,"13,557","3,087",562,740,375,581,965,581,475,889,717,387,240,"1,062","1,491","1,405"
2021년09월_여_70~79세,"7,447","1,655",370,407,236,359,455,333,245,488,438,242,122,603,743,751
2021년09월_여_80~89세,"5,018",940,296,298,206,296,279,294,166,372,324,190,103,382,428,444
2021년09월_여_90~99세,883,148,62,57,31,53,54,83,27,75,46,26,27,76,56,62
2021년09월_여_100세 이상,33,5,4,1,1,2,1,4,0,4,2,1,2,3,0,3
