,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2021년06월_계_총인구수,"206,239","29,428","12,397","10,071","10,586","16,198","20,963","7,248","16,321","16,427","16,742","14,308","35,550"
2021년06월_계_연령구간인구수,"206,239","29,428","12,397","10,071","10,586","16,198","20,963","7,248","16,321","16,427","16,742","14,308","35,550"
2021년06월_계_0~9세,"14,082","2,469","1,040",476,697,"1,195","1,954",214,682,738,"1,013","1,207","2,397"
2021년06월_계_10~19세,"16,283","3,546","1,572",688,971,"1,230","1,311",380,902,661,"1,001","1,132","2,889"
2021년06월_계_20~29세,"25,341","3,223","1,313","1,126","1,229","1,771","2,475",780,"2,304","3,406","1,813","1,538","4,363"
2021년06월_계_30~39세,"26,206","2,980","1,231","1,061","1,104","2,088","3,585",707,"1,943","3,082","2,246","1,846","4,333"
2021년06월_계_40~49세,"31,471","5,481","2,313","1,316","1,621","2,475","3,115",904,"2,200","2,313","2,239","2,218","5,276"
2021년06월_계_50~59세,"33,476","4,772","1,956","1,619","1,827","2,569","3,111","1,278","2,687","2,361","2,603","2,398","6,295"
2021년06월_계_60~69세,"33,007","3,682","1,671","1,838","1,794","2,818","2,917","1,570","3,163","2,157","3,060","2,327","6,010"
2021년06월_계_70~79세,"18,235","2,259",895,"1,252",908,"1,467","1,700","1,004","1,718","1,216","1,872","1,199","2,745"
2021년06월_계_80~89세,"7,258",908,370,620,380,533,689,372,643,463,811,389,"1,080"
2021년06월_계_90~99세,840,102,35,75,54,49,98,38,78,28,82,46,155
2021년06월_계_100세 이상,40,6,1,0,1,3,8,1,1,2,2,8,7
2021년06월_남_총인구수,"99,280","14,223","5,931","4,759","5,213","7,916","10,050","3,463","7,811","7,827","8,100","6,976","17,011"
2021년06월_남_연령구간인구수,"99,280","14,223","5,931","4,759","5,213","7,916","10,050","3,463","7,811","7,827","8,100","6,976","17,011"
2021년06월_남_0~9세,"7,110","1,281",484,254,359,620,984,111,320,366,508,627,"1,196"
2021년06월_남_10~19세,"8,377","1,858",763,365,524,663,640,188,462,354,519,571,"1,470"
2021년06월_남_20~29세,"12,855","1,704",686,538,677,947,"1,252",412,"1,079","1,423",997,817,"2,323"
2021년06월_남_30~39세,"13,164","1,404",597,534,595,"1,073","1,747",393,"1,008","1,548","1,167",901,"2,197"
2021년06월_남_40~49세,"15,395","2,533","1,082",669,768,"1,211","1,542",446,"1,114","1,200","1,195","1,119","2,516"
2021년06월_남_50~59세,"15,886","2,356",965,763,866,"1,192","1,472",603,"1,316","1,154","1,240","1,152","2,807"
2021년06월_남_60~69세,"15,146","1,677",791,822,850,"1,293","1,317",721,"1,431","1,024","1,341","1,081","2,798"
2021년06월_남_70~79세,"8,324",989,412,554,424,687,806,440,803,551,814,561,"1,283"
2021년06월_남_80~89세,"2,820",394,143,236,140,213,264,140,254,202,301,138,395
2021년06월_남_90~99세,191,25,7,24,9,16,23,9,23,5,18,7,25
2021년06월_남_100세 이상,12,2,1,0,1,1,3,0,1,0,0,2,1
2021년06월_여_총인구수,"106,959","15,205","6,466","5,312","5,373","8,282","10,913","3,785","8,510","8,600","8,642","7,332","18,539"
2021년06월_여_연령구간인구수,"106,959","15,205","6,466","5,312","5,373","8,282","10,913","3,785","8,510","8,600","8,642","7,332","18,539"
2021년06월_여_0~9세,"6,972","1,188",556,222,338,575,970,103,362,372,505,580,"1,201"
2021년06월_여_10~19세,"7,906","1,688",809,323,447,567,671,192,440,307,482,561,"1,419"
2021년06월_여_20~29세,"12,486","1,519",627,588,552,824,"1,223",368,"1,225","1,983",816,721,"2,040"
2021년06월_여_30~39세,"13,042","1,576",634,527,509,"1,015","1,838",314,935,"1,534","1,079",945,"2,136"
2021년06월_여_40~49세,"16,076","2,948","1,231",647,853,"1,264","1,573",458,"1,086","1,113","1,044","1,099","2,760"
2021년06월_여_50~59세,"17,590","2,416",991,856,961,"1,377","1,639",675,"1,371","1,207","1,363","1,246","3,488"
2021년06월_여_60~69세,"17,861","2,005",880,"1,016",944,"1,525","1,600",849,"1,732","1,133","1,719","1,246","3,212"
2021년06월_여_70~79세,"9,911","1,270",483,698,484,780,894,564,915,665,"1,058",638,"1,462"
2021년06월_여_80~89세,"4,438",514,227,384,240,320,425,232,389,261,510,251,685
2021년06월_여_90~99세,649,77,28,51,45,33,75,29,55,23,64,39,130
2021년06월_여_100세 이상,28,4,0,0,0,2,5,1,0,2,2,6,6
