,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2020년04월_계_총인구수,"272,570","33,043","10,544","24,898","19,233","15,460","38,510","10,884","28,760","17,519","15,157","28,469","14,761","15,332"
2020년04월_계_연령구간인구수,"272,570","33,043","10,544","24,898","19,233","15,460","38,510","10,884","28,760","17,519","15,157","28,469","14,761","15,332"
2020년04월_계_0~9세,"20,194","2,716",375,"2,649","1,063",919,"2,588",847,"2,673","1,569",843,"2,049","1,027",876
2020년04월_계_10~19세,"25,298","2,879",692,"3,182","1,136","1,490","2,945","1,023","4,183","1,682","1,047","2,889","1,090","1,060"
2020년04월_계_20~29세,"33,528","4,084","1,208","2,589","2,865","1,804","5,617","1,337","3,282","1,859","1,804","3,374","1,733","1,972"
2020년04월_계_30~39세,"34,058","4,456",948,"3,214","3,145","1,527","5,300","1,429","3,027","2,110","1,739","3,333","1,883","1,947"
2020년04월_계_40~49세,"43,485","5,087","1,354","4,972","3,051","2,197","5,622","1,793","5,726","3,041","2,147","4,532","2,036","1,927"
2020년04월_계_50~59세,"45,131","5,358","1,876","3,589","3,003","2,603","6,658","1,723","4,723","2,645","2,627","4,971","2,538","2,817"
2020년04월_계_60~69세,"39,981","4,778","2,056","2,597","2,578","2,504","5,688","1,427","3,154","2,508","2,799","4,405","2,601","2,886"
2020년04월_계_70~79세,"21,793","2,625","1,365","1,473","1,610","1,602","2,932",903,"1,469","1,531","1,530","2,070","1,328","1,355"
2020년04월_계_80~89세,"7,916",920,574,542,660,692,"1,028",355,451,512,548,747,459,428
2020년04월_계_90~99세,"1,053",124,75,83,95,116,117,45,67,57,67,87,60,60
2020년04월_계_100세 이상,133,16,21,8,27,6,15,2,5,5,6,12,6,4
2020년04월_남_총인구수,"132,883","16,198","5,133","12,143","9,112","7,455","18,853","5,223","13,952","8,708","7,503","13,910","7,203","7,490"
2020년04월_남_연령구간인구수,"132,883","16,198","5,133","12,143","9,112","7,455","18,853","5,223","13,952","8,708","7,503","13,910","7,203","7,490"
2020년04월_남_0~9세,"10,420","1,385",197,"1,359",518,443,"1,339",429,"1,352",896,467,"1,052",531,452
2020년04월_남_10~19세,"13,265","1,570",370,"1,764",563,802,"1,541",479,"2,090",928,564,"1,497",531,566
2020년04월_남_20~29세,"17,598","2,197",656,"1,312","1,305",995,"2,851",706,"1,768",989,950,"1,867",918,"1,084"
2020년04월_남_30~39세,"17,126","2,248",533,"1,487","1,581",779,"2,722",721,"1,417","1,022",929,"1,689",966,"1,032"
2020년04월_남_40~49세,"21,168","2,508",700,"2,394","1,513","1,041","2,720",878,"2,624","1,552","1,131","2,127","1,041",939
2020년04월_남_50~59세,"21,389","2,503",893,"1,748","1,441","1,206","3,167",824,"2,332","1,295","1,227","2,332","1,171","1,250"
2020년04월_남_60~69세,"18,642","2,220",975,"1,186","1,205","1,153","2,696",632,"1,532","1,145","1,287","2,072","1,222","1,317"
2020년04월_남_70~79세,"10,056","1,189",582,674,708,737,"1,361",403,692,688,715,988,642,677
2020년04월_남_80~89세,"2,961",340,211,201,251,269,424,144,131,184,216,264,165,161
2020년04월_남_90~99세,235,30,16,17,24,27,31,6,13,9,15,22,14,11
2020년04월_남_100세 이상,23,8,0,1,3,3,1,1,1,0,2,0,2,1
2020년04월_여_총인구수,"139,687","16,845","5,411","12,755","10,121","8,005","19,657","5,661","14,808","8,811","7,654","14,559","7,558","7,842"
2020년04월_여_연령구간인구수,"139,687","16,845","5,411","12,755","10,121","8,005","19,657","5,661","14,808","8,811","7,654","14,559","7,558","7,842"
2020년04월_여_0~9세,"9,774","1,331",178,"1,290",545,476,"1,249",418,"1,321",673,376,997,496,424
2020년04월_여_10~19세,"12,033","1,309",322,"1,418",573,688,"1,404",544,"2,093",754,483,"1,392",559,494
2020년04월_여_20~29세,"15,930","1,887",552,"1,277","1,560",809,"2,766",631,"1,514",870,854,"1,507",815,888
2020년04월_여_30~39세,"16,932","2,208",415,"1,727","1,564",748,"2,578",708,"1,610","1,088",810,"1,644",917,915
2020년04월_여_40~49세,"22,317","2,579",654,"2,578","1,538","1,156","2,902",915,"3,102","1,489","1,016","2,405",995,988
2020년04월_여_50~59세,"23,742","2,855",983,"1,841","1,562","1,397","3,491",899,"2,391","1,350","1,400","2,639","1,367","1,567"
2020년04월_여_60~69세,"21,339","2,558","1,081","1,411","1,373","1,351","2,992",795,"1,622","1,363","1,512","2,333","1,379","1,569"
2020년04월_여_70~79세,"11,737","1,436",783,799,902,865,"1,571",500,777,843,815,"1,082",686,678
2020년04월_여_80~89세,"4,955",580,363,341,409,423,604,211,320,328,332,483,294,267
2020년04월_여_90~99세,818,94,59,66,71,89,86,39,54,48,52,65,46,49
2020년04월_여_100세 이상,110,8,21,7,24,3,14,1,4,5,4,12,4,3
